11703
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-sixième extrait>,<>,<>
ses,son,73
mains,main,22
/.,/.,P
c',ce,52
était,être,18
un,un,71
long,long,30
suaire,suaire,21
noir,noir,30
qui,qui,52
se,se,51
tenait,tenir,18
debout,debout,60
",",",",p
et,et,82
sous,sous,81
lequel,lequel,52
on,on,51
sentait,sentir,18
remuer,remuer,14
quelque,quelque,75
chose,chose,22
/.,/.,P
elle,il,51
regarda,regarder,19
fixement,fixement,60
quelques,quelque,75
minutes,minute,22
cette,ce,74
espèce,espèce,22
de,de,81
spectre,spectre,21
/.,/.,P
cependant,cependant,82
",",",",p
elle,il,51
ni,ni,82
lui,lui,51
ne,ne,60
parlaient,parler,18
/.,/.,P
on,on,51
eût,avoir,19
dit,dire,12
deux,deux,72
statues,statue,22
qui,qui,52
se,se,51
confrontaient,confronter,18
/.,/.,P
deux,deux,72
choses,chose,22
seulement,seulement,60
semblaient,sembler,18
vivre,vivre,14
dans,dans,81
le,le,71
caveau,caveau,21
;,;,p
la,le,71
mèche,mèche,22
de,de,81
la,le,71
lanterne,lanterne,22
qui,qui,52
pétillait,pétiller,18
à,à,81
cause,cause,22
de,de,81
l',le,71
humidité,humidité,22
de,de,81
l',le,71
atmosphère,atmosphère,22
",",",",p
et,et,82
la,le,71
goutte,goutte,22
d',de,81
eau,eau,22
de,de,81
la,le,71
voûte,voûte,22
qui,qui,52
coupait,couper,18
cette,ce,74
crépitation,crépitation,22
irrégulière,irrégulier,30
de,de,81
son,son,73
clapotement,clapotement,21
monotone,monotone,30
et,et,82
faisait,faire,18
trembler,trembler,14
la,le,71
lumière,lumière,22
de,de,81
la,le,71
lanterne,lanterne,22
en,en,81
moires,moire,22
concentriques,concentrique,30
sur,sur,81
l',le,71
eau,eau,22
huileuse,huileux,30
de,de,81
la,le,71
mare,mare,22
/.,/.,P
enfin,enfin,60
la,le,71
prisonnière,prisonnière,22
rompit,rompre,19
le,le,71
silence,silence,21
:,:,p
-,-,p
-,-,p
qui,qui,52
êtes,être,17
vous,vous,51
/?,/?,P
un,un,71
prêtre,prêtre,21
/.,/.,P
le,le,71
mot,mot,21
",",",",p
l',le,71
accent,accent,21
",",",",p
le,le,71
son,son,21
de,de,81
voix,voix,22
",",",",p
la,le,52
firent,faire,19
tressaillir,tressaillir,14
/.,/.,P
le,le,71
prêtre,prêtre,21
poursuivit,poursuivre,19
en,en,81
articulant,articuler,13
sourdement,sourdement,60
:,:,p
-,-,p
êtes,être,17
vous,vous,51
préparée,préparer,12
/?,/?,P
à,à,81
quoi,quoi,52
/?,/?,P
à,à,81
mourir,mourir,14
/.,/.,P
-,-,p
oh,oh,93
!,!,p
dit,dire,19
elle,il,51
",",",",p
sera,être,15
ce,ce,52
bientôt,bientôt,60
/?,/?,P
demain,demain,60
/.,/.,P
sa,son,73
tête,tête,22
",",",",p
qui,qui,52
s',se,51
était,être,18
levée,lever,12
avec,avec,81
joie,joie,22
",",",",p
revint,revenir,19
frapper,frapper,14
sa,son,73
poitrine,poitrine,22
/.,/.,P
-,-,p
c',ce,52
est,être,17
encore,encore,60
bien,bien,60
long,long,30
!,!,p
murmura,murmurer,19
t,t,94
elle,il,51
;,;,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
cela,cela,52
leur,leur,52
faisait,faire,18
",",",",p
aujourd'hui,aujourd'hui,60
/?,/?,P
vous,vous,51
êtes,être,17
donc,donc,82
très,très,60
malheureuse,malheureux,30
?,?,p
demanda,demander,19
le,le,71
prêtre,prêtre,21
après,après,81
un,un,71
silence,silence,21
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
bien,bien,60
froid,froid,21
",",",",p
répondit,répondre,19
elle,il,51
/.,/.,P
elle,il,51
prit,prendre,19
ses,son,73
pieds,pied,21
avec,avec,81
ses,son,73
mains,main,22
",",",",p
geste,geste,21
habituel,habituel,30
aux,à,81
aux,le,71
malheureux,malheureux,21
qui,qui,52
ont,avoir,17
froid,froid,21
et,et,82
que,que,52
nous,nous,51
avons,avoir,17
déjà,déjà,60
vu,voir,12
faire,faire,14
à,à,81
la,le,71
recluse,recluse,22
de,de,81
la,le,71
tour,tour,22
Roland,Roland,20
",",",",p
et,et,82
ses,son,73
dents,dent,22
claquaient,claquer,18
/.,/.,P
le,le,71
prêtre,prêtre,21
parut,paraître,19
promener,promener,14
de,de,81
dessous,dessous,60
son,son,73
capuchon,capuchon,21
ses,son,73
yeux,oeil,21
dans,dans,81
le,le,71
cachot,cachot,21
/.,/.,P
-,-,p
sans,sans,81
lumière,lumière,22
!,!,p
sans,sans,81
feu,feu,21
!,!,p
dans,dans,81
l',le,71
eau,eau,22
!,!,p
c',ce,52
est,être,17
horrible,horrible,30
/!,/!,P
oui,oui,60
",",",",p
répondit,répondre,19
elle,il,51
avec,avec,81
l',le,71
air,air,21
étonné,étonné,31
que,que,83
le,le,71
malheur,malheur,21
lui,lui,51
avait,avoir,18
donné,donner,12
/.,/.,P
le,le,71
jour,jour,21
est,être,17
à,à,81
tout,tout,75
le,le,71
monde,monde,21
/.,/.,P
pourquoi,pourquoi,60
ne,ne,60
me,je,51
donne,donner,17
t,t,94
on,on,51
que,que,83
la,le,71
nuit,nuit,22
/?,/?,P
savez,savoir,17
vous,vous,51
",",",",p
reprit,reprendre,19
le,le,71
prêtre,prêtre,21
après,après,81
un,un,71
nouveau,nouveau,30
silence,silence,21
",",",",p
pourquoi,pourquoi,60
vous,vous,51
êtes,être,17
ici,ici,60
/?,/?,P
je,je,51
crois,croire,17
que,que,83
je,je,51
l',le,52
ai,avoir,17
su,savoir,12
",",",",p
dit,dire,19
elle,il,51
en,en,81
passant,passer,13
ses,son,73
doigts,doigt,21
maigres,maigre,30
sur,sur,81
ses,son,73
sourcils,sourcil,21
comme,comme,83
pour,pour,81
aider,aider,14
sa,son,73
mémoire,mémoire,22
",",",",p
mais,mais,82
je,je,51
ne,ne,60
le,le,52
sais,savoir,17
plus,plus,60
/.,/.,P
tout,tout,60
à,à,81
coup,coup,21
elle,il,51
se,se,51
mit,mettre,19
à,à,81
pleurer,pleurer,14
comme,comme,83
un,un,71
enfant,enfant,21
/.,/.,P
-,-,p
je,je,51
voudrais,vouloir,16
sortir,sortir,14
d',de,81
ici,ici,60
",",",",p
monsieur,monsieur,21
/.,/.,P
j',je,51
ai,avoir,17
froid,froid,21
",",",",p
j',je,51
ai,avoir,17
peur,peur,22
",",",",p
et,et,82
il,il,51
y,y,52
a,avoir,17
des,de,81
des,le,71
bêtes,bête,22
qui,qui,52
me,je,51
montent,monter,17
le,le,71
long,long,21
du,de,81
du,le,71
corps,corps,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
suivez,suivre,17
moi,moi,51
/.,/.,P
en,en,81
parlant,parler,13
ainsi,ainsi,60
",",",",p
le,le,71
prêtre,prêtre,21
lui,lui,51
prit,prendre,19
le,le,71
bras,bras,21
/.,/.,P
la,le,71
malheureuse,malheureux,30
était,être,18
gelée,geler,12
jusque,jusque,81
dans,dans,81
les,le,71
entrailles,entraille,22
",",",",p
cependant,cependant,82
cette,ce,74
main,main,22
lui,lui,51
fit,faire,19
une,un,71
impression,impression,22
de,de,81
froid,froid,21
/.,/.,P
-,-,p
oh,oh,93
!,!,p
murmura,murmurer,19
t,t,94
elle,il,51
",",",",p
c',ce,52
est,être,17
la,le,71
main,main,22
glacée,glacé,31
de,de,81
la,le,71
mort,mort,22
/.,/.,P
-,-,p
qui,qui,52
êtes,être,17
vous,vous,51
donc,donc,82
/?,/?,P
le,le,71
prêtre,prêtre,21
releva,relever,19
son,son,73
capuchon,capuchon,21
/.,/.,P
elle,il,51
regarda,regarder,19
/.,/.,P
c',ce,52
était,être,18
ce,ce,74
visage,visage,21
sinistre,sinistre,30
qui,qui,52
la,le,52
poursuivait,poursuivre,18
depuis,depuis,81
si,si,60
longtemps,longtemps,60
",",",",p
cette,ce,74
tête,tête,22
de,de,81
démon,démon,21
qui,qui,52
lui,lui,51
était,être,18
apparue,apparaître,12
chez,chez,81
la,le,71
Falourdel,Falourdel,20
au-dessus,au-dessus,60
de,de,81
la,le,71
tête,tête,22
adorée,adoré,31
de,de,81
son,son,73
Phoebus,Phoebus,20
",",",",p
cet,ce,74
oeil,oeil,21
qu',que,52
elle,il,51
avait,avoir,18
vu,voir,12
pour,pour,81
la,le,71
dernière,dernier,30
fois,fois,22
briller,briller,14
près,près,81
d',de,81
un,un,71
poignard,poignard,21
/.,/.,P
cette,ce,74
apparition,apparition,22
",",",",p
toujours,toujours,60
si,si,60
fatale,fatal,30
pour,pour,81
elle,il,51
",",",",p
et,et,82
qui,qui,52
l',le,52
avait,avoir,18
ainsi,ainsi,60
poussée,pousser,12
de,de,81
malheur,malheur,21
en,en,81
malheur,malheur,21
jusqu',jusque,81
au,à,81
au,le,71
supplice,supplice,21
",",",",p
la,le,52
tira,tirer,19
de,de,81
son,son,73
engourdissement,engourdissement,21
/.,/.,P
il,il,51
lui,lui,51
sembla,sembler,19
que,que,83
l',le,71
espèce,espèce,22
de,de,81
voile,voile,21
qui,qui,52
s',se,51
était,être,18
épaissi,épaissir,12
sur,sur,81
sa,son,73
mémoire,mémoire,22
se,se,51
déchirait,déchirer,18
/.,/.,P
tous,tout,75
les,le,71
détails,détail,21
de,de,81
sa,son,73
lugubre,lugubre,30
aventure,aventure,22
",",",",p
depuis,depuis,81
la,le,71
scène,scène,22
nocturne,nocturne,30
chez,chez,81
la,le,71
Falourdel,Falourdel,20
jusqu',jusque,81
à,à,81
sa,son,73
condamnation,condamnation,22
à,à,81
la,le,71
Tournelle,Tournelle,20
",",",",p
lui,lui,51
revinrent,revenir,19
à,à,81
la,le,71
fois,fois,22
dans,dans,81
l',le,71
esprit,esprit,21
",",",",p
non,non,60
pas,pas,60
vagues,vague,30
et,et,82
confus,confus,30
comme,comme,83
jusqu',jusque,81
alors,alors,60
",",",",p
mais,mais,82
distincts,distinct,30
",",",",p
crus,cru,31
",",",",p
tranchés,tranché,31
",",",",p
palpitants,palpitant,30
",",",",p
terribles,terrible,30
/.,/.,P
ces,ce,74
souvenirs,souvenir,21
à,à,81
demi,demi,30
effacés,effacé,31
",",",",p
et,et,82
presque,presque,60
oblitérés,oblitéré,31
par,par,81
l',le,71
excès,excès,21
de,de,81
la,le,71
souffrance,souffrance,22
",",",",p
la,le,71
sombre,sombre,30
figure,figure,22
qu',que,52
elle,il,51
avait,avoir,18
devant,devant,81
elle,il,51
les,le,52
raviva,raviver,19
",",",",p
comme,comme,83
l',le,71
approche,approche,22
du,de,81
du,le,71
feu,feu,21
fait,faire,17
ressortir,ressortir,14
toutes,tout,60
fraîches,frais,30
sur,sur,81
le,le,71
papier,papier,21
blanc,blanc,30
les,le,71
lettres,lettre,22
invisibles,invisible,30
qu',que,52
on,on,51
y,y,52
a,avoir,17
tracées,tracer,12
avec,avec,81
de,de,81
l',le,71
encre,encre,22
sympathique,sympathique,30
/.,/.,P
il,il,51
lui,lui,51
sembla,sembler,19
que,que,83
toutes,tout,75
les,le,71
plaies,plaie,22
de,de,81
son,son,73
coeur,coeur,21
se,se,51
rouvraient,rouvrir,18
et,et,82
saignaient,saigner,18
à,à,81
la,le,71
fois,fois,22
/.,/.,P
-,-,p
hah,hah,93
!,!,p
cria,crier,19
t,t,94
elle,il,51
",",",",p
les,le,71
mains,main,22
sur,sur,81
ses,son,73
yeux,oeil,21
et,et,82
avec,avec,81
un,un,71
tremblement,tremblement,21
convulsif,convulsif,30
",",",",p
c',ce,52
est,être,17
le,le,71
prêtre,prêtre,21
/!,/!,P
puis,puis,60
elle,il,51
laissa,laisser,19
tomber,tomber,14
ses,son,73
bras,bras,21
découragés,découragé,31
",",",",p
et,et,82
resta,rester,19
assise,assis,31
",",",",p
la,le,71
tête,tête,22
baissée,baissé,31
",",",",p
l',le,71
oeil,oeil,21
fixé,fixé,31
à,à,81
terre,terre,22
",",",",p
muette,muet,30
",",",",p
et,et,82
continuant,continuer,13
de,de,81
trembler,trembler,14
/.,/.,P
le,le,71
prêtre,prêtre,21
la,le,52
regardait,regarder,18
de,de,81
l',le,71
oeil,oeil,21
d',de,81
un,un,71
milan,milan,21
qui,qui,52
a,avoir,17
longtemps,longtemps,60
plané,planer,12
en,en,81
rond,rond,21
du,de,81
du,le,71
plus,plus,60
haut,haut,21
du,de,81
du,le,71
ciel,ciel,21
autour,autour,60
d',de,81
une,un,71
pauvre,pauvre,30
alouette,alouette,22
tapie,tapi,31
dans,dans,81
les,le,71
blés,blé,21
",",",",p
qui,qui,52
a,avoir,17
longtemps,longtemps,60
rétréci,rétrécir,12
en,en,81
silence,silence,21
les,le,71
cercles,cercle,21
formidables,formidable,30
de,de,81
son,son,73
vol,vol,21
",",",",p
et,et,82
tout,tout,60
à,à,81
coup,coup,21
s',se,51
est,être,17
abattu,abattre,12
sur,sur,81
sa,son,73
proie,proie,22
comme,comme,83
la,le,71
flèche,flèche,22
de,de,81
l',le,71
éclair,éclair,21
",",",",p
et,et,82
la,le,52
tient,tenir,17
pantelante,pantelant,30
dans,dans,81
sa,son,73
griffe,griffe,22
/.,/.,P
elle,il,51
se,se,51
mit,mettre,19
à,à,81
murmurer,murmurer,14
tout,tout,60
bas,bas,30
:,:,p
-,-,p
achevez,achever,17
!,!,p
achevez,achever,17
!,!,p
le,le,71
dernier,dernier,30
coup,coup,21
/!,/!,P
et,et,82
elle,il,51
enfonçait,enfoncer,18
sa,son,73
tête,tête,22
avec,avec,81
terreur,terreur,22
entre,entre,81
ses,son,73
épaules,épaule,22
",",",",p
comme,comme,83
la,le,71
brebis,brebis,22
qui,qui,52
attend,attendre,17
le,le,71
coup,coup,21
de,de,81
massue,massue,22
du,de,81
du,le,71
boucher,boucher,21
/.,/.,P
-,-,p
je,je,51
vous,vous,51
fais,faire,17
donc,donc,82
horreur,horreur,22
?,?,p
dit,dire,19
il,il,51
enfin,enfin,60
/.,/.,P
elle,il,51
ne,ne,60
répondit,répondre,19
pas,pas,60
/.,/.,P
-,-,p
est,être,17
ce,ce,52
que,que,83
je,je,51
vous,vous,51
fais,faire,17
horreur,horreur,22
?,?,p
répéta,répéter,19
t,t,94
il,il,51
/.,/.,P
ses,son,73
lèvres,lèvre,22
se,se,51
contractèrent,contracter,19
comme,comme,83
si,si,83
elle,il,51
souriait,sourire,18
/.,/.,P
-,-,p
oui,oui,60
",",",",p
dit,dire,19
elle,il,51
",",",",p
le,le,71
bourreau,bourreau,21
raille,railler,17
le,le,71
condamné,condamné,21
/.,/.,P
voilà,voilà,81
des,de,81
des,le,71
mois,mois,21
qu',que,52
il,il,51
me,je,51
poursuit,poursuivre,17
",",",",p
qu',que,52
il,il,51
me,je,51
menace,menacer,17
",",",",p
qu',que,52
il,il,51
m',je,51
épouvante,épouvanter,17
/!,/!,P
sans,sans,81
lui,lui,51
",",",",p
mon,mon,73
dieu,dieu,21
",",",",p
que,que,52
j',je,51
étais,être,18
heureuse,heureux,30
/!,/!,P
c',ce,52
est,être,17
lui,lui,51
qui,qui,52
m',je,51
a,avoir,17
jetée,jeter,12
dans,dans,81
cet,ce,74
abîme,abîme,21
/!,/!,P
o,oh,93
ciel,ciel,21
!,!,p
c',ce,52
est,être,17
lui,lui,51
qui,qui,52
a,avoir,17
tué,tuer,12
…,…,p
c',ce,52
est,être,17
lui,lui,51
qui,qui,52
l',le,52
a,avoir,17
tué,tuer,12
!,!,p
mon,mon,73
Phoebus,Phoebus,20
/!,/!,P
ici,ici,60
",",",",p
éclatant,éclater,13
en,en,81
sanglots,sanglot,21
et,et,82
levant,lever,13
les,le,71
yeux,oeil,21
sur,sur,81
le,le,71
prêtre,prêtre,21
:,:,p
-,-,p
oh,oh,93
!,!,p
misérable,misérable,21
!,!,p
qui,qui,52
êtes,être,17
vous,vous,51
?,?,p
que,que,52
vous,vous,51
ai,avoir,17
je,je,51
fait,faire,12
?,?,p
vous,vous,51
me,je,51
haïssez,haïr,17
donc,donc,82
bien,bien,60
/?,/?,P
hélas,hélas,60
!,!,p
qu',que,52
avez,avoir,17
vous,vous,51
contre,contre,81
moi,moi,51
/?,/?,P
je,je,51
t',tu,51
aime,aimer,17
!,!,p
cria,crier,19
le,le,71
prêtre,prêtre,21
/.,/.,P
ses,son,73
larmes,larme,22
s',se,51
arrêtèrent,arrêter,19
subitement,subitement,60
/.,/.,P
elle,il,51
le,le,52
regarda,regarder,19
avec,avec,81
un,un,71
regard,regard,21
d',de,81
idiot,idiot,21
/.,/.,P
lui,lui,51
était,être,18
tombé,tomber,12
à,à,81
genoux,genou,21
et,et,82
la,le,52
couvait,couver,18
d',de,81
un,un,71
oeil,oeil,21
de,de,81
flamme,flamme,22
/.,/.,P
-,-,p
entends,entendre,17
tu,tu,51
?,?,p
je,je,51
t',tu,51
aime,aimer,17
!,!,p
cria,crier,19
t,t,94
il,il,51
encore,encore,60
/.,/.,P
-,-,p
quel,quel,75
amour,amour,21
!,!,p
dit,dire,19
la,le,71
malheureuse,malheureux,30
en,en,81
frémissant,frémir,13
/.,/.,P
il,il,51
reprit,reprendre,19
:,:,p
-,-,p
l',le,71
amour,amour,21
d',de,81
un,un,71
damné,damné,21
/.,/.,P
tous,tout,75
deux,deux,72
restèrent,rester,19
quelques,quelque,75
minutes,minute,22
silencieux,silencieux,30
",",",",p
écrasés,écrasé,31
sous,sous,81
la,le,71
pesanteur,pesanteur,22
de,de,81
leurs,leur,73
émotions,émotion,22
",",",",p
lui,lui,51
insensé,insensé,30
",",",",p
elle,il,51
stupide,stupide,30
/.,/.,P
-,-,p
écoute,écouter,17
",",",",p
dit,dire,19
enfin,enfin,60
le,le,71
prêtre,prêtre,21
",",",",p
et,et,82
un,un,71
calme,calme,21
singulier,singulier,30
lui,lui,51
était,être,18
revenu,revenir,12
/.,/.,P
tu,tu,51
vas,aller,17
tout,tout,52
savoir,savoir,14
/.,/.,P
je,je,51
vais,aller,17
te,tu,51
dire,dire,14
ce,ce,52
que,que,52
jusqu'ici,jusqu'ici,81
j',je,51
ai,avoir,17
à,à,81
peine,peine,22
osé,oser,12
me,je,51
dire,dire,14
à,à,81
moi-même,moi-même,51
",",",",p
lorsque,lorsque,83
j',je,51
interrogeais,interroger,18
furtivement,furtivement,60
ma,mon,73
conscience,conscience,22
à,à,81
ces,ce,74
heures,heure,22
profondes,profond,30
de,de,81
la,le,71
nuit,nuit,22
où,où,60
il,il,51
y,y,52
a,avoir,17
tant,tant,60
de,de,81
ténèbres,ténèbre,22
qu',que,52
il,il,51
semble,sembler,17
que,que,83
dieu,dieu,21
ne,ne,60
nous,nous,51
voit,voir,17
plus,plus,60
/.,/.,P
écoute,écouter,17
/.,/.,P
avant,avant,81
de,de,81
te,tu,51
rencontrer,rencontrer,14
",",",",p
jeune,jeune,30
fille,fille,22
",",",",p
j',je,51
étais,être,18
heureux,heureux,30
/…,/…,P
-,-,p
et,et,82
moi,moi,51
!,!,p
soupira,soupirer,19
t,t,94
elle,il,51
faiblement,faiblement,60
/.,/.,P
-,-,p
ne,ne,60
m',je,51
interromps,interrompre,17
pas,pas,60
/.,/.,P
-,-,p
oui,oui,60
",",",",p
j',je,51
étais,être,18
heureux,heureux,30
",",",",p
je,je,51
croyais,croire,18
l',le,52
être,être,14
du,de,81
du,le,71
moins,moins,60
/.,/.,P
j',je,51
étais,être,18
pur,pur,30
",",",",p
j',je,51
avais,avoir,18
l',le,71
âme,âme,22
pleine,plein,30
d',de,81
une,un,71
clarté,clarté,22
limpide,limpide,30
/.,/.,P
pas,pas,60
de,de,81
tête,tête,22
qui,qui,52
s',se,51
élevât,élever,18
plus,plus,60
fière,fier,30
et,et,82
plus,plus,60
radieuse,radieux,30
que,que,83
la,le,71
mienne,mien,52
/.,/.,P
les,le,71
prêtres,prêtre,21
me,je,51
consultaient,consulter,18
sur,sur,81
la,le,71
chasteté,chasteté,22
",",",",p
les,le,71
docteurs,docteur,21
sur,sur,81
la,le,71
doctrine,doctrine,22
/.,/.,P
oui,oui,60
",",",",p
la,le,71
science,science,22
était,être,18
tout,tout,52
pour,pour,81
moi,moi,51
/.,/.,P
c',ce,52
était,être,18
une,un,71
soeur,soeur,22
",",",",p
et,et,82
une,un,71
soeur,soeur,22
me,je,51
suffisait,suffire,18
/.,/.,P
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
qu',que,83
avec,avec,81
l',le,71
âge,âge,21
il,il,51
ne,ne,60
me,je,51
fût,être,19
venu,venir,12
d',de,81
autres,autre,75
idées,idée,22
/.,/.,P
plus,plus,60
d',de,81
une,un,71
fois,fois,22
ma,mon,73
chair,chair,22
s',se,51
était,être,18
émue,émouvoir,12
au,à,81
au,le,71
passage,passage,21
d',de,81
une,un,71
forme,forme,22
de,de,81
femme,femme,22
/.,/.,P
cette,ce,74
force,force,22
du,de,81
du,le,71
sexe,sexe,21
et,et,82
du,de,81
du,le,71
sang,sang,21
de,de,81
l',le,71
homme,homme,21
que,que,52
",",",",p
fol,fou,30
adolescent,adolescent,21
",",",",p
j',je,51
avais,avoir,18
cru,croire,12
étouffer,étouffer,14
pour,pour,81
la,le,71
vie,vie,22
",",",",p
avait,avoir,18
plus,plus,60
d',de,81
une,un,71
fois,fois,22
soulevé,soulever,12
convulsivement,convulsivement,60
la,le,71
chaîne,chaîne,22
des,de,81
des,le,71
voeux,voeu,21
de,de,81
fer,fer,21
qui,qui,52
me,je,51
scellent,sceller,17
",",",",p
misérable,misérable,30
",",",",p
aux,à,81
aux,le,71
froides,froid,30
pierres,pierre,22
de,de,81
l',le,71
autel,autel,21
/.,/.,P
mais,mais,82
le,le,71
jeûne,jeûne,21
",",",",p
la,le,71
prière,prière,22
",",",",p
l',le,71
étude,étude,22
",",",",p
les,le,71
macérations,macération,22
du,de,81
du,le,71
cloître,cloître,21
",",",",p
avaient,avoir,18
refait,refaire,12
l',le,71
âme,âme,22
maîtresse,maîtresse,22
du,de,81
du,le,71
corps,corps,21
/.,/.,P
et,et,82
puis,puis,60
",",",",p
j',je,51
évitais,éviter,18
les,le,71
femmes,femme,22
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
je,je,51
n',ne,60
avais,avoir,18
qu',que,83
à,à,81
ouvrir,ouvrir,14
un,un,71
livre,livre,21
pour,pour,81
que,que,83
toutes,tout,75
les,le,71
impures,impur,30
fumées,fumée,22
de,de,81
mon,mon,73
cerveau,cerveau,21
s',se,51
évanouissent,évanouir,17
devant,devant,81
la,le,71
splendeur,splendeur,22
de,de,81
la,le,71
science,science,22
/.,/.,P
en,en,81
peu,peu,60
de,de,81
minutes,minute,22
",",",",p
je,je,51
sentais,sentir,18
fuir,fuir,14
au,à,81
au,le,71
loin,loin,60
les,le,71
choses,chose,22
épaisses,épais,30
de,de,81
la,le,71
terre,terre,22
",",",",p
et,et,82
je,je,51
me,je,51
retrouvais,retrouver,18
calme,calme,30
",",",",p
ébloui,ébloui,31
et,et,82
serein,serein,30
en,en,81
présence,présence,22
du,de,81
du,le,71
rayonnement,rayonnement,21
tranquille,tranquille,30
de,de,81
la,le,71
vérité,vérité,22
éternelle,éternel,30
/.,/.,P
tant,tant,60
que,que,83
le,le,71
démon,démon,21
n',ne,60
envoya,envoyer,19
pour,pour,81
m',je,51
attaquer,attaquer,14
que,que,83
de,de,81
vagues,vague,30
ombres,ombre,22
de,de,81
femmes,femme,22
qui,qui,52
passaient,passer,18
éparses,épars,30
sous,sous,81
mes,mon,73
yeux,oeil,21
",",",",p
dans,dans,81
l',le,71
église,église,22
",",",",p
dans,dans,81
les,le,71
rues,rue,22
",",",",p
dans,dans,81
les,le,71
prés,pré,21
",",",",p
et,et,82
qui,qui,52
revenaient,revenir,18
à,à,81
peine,peine,22
dans,dans,81
mes,mon,73
songes,songe,21
",",",",p
je,je,51
le,le,52
vainquis,vaincre,19
aisément,aisément,60
/.,/.,P
hélas,hélas,60
!,!,p
si,si,83
la,le,71
victoire,victoire,22
ne,ne,60
m',je,51
est,être,17
pas,pas,60
restée,rester,12
",",",",p
la,le,71
faute,faute,22
en,en,52
est,être,17
à,à,81
dieu,dieu,21
",",",",p
qui,qui,52
n',ne,60
a,avoir,17
pas,pas,60
fait,faire,12
l',le,71
homme,homme,21
et,et,82
le,le,71
démon,démon,21
de,de,81
force,force,22
égale,égal,30
/.,/.,P
-,-,p
écoute,écouter,17
/.,/.,P
un,un,71
jour,jour,21
/…,/…,P
ici,ici,60
le,le,71
prêtre,prêtre,21
s',se,51
arrêta,arrêter,19
",",",",p
et,et,82
la,le,71
prisonnière,prisonnière,22
entendit,entendre,19
sortir,sortir,14
de,de,81
sa,son,73
poitrine,poitrine,22
des,de,81
des,le,71
soupirs,soupir,21
qui,qui,52
faisaient,faire,18
un,un,71
bruit,bruit,21
de,de,81
râle,râle,21
et,et,82
d',de,81
arrachement,arrachement,21
/.,/.,P
il,il,51
reprit,reprendre,19
:,:,p
-,-,p
/…,/…,P
un,un,71
jour,jour,21
",",",",p
j',je,51
étais,être,18
appuyé,appuyer,12
à,à,81
la,le,71
fenêtre,fenêtre,22
de,de,81
ma,mon,73
cellule,cellule,22
/…,/…,P
-,-,p
quel,quel,75
livre,livre,21
lisais,lire,18
je,je,51
donc,donc,82
/?,/?,P
oh,oh,93
!,!,p
tout,tout,75
cela,cela,52
est,être,17
un,un,71
tourbillon,tourbillon,21
dans,dans,81
ma,mon,73
tête,tête,22
/.,/.,P
-,-,p
je,je,51
lisais,lire,18
/.,/.,P
la,le,71
fenêtre,fenêtre,22
donnait,donner,18
sur,sur,81
une,un,71
place,place,22
/.,/.,P
j',je,51
entends,entendre,17
un,un,71
bruit,bruit,21
de,de,81
tambour,tambour,21
et,et,82
de,de,81
musique,musique,22
/.,/.,P
fâché,fâché,31
d',de,81
être,être,14
ainsi,ainsi,60
troublé,troubler,12
dans,dans,81
ma,mon,73
rêverie,rêverie,22
",",",",p
je,je,51
regarde,regarder,17
dans,dans,81
la,le,71
place,place,22
/.,/.,P
ce,ce,52
que,que,52
je,je,51
vis,voir,19
",",",",p
il,il,51
y,y,52
en,en,52
avait,avoir,18
d',de,81
autres,autre,52
que,que,83
moi,moi,51
qui,qui,52
le,le,52
voyaient,voir,18
",",",",p
et,et,82
pourtant,pourtant,60
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
un,un,71
spectacle,spectacle,21
fait,fait,31
pour,pour,81
des,de,81
des,le,71
yeux,oeil,21
humains,humain,30
/.,/.,P
là,là,60
",",",",p
au,à,81
au,le,71
milieu,milieu,21
du,de,81
du,le,71
pavé,pavé,21
",",",",p
-,-,p
il,il,51
était,être,18
midi,midi,21
",",",",p
-,-,p
un,un,71
grand,grand,30
soleil,soleil,21
",",",",p
-,-,p
une,un,71
créature,créature,22
dansait,danser,18
/.,/.,P
une,un,71
créature,créature,22
si,si,60
belle,beau,30
que,que,83
dieu,dieu,21
l',le,52
eût,avoir,19
préférée,préférer,12
à,à,81
la,le,71
Vierge,Vierge,20
",",",",p
et,et,82
l',le,52
eût,avoir,19
choisie,choisir,12
pour,pour,81
sa,son,73
mère,mère,22
",",",",p
et,et,82
eût,avoir,19
voulu,vouloir,12
naître,naître,14
d',de,81
elle,il,51
si,si,83
elle,il,51
eût,avoir,19
existé,exister,12
quand,quand,83
il,il,51
se,se,51
fit,faire,19
homme,homme,21
/!,/!,P
ses,son,73
yeux,oeil,21
étaient,être,18
noirs,noir,30
et,et,82
splendides,splendide,30
",",",",p
au,à,81
au,le,71
milieu,milieu,21
de,de,81
sa,son,73
chevelure,chevelure,22
noire,noir,30
quelques,quelque,75
cheveux,cheveu,21
que,que,52
pénétrait,pénétrer,18
le,le,71
soleil,soleil,21
blondissaient,blondir,18
comme,comme,83
des,de,81
des,le,71
fils,fil,21
