11908
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-deuxième extrait>,<>,<>
ouvrant,ouvrir,13
la,le,71
porte,porte,22
de,de,81
communication,communication,22
",",",",p
s',se,51
engagea,engager,19
dans,dans,81
le,le,71
corridor,corridor,21
qui,qui,52
conduisait,conduire,18
de,de,81
chez,chez,81
lui,lui,51
chez,chez,81
Anne,Anne,20
d',de,81
Autriche,Autriche,20
/.,/.,P
la,le,71
reine,reine,22
était,être,18
au,à,81
au,le,71
milieu,milieu,21
de,de,81
ses,son,73
femmes,femme,22
",",",",p
madame,madame,22
de,de,81
Guitaut,Guitaut,20
",",",",p
madame,madame,22
de,de,81
Sablé,Sablé,20
",",",",p
madame,madame,22
de,de,81
Montbazon,Montbazon,20
et,et,82
madame,madame,22
de,de,81
Guéménée,Guéménée,20
/.,/.,P
dans,dans,81
un,un,71
coin,coin,21
était,être,18
cette,ce,74
camériste,camériste,22
espagnole,espagnol,30
doña,dona,92
Estefania,Estefania,20
",",",",p
qui,qui,52
l',le,52
avait,avoir,18
suivie,suivre,12
de,de,81
Madrid,Madrid,20
/.,/.,P
madame,madame,22
de,de,81
Guéménée,Guéménée,20
faisait,faire,18
la,le,71
lecture,lecture,22
",",",",p
et,et,82
tout,tout,75
le,le,71
monde,monde,21
écoutait,écouter,18
avec,avec,81
attention,attention,22
la,le,71
lectrice,lectrice,22
",",",",p
à,à,81
l',le,71
exception,exception,22
de,de,81
la,le,71
reine,reine,22
",",",",p
qui,qui,52
",",",",p
au,à,81
au,le,71
contraire,contraire,21
",",",",p
avait,avoir,18
provoqué,provoquer,12
cette,ce,74
lecture,lecture,22
afin,afin,81
de,de,81
pouvoir,pouvoir,14
",",",",p
tout,tout,60
en,en,81
feignant,feindre,13
d',de,81
écouter,écouter,14
",",",",p
suivre,suivre,14
le,le,71
fil,fil,21
de,de,81
ses,son,73
propres,propre,30
pensées,pensée,22
/.,/.,P
ces,ce,74
pensées,pensée,22
",",",",p
toutes,tout,60
dorées,doré,31
qu',que,83
elles,ils,51
étaient,être,18
par,par,81
un,un,71
dernier,dernier,30
reflet,reflet,21
d',de,81
amour,amour,21
",",",",p
n',ne,60
en,en,52
étaient,être,18
pas,pas,60
moins,moins,60
tristes,triste,30
/.,/.,P
Anne,Anne,20
d',de,81
Autriche,Autriche,20
",",",",p
privée,privé,31
de,de,81
la,le,71
confiance,confiance,22
de,de,81
son,son,73
mari,mari,21
",",",",p
poursuivie,poursuivi,31
par,par,81
la,le,71
haine,haine,22
du,de,81
du,le,71
cardinal,cardinal,21
",",",",p
qui,qui,52
ne,ne,60
pouvait,pouvoir,18
lui,lui,51
pardonner,pardonner,14
d',de,81
avoir,avoir,14
repoussé,repousser,12
un,un,71
sentiment,sentiment,21
plus,plus,60
doux,doux,30
",",",",p
ayant,avoir,13
sous,sous,81
les,le,71
yeux,oeil,21
l',le,71
exemple,exemple,21
de,de,81
la,le,71
reine,reine,22
mère,mère,22
",",",",p
que,que,83
cette,ce,74
haine,haine,22
avait,avoir,18
tourmentée,tourmenter,12
toute,tout,75
sa,son,73
vie,vie,22
-,-,p
quoique,quoique,83
Marie,Marie,20
de,de,81
Médicis,Médicis,20
",",",",p
s',si,83
il,il,51
faut,falloir,17
en,en,52
croire,croire,14
les,le,71
mémoires,mémoire,22
du,de,81
du,le,71
temps,temps,21
",",",",p
eût,avoir,19
commencé,commencer,12
par,par,81
accorder,accorder,14
au,à,81
au,le,71
cardinal,cardinal,21
le,le,71
sentiment,sentiment,21
qu',que,52
Anne,Anne,20
d',de,81
Autriche,Autriche,20
finit,finir,19
toujours,toujours,60
par,par,81
lui,lui,51
refuser,refuser,14
-,-,p
Anne,Anne,20
d',de,81
Autriche,Autriche,20
avait,avoir,18
vu,voir,12
tomber,tomber,14
autour,autour,60
d',de,81
elle,il,51
ses,son,73
serviteurs,serviteur,21
les,le,71
plus,plus,60
dévoués,dévoué,31
",",",",p
ses,son,73
confidents,confident,21
les,le,71
plus,plus,60
intimes,intime,30
",",",",p
ses,son,73
favoris,favori,21
les,le,71
plus,plus,60
chers,cher,30
/.,/.,P
comme,comme,83
ces,ce,74
malheureux,malheureux,21
doués,doué,31
d',de,81
un,un,71
don,don,21
funeste,funeste,30
",",",",p
elle,il,51
portait,porter,18
malheur,malheur,21
à,à,81
tout,tout,52
ce,ce,52
qu',que,52
elle,il,51
touchait,toucher,18
",",",",p
son,son,73
amitié,amitié,22
était,être,18
un,un,71
signe,signe,21
fatal,fatal,30
qui,qui,52
appelait,appeler,18
la,le,71
persécution,persécution,22
/.,/.,P
madame,madame,22
de,de,81
Chevreuse,Chevreuse,20
et,et,82
madame,madame,22
de,de,81
Vernel,Vernel,20
étaient,être,18
exilées,exiler,12
;,;,p
enfin,enfin,60
La Porte,La Porte,20
ne,ne,60
cachait,cacher,18
pas,pas,60
à,à,81
sa,son,73
maîtresse,maîtresse,22
qu',que,83
il,il,51
s',se,51
attendait,attendre,18
à,à,81
être,être,14
arrêté,arrêter,12
d',de,81
un,un,71
instant,instant,21
à,à,81
l',le,71
autre,autre,52
/.,/.,P
c',ce,52
est,être,17
au,à,81
au,le,71
moment,moment,21
où,où,60
elle,il,51
était,être,18
plongée,plonger,12
au,à,81
au,le,71
plus,plus,60
profond,profond,30
et,et,82
au,à,81
au,le,71
plus,plus,60
sombre,sombre,30
de,de,81
ces,ce,74
réflexions,réflexion,22
",",",",p
que,que,83
la,le,71
porte,porte,22
de,de,81
la,le,71
chambre,chambre,22
s',se,51
ouvrit,ouvrir,19
et,et,82
que,que,83
le,le,71
roi,roi,21
entra,entrer,19
/.,/.,P
la,le,71
lectrice,lectrice,22
se,se,51
tut,taire,19
à,à,81
l',le,71
instant,instant,21
même,même,30
",",",",p
toutes,tout,75
les,le,71
dames,dame,22
se,se,51
levèrent,lever,19
",",",",p
et,et,82
il,il,51
se,se,51
fit,faire,19
un,un,71
profond,profond,30
silence,silence,21
/.,/.,P
quant,quand,83
au,à,81
au,le,71
roi,roi,21
",",",",p
il,il,51
ne,ne,60
fit,faire,19
aucune,aucun,75
démonstration,démonstration,22
de,de,81
politesse,politesse,22
;,;,p
seulement,seulement,60
",",",",p
s',se,51
arrêtant,arrêter,13
devant,devant,81
la,le,71
reine,reine,22
:,:,p
“,“,p
madame,madame,22
",",",",p
dit,dire,19
il,il,51
d',de,81
une,un,71
voix,voix,22
altérée,altéré,31
",",",",p
vous,vous,51
allez,aller,17
recevoir,recevoir,14
la,le,71
visite,visite,22
de,de,81
monsieur,monsieur,21
le,le,71
chancelier,chancelier,21
",",",",p
qui,qui,52
vous,vous,51
communiquera,communiquer,15
certaines,certain,75
affaires,affaire,22
dont,dont,52
je,je,51
l',le,52
ai,avoir,17
chargé,charger,12
/.,/.,P
“,“,p
la,le,71
malheureuse,malheureux,30
reine,reine,22
",",",",p
qu',que,52
on,on,51
menaçait,menacer,18
sans,sans,81
cesse,cesse,22
de,de,81
divorce,divorce,21
",",",",p
d',de,81
exil,exil,21
et,et,82
de,de,81
jugement,jugement,21
même,même,30
",",",",p
pâlit,pâlir,19
sous,sous,81
son,son,73
rouge,rouge,21
et,et,82
ne,ne,60
put,pouvoir,19
s',se,51
empêcher,empêcher,14
de,de,81
dire,dire,14
:,:,p
“,“,p
mais,mais,82
pourquoi,pourquoi,60
cette,ce,74
visite,visite,22
",",",",p
sire,sire,21
/?,/?,P
que,que,52
me,je,51
dira,dire,15
monsieur,monsieur,21
le,le,71
chancelier,chancelier,21
que,que,52
votre,votre,73
majesté,majesté,22
ne,ne,60
puisse,pouvoir,17
me,je,51
dire,dire,14
elle-même,lui-même,51
/?,/?,P
le,le,71
roi,roi,21
tourna,tourner,19
sur,sur,81
ses,son,73
talons,talon,21
sans,sans,81
répondre,répondre,14
",",",",p
et,et,82
presque,presque,60
au,à,81
au,le,71
même,même,75
instant,instant,21
le,le,71
capitaine,capitaine,21
des,de,81
des,le,71
gardes,garde,21
",",",",p
monsieur,monsieur,21
de,de,81
Guitaut,Guitaut,20
",",",",p
annonça,annoncer,19
la,le,71
visite,visite,22
de,de,81
monsieur,monsieur,21
le,le,71
chancelier,chancelier,21
/.,/.,P
lorsque,lorsque,83
le,le,71
chancelier,chancelier,21
parut,paraître,19
",",",",p
le,le,71
roi,roi,21
était,être,18
déjà,déjà,60
sorti,sortir,12
par,par,81
une,un,71
autre,autre,75
porte,porte,22
/.,/.,P
le,le,71
chancelier,chancelier,21
entra,entrer,19
demi-souriant,demi-souriant,30
",",",",p
demi-rougissant,demi-rougissant,30
/.,/.,P
comme,comme,83
nous,nous,51
le,le,52
retrouverons,retrouver,15
probablement,probablement,60
dans,dans,81
le,le,71
cours,cours,21
de,de,81
cette,ce,74
histoire,histoire,22
",",",",p
il,il,51
n',ne,60
y,y,52
a,avoir,17
pas,pas,60
de,de,81
mal,mal,21
à,à,81
ce,ce,52
que,que,52
nos,notre,73
lecteurs,lecteur,21
fassent,faire,17
dès,dès,81
à,à,81
présent,présent,21
connaissance,connaissance,22
avec,avec,81
lui,lui,51
/.,/.,P
ce,ce,74
chancelier,chancelier,21
était,être,18
un,un,71
plaisant,plaisant,30
homme,homme,21
/.,/.,P
ce,ce,52
fut,être,19
des,de,81
des,le,71
Roches,Roche,20
Le Masle,Le Masle,20
",",",",p
chanoine,chanoine,21
à,à,81
Notre-Dame,Notre Dame,20
",",",",p
et,et,82
qui,qui,52
avait,avoir,18
été,être,12
autrefois,autrefois,60
valet,valet,21
de,de,81
chambre,chambre,22
du,de,81
du,le,71
cardinal,cardinal,21
",",",",p
qui,qui,52
le,le,52
proposa,proposer,19
à,à,81
son,son,73
éminence,éminence,22
comme,comme,83
un,un,71
homme,homme,21
tout,tout,60
dévoué,dévoué,31
/.,/.,P
le,le,71
cardinal,cardinal,21
s',se,51
y,y,52
fia,fier,19
et,et,82
s',se,51
en,en,52
trouva,trouver,19
bien,bien,60
/.,/.,P
on,on,51
racontait,raconter,18
de,de,81
lui,lui,51
certaines,certain,75
histoires,histoire,22
",",",",p
entre,entre,81
autres,autre,52
celle-ci,celui-ci,52
:,:,p
après,après,81
une,un,71
jeunesse,jeunesse,22
orageuse,orageux,30
",",",",p
il,il,51
s',se,51
était,être,18
retiré,retirer,12
dans,dans,81
un,un,71
couvent,couvent,21
pour,pour,81
y,y,52
expier,expier,14
au,à,81
au,le,71
moins,moins,60
pendant,pendant,21
quelque,quelque,75
temps,temps,21
les,le,71
folies,folie,22
de,de,81
l',le,71
adolescence,adolescence,22
/.,/.,P
mais,mais,82
",",",",p
en,en,81
entrant,entrer,13
dans,dans,81
ce,ce,74
saint,saint,30
lieu,lieu,21
",",",",p
le,le,71
pauvre,pauvre,30
pénitent,pénitent,21
n',ne,60
avait,avoir,18
pu,pouvoir,12
refermer,refermer,14
si,si,60
vite,vite,60
la,le,71
porte,porte,22
",",",",p
que,que,83
les,le,71
passions,passion,22
qu',que,52
il,il,51
fuyait,fuir,18
n',ne,60
y,y,52
entrassent,entrer,18
avec,avec,81
lui,lui,51
/.,/.,P
il,il,51
en,en,52
était,être,18
obsédé,obséder,12
sans,sans,81
relâche,relâche,22
",",",",p
et,et,82
le,le,71
supérieur,supérieur,21
",",",",p
auquel,à,81
auquel,lequel,52
il,il,51
avait,avoir,18
confié,confier,12
cette,ce,74
disgrâce,disgrâce,22
",",",",p
voulant,vouloir,13
autant,autant,60
qu',que,83
il,il,51
était,être,18
en,en,81
lui,lui,51
l',le,71
en,en,52
garantir,garantir,14
",",",",p
lui,lui,51
avait,avoir,18
recommandé,recommander,12
pour,pour,81
conjurer,conjurer,14
le,le,71
démon,démon,21
tentateur,tentateur,30
de,de,81
recourir,recourir,14
à,à,81
la,le,71
corde,corde,22
de,de,81
la,le,71
cloche,cloche,22
et,et,82
de,de,81
sonner,sonner,14
à,à,81
toute,tout,75
volée,volée,22
/.,/.,P
au,à,81
au,le,71
bruit,bruit,21
dénonciateur,dénonciateur,30
",",",",p
les,le,71
moines,moine,21
seraient,être,16
prévenus,prévenir,12
que,que,83
la,le,71
tentation,tentation,22
assiégeait,assiéger,18
un,un,71
frère,frère,21
",",",",p
et,et,82
toute,tout,75
la,le,71
communauté,communauté,22
se,se,51
mettrait,mettre,16
en,en,81
prières,prière,22
/.,/.,P
le,le,71
conseil,conseil,21
parut,paraître,19
bon,bon,60
au,à,81
au,le,71
futur,futur,30
chancelier,chancelier,21
/.,/.,P
il,il,51
conjura,conjurer,19
l',le,71
esprit,esprit,21
malin,malin,30
à,à,81
grand,grand,30
renfort,renfort,21
de,de,81
prières,prière,22
faites,fait,31
par,par,81
les,le,71
moines,moine,21
;,;,p
mais,mais,82
le,le,71
diable,diable,21
ne,ne,60
se,se,51
laisse,laisser,17
pas,pas,60
déposséder,déposséder,14
facilement,facilement,60
d',de,81
une,un,71
place,place,22
où,où,60
il,il,51
a,avoir,17
mis,mettre,12
garnison,garnison,22
;,;,p
à,à,81
mesure,mesure,22
qu',que,83
on,on,51
redoublait,redoubler,18
les,le,71
exorcismes,exorcisme,21
",",",",p
il,il,51
redoublait,redoubler,18
les,le,71
tentations,tentation,22
",",",",p
de,de,81
sorte,sorte,22
que,que,83
jour,jour,21
et,et,82
nuit,nuit,22
la,le,71
cloche,cloche,22
sonnait,sonner,18
à,à,81
toute,tout,75
volée,volée,22
",",",",p
annonçant,annoncer,13
l',le,71
extrême,extrême,30
désir,désir,21
de,de,81
mortification,mortification,22
qu',que,52
éprouvait,éprouver,18
le,le,71
pénitent,pénitent,21
/.,/.,P
les,le,71
moines,moine,21
n',ne,60
avaient,avoir,18
plus,plus,60
un,un,71
instant,instant,21
de,de,81
repos,repos,21
/.,/.,P
le,le,71
jour,jour,21
",",",",p
ils,ils,51
ne,ne,60
faisaient,faire,18
que,que,83
monter,monter,14
et,et,82
descendre,descendre,14
les,le,71
escaliers,escalier,21
qui,qui,52
conduisaient,conduire,18
à,à,81
la,le,71
chapelle,chapelle,22
;,;,p
la,le,71
nuit,nuit,22
",",",",p
outre,outre,81
complies,complies,22
et,et,82
matines,matines,22
",",",",p
ils,ils,51
étaient,être,18
encore,encore,60
obligés,obliger,12
de,de,81
sauter,sauter,14
vingt,vingt,72
fois,fois,22
à,à,81
bas,bas,60
de,de,81
leurs,leur,73
lits,lit,21
et,et,82
de,de,81
se,se,51
prosterner,prosterner,14
sur,sur,81
le,le,71
carreau,carreau,21
de,de,81
leurs,leur,73
cellules,cellule,22
/.,/.,P
on,on,51
ignore,ignorer,17
si,si,83
ce,ce,52
fut,être,19
le,le,71
diable,diable,21
qui,qui,52
lâcha,lâcher,19
prise,prise,22
ou,ou,82
les,le,71
moines,moine,21
qui,qui,52
se,se,51
lassèrent,lasser,19
;,;,p
mais,mais,82
",",",",p
au,à,81
au,le,71
bout,bout,21
de,de,81
trois,trois,72
mois,mois,21
",",",",p
le,le,71
pénitent,pénitent,21
reparut,reparaître,19
dans,dans,81
le,le,71
monde,monde,21
avec,avec,81
la,le,71
réputation,réputation,22
du,de,81
du,le,71
plus,plus,60
terrible,terrible,30
possédé,possédé,21
qui,qui,52
eût,avoir,19
jamais,jamais,60
existé,exister,12
/.,/.,P
en,en,81
sortant,sortir,13
du,de,81
du,le,71
couvent,couvent,21
",",",",p
il,il,51
entra,entrer,19
dans,dans,81
la,le,71
magistrature,magistrature,22
",",",",p
devint,devenir,19
président,président,21
à,à,81
mortier,mortier,21
à,à,81
la,le,71
place,place,22
de,de,81
son,son,73
oncle,oncle,21
",",",",p
embrassa,embrasser,19
le,le,71
parti,parti,21
du,de,81
du,le,71
cardinal,cardinal,21
",",",",p
ce,ce,52
qui,qui,52
ne,ne,60
prouvait,prouver,18
pas,pas,60
peu,peu,60
de,de,81
sagacité,sagacité,22
;,;,p
devint,devenir,19
chancelier,chancelier,21
",",",",p
servit,servir,19
son,son,73
éminence,éminence,22
avec,avec,81
zèle,zèle,21
dans,dans,81
sa,son,73
haine,haine,22
contre,contre,81
la,le,71
reine,reine,22
mère,mère,22
et,et,82
sa,son,73
vengeance,vengeance,22
contre,contre,81
Anne,Anne,20
d',de,81
Autriche,Autriche,20
;,;,p
stimula,stimuler,19
les,le,71
juges,juge,21
dans,dans,81
l',le,71
affaire,affaire,22
de,de,81
Chalais,Chalais,20
",",",",p
encouragea,encourager,19
les,le,71
essais,essai,21
de,de,81
monsieur,monsieur,21
de,de,81
Laffemas,Laffemas,20
",",",",p
grand,grand,30
gibecier,gibecier,21
de,de,81
France,France,20
;,;,p
puis,puis,60
enfin,enfin,60
",",",",p
investi,investi,31
de,de,81
toute,tout,75
la,le,71
confiance,confiance,22
du,de,81
du,le,71
cardinal,cardinal,21
",",",",p
confiance,confiance,22
qu',que,52
il,il,51
avait,avoir,18
si,si,60
bien,bien,60
gagnée,gagner,12
",",",",p
il,il,51
en,en,52
vint,venir,19
à,à,81
recevoir,recevoir,14
la,le,71
singulière,singulier,30
commission,commission,22
pour,pour,81
l',le,71
exécution,exécution,22
de,de,81
laquelle,lequel,52
il,il,51
se,se,51
présentait,présenter,18
chez,chez,81
la,le,71
reine,reine,22
/.,/.,P
la,le,71
reine,reine,22
était,être,18
encore,encore,60
debout,debout,60
quand,quand,83
il,il,51
entra,entrer,19
",",",",p
mais,mais,82
à,à,81
peine,peine,22
l',le,52
eut,avoir,19
elle,il,51
aperçu,apercevoir,12
",",",",p
qu',que,83
elle,il,51
se,se,51
rassit,rasseoir,19
sur,sur,81
son,son,73
fauteuil,fauteuil,21
et,et,82
fit,faire,19
signe,signe,21
à,à,81
ses,son,73
femmes,femme,22
de,de,81
se,se,51
rasseoir,rasseoir,14
sur,sur,81
leurs,leur,73
coussins,coussin,21
et,et,82
leurs,leur,73
tabourets,tabouret,21
",",",",p
et,et,82
",",",",p
d',de,81
un,un,71
ton,ton,21
de,de,81
suprême,suprême,30
hauteur,hauteur,22
:,:,p
“,“,p
que,que,52
désirez,désirer,17
vous,vous,51
",",",",p
monsieur,monsieur,21
",",",",p
demanda,demander,19
Anne,Anne,20
d',de,81
Autriche,Autriche,20
",",",",p
et,et,82
dans,dans,81
quel,quel,75
but,but,21
vous,vous,51
présentez,présenter,17
vous,vous,51
ici,ici,60
/?,/?,P
pour,pour,81
y,y,52
faire,faire,14
au,à,81
au,le,71
nom,nom,21
du,de,81
du,le,71
roi,roi,21
",",",",p
madame,madame,22
",",",",p
et,et,82
sauf,sauf,81
tout,tout,75
le,le,71
respect,respect,21
que,que,52
j',je,51
ai,avoir,17
l',le,71
honneur,honneur,21
de,de,81
devoir,devoir,14
à,à,81
votre,votre,73
majesté,majesté,22
",",",",p
une,un,71
perquisition,perquisition,22
exacte,exact,30
dans,dans,81
vos,votre,73
papiers,papier,21
/.,/.,P
-,-,p
comment,comment,60
",",",",p
monsieur,monsieur,21
!,!,p
une,un,71
perquisition,perquisition,22
dans,dans,81
mes,mon,73
papiers,papier,21
…,…,p
à,à,81
moi,moi,51
!,!,p
mais,mais,82
voilà,voilà,81
une,un,71
chose,chose,22
indigne,indigne,30
/!,/!,P
veuillez,vouloir,17
me,je,51
le,le,52
pardonner,pardonner,14
",",",",p
madame,madame,22
",",",",p
mais,mais,82
",",",",p
dans,dans,81
cette,ce,74
circonstance,circonstance,22
",",",",p
je,je,51
ne,ne,60
suis,être,17
que,que,83
l',le,71
instrument,instrument,21
dont,dont,52
le,le,71
roi,roi,21
se,se,51
sert,servir,17
/.,/.,P
sa,son,73
majesté,majesté,22
ne,ne,60
sort,sortir,17
elle,il,51
pas,pas,60
d',de,81
ici,ici,60
",",",",p
et,et,82
ne,ne,60
vous,vous,51
a,avoir,17
t,t,94
elle,il,51
pas,pas,60
invitée,inviter,12
elle-même,lui-même,51
à,à,81
vous,vous,51
préparer,préparer,14
à,à,81
cette,ce,74
visite,visite,22
/?,/?,P
fouillez,fouiller,17
donc,donc,82
",",",",p
monsieur,monsieur,21
;,;,p
je,je,51
suis,être,17
une,un,71
criminelle,criminelle,22
",",",",p
à,à,81
ce,ce,52
qu',que,52
il,il,51
paraît,paraître,17
:,:,p
Estefania,Estefania,20
",",",",p
donnez,donner,17
les,le,71
clefs,clé,22
de,de,81
mes,mon,73
tables,table,22
et,et,82
de,de,81
mes,mon,73
secrétaires,secrétaire,21
/.,/.,P
“,“,p
le,le,71
chancelier,chancelier,21
fit,faire,19
pour,pour,81
la,le,71
forme,forme,22
une,un,71
visite,visite,22
dans,dans,81
les,le,71
meubles,meuble,21
",",",",p
mais,mais,82
il,il,51
savait,savoir,18
bien,bien,60
que,que,83
ce,ce,52
n',ne,60
était,être,18
pas,pas,60
dans,dans,81
un,un,71
meuble,meuble,21
que,que,52
la,le,71
reine,reine,22
avait,avoir,18
dû,devoir,12
serrer,serrer,14
la,le,71
lettre,lettre,22
importante,important,30
qu',que,52
elle,il,51
avait,avoir,18
écrite,écrire,12
dans,dans,81
la,le,71
journée,journée,22
/.,/.,P
quand,quand,83
le,le,71
chancelier,chancelier,21
eut,avoir,19
rouvert,rouvrir,12
et,et,82
refermé,refermer,12
vingt,vingt,72
fois,fois,22
les,le,71
tiroirs,tiroir,21
du,de,81
du,le,71
secrétaire,secrétaire,21
",",",",p
il,il,51
fallut,falloir,19
bien,bien,60
",",",",p
quelque,quelque,75
hésitation,hésitation,22
qu',que,52
il,il,51
éprouvât,éprouver,18
",",",",p
il,il,51
fallut,falloir,19
bien,bien,60
",",",",p
dis,dire,19
je,je,51
",",",",p
en,en,52
venir,venir,14
à,à,81
la,le,71
conclusion,conclusion,22
de,de,81
l',le,71
affaire,affaire,22
",",",",p
c'est-à-dire,c'est-à-dire,91
à,à,81
fouiller,fouiller,14
la,le,71
reine,reine,22
elle-même,lui-même,51
/.,/.,P
le,le,71
chancelier,chancelier,21
s',se,51
avança,avancer,19
donc,donc,82
vers,vers,81
Anne,Anne,20
d',de,81
Autriche,Autriche,20
",",",",p
et,et,82
d',de,81
un,un,71
ton,ton,21
très,très,60
perplexe,perplexe,30
et,et,82
d',de,81
un,un,71
air,air,21
fort,fort,60
embarrassé,embarrassé,31
:,:,p
“,“,p
et,et,82
maintenant,maintenant,60
",",",",p
dit,dire,19
il,il,51
",",",",p
il,il,51
me,je,51
reste,rester,17
à,à,81
faire,faire,14
la,le,71
perquisition,perquisition,22
principale,principal,30
/.,/.,P
-,-,p
laquelle,lequel,52
?,?,p
demanda,demander,19
la,le,71
reine,reine,22
",",",",p
qui,qui,52
ne,ne,60
comprenait,comprendre,18
pas,pas,60
ou,ou,82
plutôt,plutôt,60
qui,qui,52
ne,ne,60
voulait,vouloir,18
pas,pas,60
comprendre,comprendre,14
/.,/.,P
-,-,p
sa,son,73
majesté,majesté,22
est,être,17
certaine,certain,30
qu',que,83
une,un,71
lettre,lettre,22
a,avoir,17
été,être,12
écrite,écrire,12
par,par,81
vous,vous,51
dans,dans,81
la,le,71
journée,journée,22
;,;,p
elle,il,51
sait,savoir,17
qu',que,83
elle,il,51
n',ne,60
a,avoir,17
pas,pas,60
encore,encore,60
été,être,12
envoyée,envoyer,12
à,à,81
son,son,73
adresse,adresse,22
/.,/.,P
cette,ce,74
lettre,lettre,22
ne,ne,60
se,se,51
trouve,trouver,17
ni,ni,82
dans,dans,81
votre,votre,73
table,table,22
",",",",p
ni,ni,82
dans,dans,81
votre,votre,73
secrétaire,secrétaire,21
",",",",p
et,et,82
cependant,cependant,82
cette,ce,74
lettre,lettre,22
est,être,17
quelque,quelque,75
part,part,22
/.,/.,P
-,-,p
oserez,oser,15
vous,vous,51
porter,porter,14
la,le,71
main,main,22
sur,sur,81
votre,votre,73
reine,reine,22
?,?,p
dit,dire,19
Anne,Anne,20
d',de,81
Autriche,Autriche,20
en,en,81
se,se,51
dressant,dresser,13
de,de,81
toute,tout,75
sa,son,73
hauteur,hauteur,22
et,et,82
en,en,81
fixant,fixer,13
sur,sur,81
le,le,71
chancelier,chancelier,21
ses,son,73
yeux,oeil,21
",",",",p
dont,dont,52
l',le,71
expression,expression,22
était,être,18
devenue,devenir,12
presque,presque,60
menaçante,menaçant,30
/.,/.,P
-,-,p
je,je,51
suis,être,17
un,un,71
fidèle,fidèle,30
sujet,sujet,21
du,de,81
du,le,71
roi,roi,21
",",",",p
madame,madame,22
;,;,p
et,et,82
tout,tout,52
ce,ce,52
que,que,52
sa,son,73
majesté,majesté,22
ordonnera,ordonner,15
",",",",p
je,je,51
le,le,52
ferai,faire,15
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
",",",",p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
dit,dire,19
Anne,Anne,20
d',de,81
Autriche,Autriche,20
",",",",p
et,et,82
les,le,71
espions,espion,21
de,de,81
monsieur,monsieur,21
le,le,71
cardinal,cardinal,21
l',le,52
ont,avoir,17
bien,bien,60
servi,servir,12
/.,/.,P
j',je,51
ai,avoir,17
écrit,écrire,12
aujourd'hui,aujourd'hui,60
une,un,71
lettre,lettre,22
",",",",p
cette,ce,74
lettre,lettre,22
n',ne,60
est,être,17
point,point,60
partie,partir,12
/.,/.,P
la,le,71
lettre,lettre,22
est,être,17
là,là,60
/.,/.,P
“,“,p
et,et,82
la,le,71
reine,reine,22
ramena,ramener,19
sa,son,73
belle,beau,30
main,main,22
à,à,81
son,son,73
corsage,corsage,21
/.,/.,P
“,“,p
alors,alors,60
donnez,donner,17
moi,moi,51
cette,ce,74
lettre,lettre,22
",",",",p
madame,madame,22
",",",",p
dit,dire,19
le,le,71
chancelier,chancelier,21
/.,/.,P
-,-,p
je,je,51
ne,ne,60
la,le,52
donnerai,donner,15
qu',que,83
au,à,81
au,le,71
roi,roi,21
",",",",p
monsieur,monsieur,21
",",",",p
dit,dire,19
Anne,Anne,20
/.,/.,P
-,-,p
si,si,83
le,le,71
roi,roi,21
eût,avoir,19
voulu,vouloir,12
que,que,83
cette,ce,74
lettre,lettre,22
lui,lui,51
fût,être,19
remise,remettre,12
",",",",p
madame,madame,22
",",",",p
il,il,51
vous,vous,51
l',le,52
eût,avoir,19
demandée,demander,12
lui-même,lui-même,51
/.,/.,P
mais,mais,82
",",",",p
je,je,51
vous,vous,51
le,le,52
répète,répéter,17
",",",",p
c',ce,52
est,être,17
moi,moi,51
qu',que,52
il,il,51
a,avoir,17
chargé,charger,12
de,de,81
vous,vous,51
la,le,52
réclamer,réclamer,14
",",",",p
et,et,82
si,si,83
vous,vous,51
ne,ne,60
la,le,52
rendiez,rendre,17
pas,pas,60
/…,/…,P
eh,eh,93
bien,bien,60
/?,/?,P
c',ce,52
est,être,17
encore,encore,60
moi,moi,51
qu',que,52
il,il,51
a,avoir,17
chargé,charger,12
de,de,81
vous,vous,51
la,le,52
prendre,prendre,14
/.,/.,P
-,-,p
comment,comment,60
",",",",p
que,que,52
voulez,vouloir,17
vous,vous,51
dire,dire,14
/?,/?,P
que,que,52
mes,mon,73
ordres,ordre,21
vont,aller,17
loin,loin,60
",",",",p
madame,madame,22
",",",",p
et,et,82
que,que,52
je,je,51
suis,être,17
autorisé,autoriser,12
à,à,81
chercher,chercher,14
le,le,71
papier,papier,21
suspect,suspect,30
sur,sur,81
la,le,71
personne,personne,22
même,même,60
de,de,81
votre,votre,73
majesté,majesté,22
/.,/.,P
-,-,p
quelle,quel,75
horreur,horreur,22
!,!,p
s',se,51
écria,écrier,19
la,le,71
reine,reine,22
/.,/.,P
-,-,p
veuillez,vouloir,17
donc,donc,82
",",",",p
madame,madame,22
",",",",p
agir,agir,14
plus,plus,60
facilement,facilement,60
/.,/.,P
-,-,p
cette,ce,74
conduite,conduite,22
est,être,17
d',de,81
une,un,71
violence,violence,22
infâme,infâme,30
;,;,p
savez,savoir,17
vous,vous,51
cela,cela,52
",",",",p
monsieur,monsieur,21
/?,/?,P
le,le,71
roi,roi,21
commande,commander,17
",",",",p
