-
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-cinquième extrait>,<>,<>
du,de,81
du,le,71
rouge,rouge,21
",",",",p
il,il,51
m',je,51
a,avoir,17
paru,paraître,12
rajeuni,rajeuni,31
/.,/.,P
-,-,p
je,je,51
réponds,répondre,17
de,de,81
tout,tout,52
",",",",p
dit,dire,19
Eugène,Eugène,20
en,en,81
frissonnant,frissonner,13
d',de,81
horreur,horreur,22
et,et,82
appréhendant,appréhender,13
une,un,71
catastrophe,catastrophe,22
/.,/.,P
il,il,51
monta,monter,19
chez,chez,81
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
le,le,71
vieillard,vieillard,21
gisait,gésir,18
sur,sur,81
son,son,73
lit,lit,21
",",",",p
et,et,82
Bianchon,Bianchon,20
était,être,18
auprès,auprès,60
de,de,81
lui,lui,51
/.,/.,P
-,-,p
bonjour,bonjour,21
",",",",p
père,père,21
",",",",p
lui,lui,51
dit,dire,19
Eugène,Eugène,20
/.,/.,P
le,le,71
bonhomme,bonhomme,21
lui,lui,51
sourit,sourire,19
doucement,doucement,60
",",",",p
et,et,82
répondit,répondre,19
en,en,81
tournant,tourner,13
vers,vers,81
lui,lui,51
des,de,81
des,le,71
yeux,oeil,21
vitreux,vitreux,30
/.,/.,P
-,-,p
comment,comment,60
va,aller,17
t,t,94
elle,il,51
/?,/?,P
bien,bien,60
/.,/.,P
et,et,82
vous,vous,51
/?,/?,P
pas,pas,60
mal,mal,60
/.,/.,P
-,-,p
ne,ne,60
le,le,52
fatigue,fatiguer,17
pas,pas,60
",",",",p
dit,dire,19
Bianchon,Bianchon,20
en,en,81
entraînant,entraîner,13
Eugène,Eugène,20
dans,dans,81
un,un,71
coin,coin,21
de,de,81
la,le,71
chambre,chambre,22
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
?,?,p
lui,lui,51
dit,dire,19
Rastignac,Rastignac,20
/.,/.,P
-,-,p
il,il,51
ne,ne,60
peut,pouvoir,17
être,être,14
sauvé,sauver,12
que,que,83
par,par,81
un,un,71
miracle,miracle,21
/.,/.,P
la,le,71
congestion,congestion,22
séreuse,séreux,30
a,avoir,17
eu,avoir,12
lieu,lieu,21
",",",",p
il,il,51
a,avoir,17
les,le,71
sinapismes,sinapisme,21
;,;,p
heureusement,heureusement,60
il,il,51
les,le,52
sent,sentir,17
",",",",p
ils,ils,51
agissent,agir,17
/.,/.,P
-,-,p
peut,pouvoir,17
on,on,51
le,le,52
transporter,transporter,14
/?,/?,P
impossible,impossible,30
/.,/.,P
il,il,51
faut,falloir,17
le,le,52
laisser,laisser,14
là,là,60
",",",",p
lui,lui,51
éviter,éviter,14
tout,tout,75
mouvement,mouvement,21
physique,physique,30
et,et,82
toute,tout,75
émotion,émotion,22
/…,/…,P
mon,mon,73
bon,bon,30
Bianchon,Bianchon,20
",",",",p
dit,dire,19
Eugène,Eugène,20
",",",",p
nous,nous,51
le,le,52
soignerons,soigner,15
à,à,81
nous,nous,51
deux,deux,72
/.,/.,P
-,-,p
j',je,51
ai,avoir,17
déjà,déjà,60
fait,faire,12
venir,venir,14
le,le,71
médecin,médecin,21
en,en,81
chef,chef,21
de,de,81
mon,mon,73
hôpital,hôpital,21
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
/?,/?,P
il,il,51
prononcera,prononcer,15
demain,demain,60
soir,soir,21
/.,/.,P
il,il,51
m',je,51
a,avoir,17
promis,promettre,12
de,de,81
venir,venir,14
après,après,81
sa,son,73
journée,journée,22
/.,/.,P
malheureusement,malheureusement,60
ce,ce,74
fichu,fichu,31
bonhomme,bonhomme,21
a,avoir,17
commis,commettre,12
ce,ce,74
matin,matin,21
une,un,71
imprudence,imprudence,22
sur,sur,81
laquelle,lequel,52
il,il,51
ne,ne,60
veut,vouloir,17
pas,pas,60
s',se,51
expliquer,expliquer,14
/.,/.,P
il,il,51
est,être,17
entêté,entêter,12
comme,comme,83
une,un,71
mule,mule,22
/.,/.,P
quand,quand,83
je,je,51
lui,lui,51
parle,parler,17
",",",",p
il,il,51
fait,faire,17
semblant,semblant,21
de,de,81
ne,ne,60
pas,pas,60
entendre,entendre,14
",",",",p
et,et,82
dort,dormir,17
pour,pour,81
ne,ne,60
pas,pas,60
me,je,51
répondre,répondre,14
ou,ou,82
bien,bien,60
",",",",p
s',si,83
il,il,51
a,avoir,17
les,le,71
yeux,oeil,21
ouverts,ouvert,31
",",",",p
il,il,51
se,se,51
met,mettre,17
à,à,81
geindre,geindre,14
/.,/.,P
il,il,51
est,être,17
sorti,sortir,12
vers,vers,81
le,le,71
matin,matin,21
",",",",p
il,il,51
a,avoir,17
été,être,12
à,à,81
pied,pied,21
dans,dans,81
Paris,Paris,20
",",",",p
on,on,51
ne,ne,60
sait,savoir,17
où,où,60
/.,/.,P
il,il,51
a,avoir,17
emporté,emporter,12
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
possédait,posséder,18
de,de,81
vaillant,vaillant,30
",",",",p
il,il,51
a,avoir,17
été,être,12
faire,faire,14
quelque,quelque,75
sacré,sacré,31
trafic,trafic,21
pour,pour,81
lequel,lequel,52
il,il,51
a,avoir,17
outrepassé,outrepasser,12
ses,son,73
forces,force,22
/!,/!,P
une,un,52
de,de,81
ses,son,73
filles,fille,22
est,être,17
venue,venir,12
/.,/.,P
-,-,p
la,le,71
comtesse,comtesse,22
?,?,p
dit,dire,19
Eugène,Eugène,20
/.,/.,P
une,un,71
grande,grand,30
brune,brune,22
",",",",p
l',le,71
oeil,oeil,21
vif,vif,30
et,et,82
bien,bien,60
coupé,coupé,31
",",",",p
joli,joli,30
pied,pied,21
",",",",p
taille,taille,22
souple,souple,30
/?,/?,P
oui,oui,60
/.,/.,P
-,-,p
laisse,laisser,17
moi,moi,51
seul,seul,30
un,un,71
moment,moment,21
avec,avec,81
lui,lui,51
",",",",p
dit,dire,19
Rastignac,Rastignac,20
/.,/.,P
je,je,51
vais,aller,17
le,le,52
confesser,confesser,14
",",",",p
il,il,51
me,je,51
dira,dire,15
tout,tout,52
",",",",p
à,à,81
moi,moi,51
/.,/.,P
-,-,p
je,je,51
vais,aller,17
aller,aller,14
dîner,dîner,14
pendant,pendant,81
ce,ce,74
temps,temps,21
là,là,60
/.,/.,P
seulement,seulement,60
tâche,tâche,22
de,de,81
ne,ne,60
pas,pas,60
trop,trop,60
l',le,52
agiter,agiter,14
;,;,p
nous,nous,51
avons,avoir,17
encore,encore,60
quelque,quelque,75
espoir,espoir,21
/.,/.,P
-,-,p
sois,être,17
tranquille,tranquille,30
/.,/.,P
-,-,p
elles,ils,51
s',se,51
amuseront,amuser,15
bien,bien,60
demain,demain,60
",",",",p
dit,dire,19
le,le,71
père,père,21
Goriot,Goriot,20
à,à,81
Eugène,Eugène,20
quand,quand,83
ils,ils,51
furent,être,19
seuls,seul,30
/.,/.,P
elles,ils,51
vont,aller,17
à,à,81
un,un,71
grand,grand,30
bal,bal,21
/.,/.,P
-,-,p
qu',que,52
avez,avoir,17
vous,vous,51
donc,donc,82
fait,faire,12
ce,ce,74
matin,matin,21
",",",",p
papa,papa,21
",",",",p
pour,pour,81
être,être,14
si,si,60
souffrant,souffrant,30
ce,ce,74
soir,soir,21
qu',que,83
il,il,51
vous,vous,51
faille,falloir,17
rester,rester,14
au,à,81
au,le,71
lit,lit,21
/?,/?,P
rien,rien,52
/.,/.,P
-,-,p
Anastasie,Anastasie,20
est,être,17
venue,venir,12
?,?,p
demanda,demander,19
Rastignac,Rastignac,20
/.,/.,P
-,-,p
oui,oui,60
",",",",p
répondit,répondre,19
le,le,71
père,père,21
Goriot,Goriot,20
/.,/.,P
-,-,p
eh,eh,93
bien,bien,60
!,!,p
ne,ne,60
me,je,51
cachez,cacher,17
rien,rien,52
/.,/.,P
que,que,52
vous,vous,51
a,avoir,17
t,t,94
elle,il,51
encore,encore,60
demandé,demander,12
/?,/?,P
ah,ah,93
!,!,p
reprit,reprendre,19
il,il,51
en,en,81
rassemblant,rassembler,13
ses,son,73
forces,force,22
pour,pour,81
parler,parler,14
",",",",p
elle,il,51
était,être,18
bien,bien,60
malheureuse,malheureux,30
",",",",p
allez,aller,17
",",",",p
mon,mon,73
enfant,enfant,21
/!,/!,P
Nasie,Nasie,20
n',ne,60
a,avoir,17
pas,pas,60
un,un,71
sou,sou,21
depuis,depuis,81
l',le,71
affaire,affaire,22
des,de,81
des,le,71
diamants,diamant,21
/.,/.,P
elle,il,51
avait,avoir,18
commandé,commander,12
",",",",p
pour,pour,81
ce,ce,74
bal,bal,21
",",",",p
une,un,71
robe,robe,22
lamée,lamé,31
qui,qui,52
doit,devoir,17
lui,lui,51
aller,aller,14
comme,comme,83
un,un,71
bijou,bijou,21
/.,/.,P
sa,son,73
couturière,couturière,22
",",",",p
une,un,71
infâme,infâme,30
",",",",p
n',ne,60
a,avoir,17
pas,pas,60
voulu,vouloir,12
lui,lui,51
faire,faire,14
crédit,crédit,21
",",",",p
et,et,82
sa,son,73
femme,femme,22
de,de,81
chambre,chambre,22
a,avoir,17
payé,payer,12
mille,mille,72
francs,franc,21
en,en,81
à,à,81
compte,compte,21
sur,sur,81
la,le,71
toilette,toilette,22
/.,/.,P
pauvre,pauvre,30
Nasie,Nasie,20
",",",",p
en,en,52
être,être,14
venue,venir,12
là,là,60
/!,/!,P
ça,ça,52
m',je,51
a,avoir,17
déchiré,déchirer,12
le,le,71
coeur,coeur,21
/.,/.,P
mais,mais,82
la,le,71
femme,femme,22
de,de,81
chambre,chambre,22
",",",",p
voyant,voir,13
ce,ce,74
Restaud,Restaud,20
retirer,retirer,14
toute,tout,75
sa,son,73
confiance,confiance,22
à,à,81
Nasie,Nasie,20
",",",",p
a,avoir,17
eu,avoir,12
peur,peur,22
de,de,81
perdre,perdre,14
son,son,73
argent,argent,21
",",",",p
et,et,82
s',se,51
entend,entendre,17
avec,avec,81
la,le,71
couturière,couturière,22
pour,pour,81
ne,ne,60
livrer,livrer,14
la,le,71
robe,robe,22
que,que,83
si,si,83
les,le,71
mille,mille,72
francs,franc,21
sont,être,17
rendus,rendre,12
/.,/.,P
le,le,71
bal,bal,21
est,être,17
demain,demain,60
",",",",p
la,le,71
robe,robe,22
est,être,17
prête,prêt,30
",",",",p
Nasie,Nasie,20
est,être,17
au,à,81
au,le,71
désespoir,désespoir,21
/.,/.,P
elle,il,51
a,avoir,17
voulu,vouloir,12
m',je,51
emprunter,emprunter,14
mes,mon,73
couverts,couvert,21
pour,pour,81
les,le,52
engager,engager,14
/.,/.,P
son,son,73
mari,mari,21
veut,vouloir,17
qu',que,83
elle,il,51
aille,aller,17
à,à,81
ce,ce,74
bal,bal,21
pour,pour,81
montrer,montrer,14
à,à,81
tout,tout,75
Paris,Paris,20
les,le,71
diamants,diamant,21
qu',que,52
on,on,51
prétend,prétendre,17
vendus,vendu,31
par,par,81
elle,il,51
/.,/.,P
peut,pouvoir,17
elle,il,51
dire,dire,14
à,à,81
ce,ce,74
monstre,monstre,21
:,:,p
“,“,p
je,je,51
dois,devoir,17
mille,mille,72
francs,franc,21
",",",",p
payez,payer,17
les,le,52
“,“,p
/?,/?,P
non,non,60
/.,/.,P
j',je,51
ai,avoir,17
compris,comprendre,12
ça,ça,52
",",",",p
moi,moi,51
/.,/.,P
sa,son,73
soeur,soeur,22
Delphine,Delphine,20
ira,aller,15
là,là,60
dans,dans,81
une,un,71
toilette,toilette,22
superbe,superbe,30
/.,/.,P
Anastasie,Anastasie,20
ne,ne,60
doit,devoir,17
pas,pas,60
être,être,14
au-dessous,au-dessous,60
de,de,81
sa,son,73
cadette,cadette,22
/.,/.,P
et,et,82
puis,puis,60
elle,il,51
est,être,17
si,si,60
noyée,noyer,12
de,de,81
larmes,larme,22
",",",",p
ma,mon,73
pauvre,pauvre,30
fille,fille,22
/!,/!,P
j',je,51
ai,avoir,17
été,être,12
si,si,60
humilié,humilier,12
de,de,81
n',ne,60
avoir,avoir,14
pas,pas,60
eu,avoir,12
douze,douze,72
mille,mille,72
francs,franc,21
hier,hier,60
",",",",p
que,que,83
j',je,51
aurais,avoir,16
donné,donner,12
le,le,71
reste,reste,21
de,de,81
ma,mon,73
misérable,misérable,30
vie,vie,22
pour,pour,81
racheter,racheter,14
ce,ce,74
tort,tort,21
là,là,60
/.,/.,P
voyez,voir,17
vous,vous,51
?,?,p
j',je,51
avais,avoir,18
eu,avoir,12
la,le,71
force,force,22
de,de,81
tout,tout,52
supporter,supporter,14
",",",",p
mais,mais,82
mon,mon,73
dernier,dernier,30
manque,manque,21
d',de,81
argent,argent,21
m',je,51
a,avoir,17
crevé,crever,12
le,le,71
coeur,coeur,21
/.,/.,P
oh,oh,93
!,!,p
oh,oh,93
!,!,p
je,je,51
n',ne,60
en,en,52
ai,avoir,17
fait,faire,12
ni,ni,82
une,un,72
ni,ni,82
deux,deux,72
",",",",p
je,je,51
me,je,51
suis,être,17
rafistolé,rafistoler,12
",",",",p
requinqué,requinquer,12
;,;,p
j',je,51
ai,avoir,17
vendu,vendre,12
pour,pour,81
six,six,72
cents,cent,72
francs,franc,21
de,de,81
couverts,couvert,21
et,et,82
de,de,81
boucles,boucle,22
",",",",p
puis,puis,60
j',je,51
ai,avoir,17
engagé,engager,12
",",",",p
pour,pour,81
un,un,71
an,an,21
",",",",p
mon,mon,73
titre,titre,21
de,de,81
rente,rente,22
viagère,viager,30
contre,contre,81
quatre,quatre,72
cents,cent,72
francs,franc,21
une,un,71
fois,fois,22
payés,payé,31
",",",",p
au,à,81
au,le,71
papa,papa,21
Gobseck,Gobseck,20
/.,/.,P
bah,bah,93
!,!,p
je,je,51
mangerai,manger,15
du,de,81
du,le,71
pain,pain,21
!,!,p
ça,ça,52
me,je,51
suffisait,suffire,18
quand,quand,83
j',je,51
étais,être,18
jeune,jeune,30
",",",",p
ça,ça,52
peut,pouvoir,17
encore,encore,60
aller,aller,14
/.,/.,P
au,à,81
au,le,71
moins,moins,60
elle,il,51
aura,avoir,15
une,un,71
belle,beau,30
soirée,soirée,22
",",",",p
ma,mon,73
Nasie,Nasie,20
/.,/.,P
elle,il,51
sera,être,15
pimpante,pimpant,30
/.,/.,P
j',je,51
ai,avoir,17
le,le,71
billet,billet,21
de,de,81
mille,mille,72
francs,franc,21
là,là,60
sous,sous,81
mon,mon,73
chevet,chevet,21
/.,/.,P
ça,ça,52
me,je,51
réchauffe,réchauffer,17
d',de,81
avoir,avoir,14
là,là,60
sous,sous,81
la,le,71
tête,tête,22
ce,ce,52
qui,qui,52
va,aller,17
faire,faire,14
plaisir,plaisir,21
à,à,81
la,le,71
pauvre,pauvre,30
Nasie,Nasie,20
/!,/!,P
elle,il,51
pourra,pouvoir,15
mettre,mettre,14
sa,son,73
mauvaise,mauvais,30
Victoire,Victoire,20
à,à,81
la,le,71
porte,porte,22
/.,/.,P
a,avoir,17
t,t,94
on,on,51
vu,voir,12
des,de,81
des,le,71
domestiques,domestique,21
ne,ne,60
pas,pas,60
avoir,avoir,14
confiance,confiance,22
dans,dans,81
leurs,leur,73
maîtres,maître,21
/!,/!,P
demain,demain,60
je,je,51
serai,être,16
bien,bien,60
",",",",p
Nasie,Nasie,20
vient,venir,17
à,à,81
dix,dix,72
heures,heure,22
/.,/.,P
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
qu',que,83
elles,ils,51
me,je,51
croient,croire,17
malade,malade,30
",",",",p
elles,ils,51
n',ne,60
iraient,aller,16
point,point,60
au,à,81
au,le,71
bal,bal,21
",",",",p
elles,ils,51
me,je,51
soigneraient,soigner,16
/.,/.,P
Nasie,Nasie,20
m',je,51
embrassera,embrasser,15
demain,demain,60
comme,comme,83
son,son,73
enfant,enfant,21
",",",",p
ses,son,73
caresses,caresse,22
me,je,51
guériront,guérir,15
/.,/.,P
enfin,enfin,60
",",",",p
n',ne,60
aurais,avoir,16
je,je,51
pas,pas,60
dépensé,dépenser,12
mille,mille,72
francs,franc,21
chez,chez,81
l',le,71
apothicaire,apothicaire,21
/?,/?,P
j',je,51
aime,aimer,17
mieux,mieux,60
les,le,52
donner,donner,14
à,à,81
mon,mon,73
Guérit,Guérit,20
/.,/.,P
-,-,p
tout,tout,52
",",",",p
à,à,81
ma,mon,73
Nasie,Nasie,20
/.,/.,P
je,je,51
la,le,52
consolerai,consoler,15
dans,dans,81
sa,son,73
misère,misère,22
",",",",p
au,à,81
au,le,71
moins,moins,60
/.,/.,P
ça,ça,52
m',je,51
acquitte,acquitter,17
du,de,81
du,le,71
tort,tort,21
de,de,81
m',je,51
être,être,14
fait,faire,12
du,de,81
du,le,71
viager,viager,21
/.,/.,P
elle,il,51
est,être,17
au,à,81
au,le,71
fond,fond,21
de,de,81
l',le,71
abîme,abîme,21
",",",",p
et,et,82
moi,moi,51
je,je,51
ne,ne,60
suis,être,17
plus,plus,60
assez,assez,60
fort,fort,30
pour,pour,81
l',le,52
en,en,52
tirer,tirer,14
/.,/.,P
oh,oh,93
!,!,p
je,je,51
vais,aller,17
me,je,51
remettre,remettre,14
au,à,81
au,le,71
commerce,commerce,21
/.,/.,P
j',je,51
irai,aller,15
à,à,81
Odessa,Odessa,20
pour,pour,81
y,y,52
acheter,acheter,14
du,de,81
du,le,71
grain,grain,21
/.,/.,P
les,le,71
blés,blé,21
valent,valoir,17
là,là,60
trois,trois,72
fois,fois,22
moins,moins,60
que,que,83
les,le,71
nôtres,nôtre,52
ne,ne,60
coûtent,coûter,17
/.,/.,P
si,si,83
l',le,71
introduction,introduction,22
des,de,81
des,le,71
céréales,céréale,22
est,être,17
défendue,défendre,12
en,en,81
nature,nature,22
",",",",p
les,le,71
braves,brave,30
gens,gens,21
qui,qui,52
font,faire,17
les,le,71
lois,loi,22
n',ne,60
ont,avoir,17
pas,pas,60
songé,songer,12
à,à,81
prohiber,prohiber,14
les,le,71
fabrications,fabrication,22
dont,dont,52
les,le,71
blés,blé,21
sont,être,17
le,le,71
principe,principe,21
/.,/.,P
hé,hé,93
",",",",p
hé,hé,93
!,!,p
…,…,p
j',je,51
ai,avoir,17
trouvé,trouver,12
cela,cela,52
",",",",p
moi,moi,51
",",",",p
ce,ce,74
matin,matin,21
/!,/!,P
il,il,51
y,y,52
a,avoir,17
de,de,81
beaux,beau,30
coups,coup,21
à,à,81
faire,faire,14
dans,dans,81
les,le,71
amidons,amidon,21
/.,/.,P
il,il,51
est,être,17
fou,fou,30
",",",",p
se,se,51
dit,dire,17
Eugène,Eugène,20
en,en,81
regardant,regarder,13
le,le,71
vieillard,vieillard,21
/.,/.,P
allons,aller,17
",",",",p
restez,rester,17
en,en,81
repos,repos,21
",",",",p
ne,ne,60
parlez,parler,17
pas,pas,60
/…,/…,P
Eugène,Eugène,20
descendit,descendre,19
pour,pour,81
dîner,dîner,14
quand,quand,83
Bianchon,Bianchon,20
remonta,remonter,19
/.,/.,P
puis,puis,60
tous,tout,75
deux,deux,72
passèrent,passer,19
la,le,71
nuit,nuit,22
à,à,81
garder,garder,14
le,le,71
malade,malade,21
à,à,81
tour,tour,21
de,de,81
rôle,rôle,21
",",",",p
en,en,81
s',se,51
occupant,occuper,13
",",",",p
l',le,71
un,un,52
à,à,81
lire,lire,14
ses,son,73
livres,livre,21
de,de,81
médecine,médecine,22
",",",",p
l',le,71
autre,autre,52
à,à,81
écrire,écrire,14
à,à,81
sa,son,73
mère,mère,22
et,et,82
à,à,81
ses,son,73
soeurs,soeur,22
/.,/.,P
le,le,71
lendemain,lendemain,21
",",",",p
les,le,71
symptômes,symptôme,21
qui,qui,52
se,se,51
déclarèrent,déclarer,19
chez,chez,81
le,le,71
malade,malade,21
furent,être,19
",",",",p
suivant,suivant,81
Bianchon,Bianchon,20
",",",",p
d',de,81
un,un,71
favorable,favorable,30
augure,augure,21
;,;,p
mais,mais,82
ils,ils,51
exigèrent,exiger,19
des,de,81
des,le,71
soins,soin,21
continuels,continuel,30
dont,dont,52
les,le,71
deux,deux,72
étudiants,étudiant,21
étaient,être,18
seuls,seul,30
capables,capable,30
",",",",p
et,et,82
dans,dans,81
le,le,71
récit,récit,21
desquels,de,81
desquels,lequel,52
il,il,51
est,être,17
impossible,impossible,30
de,de,81
compromettre,compromettre,14
la,le,71
pudibonde,pudibond,30
phraséologie,phraséologie,22
de,de,81
l',le,71
époque,époque,22
/.,/.,P
les,le,71
sangsues,sangsue,22
mises,mis,31
sur,sur,81
le,le,71
corps,corps,21
appauvri,appauvri,31
du,de,81
du,le,71
bonhomme,bonhomme,21
furent,être,19
accompagnées,accompagner,12
de,de,81
cataplasmes,cataplasme,21
",",",",p
de,de,81
bains,bain,21
de,de,81
pied,pied,21
",",",",p
de,de,81
manoeuvres,manoeuvre,22
médicales,médical,30
pour,pour,81
lesquelles,lequel,52
il,il,51
fallait,falloir,18
d',de,81
ailleurs,ailleurs,60
la,le,71
force,force,22
et,et,82
le,le,71
dévouement,dévouement,21
des,de,81
des,le,71
deux,deux,72
jeunes,jeune,30
gens,gens,21
/.,/.,P
madame,madame,22
de,de,81
Restaud,Restaud,20
ne,ne,60
vint,venir,19
pas,pas,60
;,;,p
elle,il,51
envoya,envoyer,19
chercher,chercher,14
sa,son,73
somme,somme,22
par,par,81
un,un,71
commissionnaire,commissionnaire,21
/.,/.,P
-,-,p
je,je,51
croyais,croire,18
qu',que,83
elle,il,51
serait,être,16
venue,venir,12
elle-même,lui-même,51
/.,/.,P
mais,mais,82
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
un,un,71
mal,mal,21
",",",",p
elle,il,51
se,se,51
serait,être,16
inquiétée,inquiéter,12
",",",",p
dit,dire,19
le,le,71
père,père,21
en,en,81
paraissant,paraître,13
heureux,heureux,30
de,de,81
cette,ce,74
circonstance,circonstance,22
/.,/.,P
à,à,81
sept,sept,72
heures,heure,22
du,de,81
du,le,71
soir,soir,21
",",",",p
Thérèse,Thérèse,20
vint,venir,19
apporter,apporter,14
une,un,71
lettre,lettre,22
de,de,81
Delphine,Delphine,20
/.,/.,P
“,“,p
que,que,52
faites,faire,17
vous,vous,51
donc,donc,82
",",",",p
mon,mon,73
ami,ami,21
/?,/?,P
à,à,81
peine,peine,22
aimée,aimé,31
",",",",p
serais,être,16
je,je,51
déjà,déjà,60
négligée,négliger,12
/?,/?,P
vous,vous,51
m',je,51
avez,avoir,17
montré,montrer,12
",",",",p
dans,dans,81
ces,ce,74
confidences,confidence,22
versées,versé,31
de,de,81
coeur,coeur,21
à,à,81
coeur,coeur,21
",",",",p
une,un,71
trop,trop,60
belle,beau,30
âme,âme,22
pour,pour,81
n',ne,60
être,être,14
pas,pas,60
de,de,81
ceux,celui,52
qui,qui,52
restent,rester,17
toujours,toujours,60
fidèles,fidèle,30
en,en,81
voyant,voir,13
combien,combien,60
les,le,71
sentiments,sentiment,21
ont,avoir,17
de,de,81
nuances,nuance,22
/.,/.,P
comme,comme,83
vous,vous,51
l',le,52
avez,avoir,17
dit,dire,12
en,en,81
écoutant,écouter,13
la,le,71
prière,prière,22
de,de,81
Mosé,Mosé,20
:,:,p
“,“,p
pour,pour,81
les,le,71
uns,un,52
c',ce,52
est,être,17
une,un,71
même,même,75
note,note,22
",",",",p
pour,pour,81
les,le,71
autres,autre,52
c',ce,52
est,être,17
l',le,71
infini,infini,21
de,de,81
la,le,71
musique,musique,22
/!,/!,P
songez,songer,17
que,que,83
je,je,51
vous,vous,51
attends,attendre,17
ce,ce,74
soir,soir,21
pour,pour,81
aller,aller,14
au,à,81
au,le,71
bal,bal,21
de,de,81
madame,madame,22
de,de,81
Beauséant,Beauséant,20
/.,/.,P
décidément,décidément,60
le,le,71
contrat,contrat,21
de,de,81
monsieur,monsieur,21
d',de,81
Ajuda,Ajuda,20
a,avoir,17
été,être,12
signé,signer,12
ce,ce,74
matin,matin,21
à,à,81
la,le,71
cour,cour,22
",",",",p
et,et,82
la,le,71
pauvre,pauvre,30
vicomtesse,vicomtesse,22
ne,ne,60
l',le,52
a,avoir,17
su,savoir,12
qu',que,83
à,à,81
deux,deux,72
heures,heure,22
/.,/.,P
tout,tout,75
Paris,Paris,20
va,aller,17
se,se,51
porter,porter,14
chez,chez,81
elle,il,51
",",",",p
comme,comme,83
le,le,71
peuple,peuple,21
encombre,encombrer,17
la,le,71
grève,grève,22
quand,quand,83
il,il,51
doit,devoir,17
y,y,52
avoir,avoir,14
une,un,71
exécution,exécution,22
/.,/.,P
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
horrible,horrible,30
d',de,81
aller,aller,14
voir,voir,14
si,si,83
cette,ce,74
femme,femme,22
cachera,cacher,15
sa,son,73
douleur,douleur,22
",",",",p
si,si,83
elle,il,51
saura,savoir,15
bien,bien,60
mourir,mourir,14
?,?,p
je,je,51
n',ne,60
irais,aller,16
certes,certes,60
pas,pas,60
",",",",p
mon,mon,73
ami,ami,21
",",",",p
si,si,83
j',je,51
avais,avoir,18
été,être,12
déjà,déjà,60
chez,chez,81
elle,il,51
;,;,p
mais,mais,82
elle,il,51
ne,ne,60
recevra,recevoir,15
plus,plus,60
sans,sans,81
doute,doute,21
",",",",p
et,et,82
tous,tout,75
les,le,71
efforts,effort,21
que,que,52
j',je,51
ai,avoir,17
faits,faire,12
seraient,être,16
superflus,superflu,30
/.,/.,P
ma,mon,73
situation,situation,22
est,être,17
bien,bien,60
différente,différent,30
de,de,81
celle,celui,52
des,de,81
des,le,71
autres,autre,52
/.,/.,P
d',de,81
ailleurs,ailleurs,60
",",",",p
j',je,51
y,y,52
vais,aller,17
pour,pour,81
vous,vous,51
aussi,aussi,60
/.,/.,P
je,je,51
vous,vous,51
attends,attendre,17
/.,/.,P
si,si,83
vous,vous,51
n',ne,60
étiez,être,18
pas,pas,60
près,près,81
de,de,81
moi,moi,51
dans,dans,81
deux,deux,72
heures,heure,22
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
si,si,83
je,je,51
vous,vous,51
pardonnerais,pardonner,16
cette,ce,74
félonie,félonie,22
/.,/.,P
Rastignac,Rastignac,20
prit,prendre,19
une,un,71
plume,plume,22
et,et,82
répondit,répondre,19
ainsi,ainsi,60
:,:,p
“,“,p
j',je,51
attends,attendre,17
un,un,71
médecin,médecin,21
pour,pour,81
savoir,savoir,14
si,si,83
votre,votre,73
père,père,21
doit,devoir,17
vivre,vivre,14
encore,encore,60
/.,/.,P
il,il,51
est,être,17
mourant,mourant,30
/.,/.,P
j',je,51
irai,aller,15
vous,vous,51
porter,porter,14
l',le,71
arrêt,arrêt,21
",",",",p
et,et,82
j',je,51
ai,avoir,17
peur,peur,22
que,que,83
ce,ce,52
ne,ne,60
soit,être,17
un,un,71
arrêt,arrêt,21
de,de,81
mort,mort,22
/.,/.,P
vous,vous,51
verrez,voir,15
si,si,83
vous,vous,51
pouvez,pouvoir,17
aller,aller,14
au,à,81
au,le,71
bal,bal,21
/.,/.,P
mille,mille,72
tendresses,tendresse,22
/.,/.,P
“,“,p
le,le,71
médecin,médecin,21
vint,venir,19
à,à,81
huit,huit,72
heures,heure,22
et,et,82
demie,demi,30
",",",",p
et,et,82
",",",",p
sans,sans,81
donner,donner,14
un,un,71
avis,avis,21
favorable,favorable,30
",",",",p
il,il,51
ne,ne,60
pensa,penser,19
pas,pas,60
que,que,83
la,le,71
mort,mort,22
dût,devoir,18
être,être,14
imminente,imminent,30
/.,/.,P
il,il,51
annonça,annoncer,19
des,de,81
des,le,71
mieux,mieux,60
et,et,82
des,de,81
des,le,71
rechutes,rechute,22
alternatives,alternatif,30
d',de,81
où,où,60
dépendraient,dépendre,16
la,le,71
vie,vie,22
et,et,82
la,le,71
raison,raison,22
du,de,81
du,le,71
bonhomme,bonhomme,21
/.,/.,P
-,-,p
il,il,51
vaudrait,valoir,16
mieux,mieux,60
qu',que,83
il,il,51
mourût,mourir,18
