11514
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-dix-huitième extrait>,<>,<>
rien,rien,52
",",",",p
Germain,Germain,20
/.,/.,P
elle,il,51
ne,ne,60
veut,vouloir,17
ni,ni,82
du,de,81
du,le,71
vieux,vieux,21
",",",",p
ni,ni,82
du,de,81
du,le,71
borgne,borgne,21
",",",",p
ni,ni,82
du,de,81
du,le,71
jeune,jeune,21
",",",",p
j',je,51
en,en,52
suis,être,17
quasi,quasi,60
certain,certain,30
;,;,p
mais,mais,82
si,si,83
elle,il,51
les,le,52
renvoyait,renvoyer,18
",",",",p
on,on,51
penserait,penser,16
qu',que,83
elle,il,51
veut,vouloir,17
rester,rester,14
veuve,veuve,22
et,et,82
il,il,51
n',ne,60
en,en,52
viendrait,venir,16
pas,pas,60
d',de,81
autre,autre,52
/.,/.,P
-,-,p
ah,ah,93
!,!,p
oui,oui,60
/!,/!,P
ceux-là,celui-là,52
servent,servir,17
d',de,81
enseigne,enseigne,22
/!,/!,P
comme,comme,83
vous,vous,51
dites,dire,17
/.,/.,P
où,où,60
est,être,17
le,le,71
mal,mal,21
",",",",p
si,si,83
cela,cela,52
leur,leur,52
convient,convenir,17
/?,/?,P
chacun,chacun,52
son,son,73
goût,goût,21
!,!,p
dit,dire,19
Germain,Germain,20
/.,/.,P
-,-,p
je,je,51
vois,voir,17
que,que,83
ce,ce,52
ne,ne,60
serait,être,16
pas,pas,60
le,le,71
vôtre,vôtre,52
/.,/.,P
mais,mais,82
voyons,voir,17
",",",",p
on,on,51
peut,pouvoir,17
s',se,51
entendre,entendre,14
:,:,p
à,à,81
supposer,supposer,14
que,que,83
vous,vous,51
soyez,être,17
préféré,préférer,12
",",",",p
on,on,51
pourrait,pouvoir,16
vous,vous,51
laisser,laisser,14
la,le,71
place,place,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
à,à,81
supposer,supposer,14
/!,/!,P
et,et,82
en,en,81
attendant,attendre,13
qu',que,83
on,on,51
puisse,pouvoir,17
le,le,52
savoir,savoir,14
",",",",p
combien,combien,60
de,de,81
temps,temps,21
faudrait,falloir,16
il,il,51
rester,rester,14
le,le,71
nez,nez,21
au,à,81
au,le,71
vent,vent,21
/?,/?,P
ça,ça,52
dépend,dépendre,17
de,de,81
vous,vous,51
",",",",p
je,je,51
crois,croire,17
",",",",p
si,si,83
vous,vous,51
savez,savoir,17
parler,parler,14
et,et,82
persuader,persuader,14
/.,/.,P
jusqu'ici,jusqu'ici,81
ma,mon,73
fille,fille,22
a,avoir,17
très,très,60
bien,bien,60
compris,comprendre,12
que,que,83
le,le,71
meilleur,meilleur,30
temps,temps,21
de,de,81
sa,son,73
vie,vie,22
serait,être,16
celui,celui,52
qu',que,52
elle,il,51
passerait,passer,16
à,à,81
se,se,51
laisser,laisser,14
courtiser,courtiser,14
",",",",p
et,et,82
elle,il,51
ne,ne,60
se,se,51
sent,sentir,17
pas,pas,60
pressée,pressé,31
de,de,81
devenir,devenir,14
la,le,71
servante,servante,22
d',de,81
un,un,71
homme,homme,21
",",",",p
quand,quand,83
elle,il,51
peut,pouvoir,17
commander,commander,14
à,à,81
plusieurs,plusieurs,75
/.,/.,P
ainsi,ainsi,60
",",",",p
tant,tant,60
que,que,83
le,le,71
jeu,jeu,21
lui,lui,51
plaira,plaire,15
",",",",p
elle,il,51
peut,pouvoir,17
se,se,51
divertir,divertir,14
;,;,p
mais,mais,82
si,si,83
vous,vous,51
plaisez,plaire,17
plus,plus,60
que,que,83
le,le,71
jeu,jeu,21
",",",",p
le,le,71
jeu,jeu,21
pourra,pouvoir,15
cesser,cesser,14
/.,/.,P
vous,vous,51
n',ne,60
avez,avoir,17
qu',que,83
à,à,81
ne,ne,60
pas,pas,60
vous,vous,51
rebuter,rebuter,14
/.,/.,P
revenez,revenir,17
tous,tout,75
les,le,71
dimanches,dimanche,21
",",",",p
faites,faire,17
la,le,52
danser,danser,14
",",",",p
donnez,donner,17
à,à,81
connaître,connaître,14
que,que,83
vous,vous,51
vous,vous,51
mettez,mettre,17
sur,sur,81
les,le,71
rangs,rang,21
",",",",p
et,et,82
si,si,83
on,on,51
vous,vous,51
trouve,trouver,17
plus,plus,60
aimable,aimable,30
et,et,82
mieux,mieux,60
appris,appris,31
que,que,83
les,le,71
autres,autre,52
",",",",p
un,un,71
beau,beau,30
jour,jour,21
on,on,51
vous,vous,51
le,le,52
dira,dire,15
sans,sans,81
doute,doute,21
/.,/.,P
-,-,p
pardon,pardon,21
",",",",p
père,père,21
Léonard,Léonard,20
",",",",p
votre,votre,73
fille,fille,22
a,avoir,17
le,le,71
droit,droit,21
d',de,81
agir,agir,14
comme,comme,83
elle,il,51
l',le,52
entend,entendre,17
",",",",p
et,et,82
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
celui,celui,52
de,de,81
la,le,52
blâmer,blâmer,14
/.,/.,P
à,à,81
sa,son,73
place,place,22
",",",",p
moi,moi,51
",",",",p
j',je,51
agirais,agir,16
autrement,autrement,60
;,;,p
j',je,51
y,y,52
mettrais,mettre,16
plus,plus,60
de,de,81
franchise,franchise,22
et,et,82
je,je,51
ne,ne,60
ferais,faire,16
pas,pas,60
perdre,perdre,14
du,de,81
du,le,71
temps,temps,21
à,à,81
des,de,81
des,le,71
hommes,homme,21
qui,qui,52
ont,avoir,17
sans,sans,81
doute,doute,21
quelque,quelque,75
chose,chose,22
de,de,81
mieux,mieux,60
à,à,81
faire,faire,14
qu',que,83
à,à,81
tourner,tourner,14
autour,autour,60
d',de,81
une,un,71
femme,femme,22
qui,qui,52
se,se,51
moque,moquer,17
d',de,81
eux,ils,51
/.,/.,P
mais,mais,82
enfin,enfin,60
",",",",p
si,si,83
elle,il,51
trouve,trouver,17
son,son,73
amusement,amusement,21
et,et,82
son,son,73
bonheur,bonheur,21
à,à,81
cela,cela,52
",",",",p
cela,cela,52
ne,ne,60
me,je,51
regarde,regarder,17
point,point,60
/.,/.,P
seulement,seulement,60
",",",",p
il,il,51
faut,falloir,17
que,que,83
je,je,51
vous,vous,51
dise,dire,17
une,un,71
chose,chose,22
qui,qui,52
m',je,51
embarrasse,embarrasser,17
un,un,71
peu,peu,60
à,à,81
vous,vous,51
avouer,avouer,14
depuis,depuis,81
ce,ce,74
matin,matin,21
",",",",p
vu,vu,81
que,que,83
vous,vous,51
avez,avoir,17
commencé,commencer,12
par,par,81
vous,vous,51
tromper,tromper,14
sur,sur,81
mes,mon,73
intentions,intention,22
et,et,82
que,que,83
vous,vous,51
ne,ne,60
m',je,51
avez,avoir,17
pas,pas,60
donné,donner,12
le,le,71
temps,temps,21
de,de,81
vous,vous,51
répondre,répondre,14
:,:,p
si,si,60
bien,bien,60
que,que,83
vous,vous,51
croyez,croire,17
ce,ce,52
qui,qui,52
n',ne,60
est,être,17
point,point,60
/.,/.,P
sachez,savoir,17
donc,donc,82
que,que,83
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
venu,venir,12
ici,ici,60
dans,dans,81
la,le,71
vue,vue,22
de,de,81
demander,demander,14
votre,votre,73
fille,fille,22
en,en,81
mariage,mariage,21
",",",",p
mais,mais,82
dans,dans,81
celle,celui,52
de,de,81
vous,vous,51
acheter,acheter,14
une,un,71
paire,paire,22
de,de,81
boeufs,boeuf,21
que,que,52
vous,vous,51
voulez,vouloir,17
conduire,conduire,14
en,en,81
foire,foire,22
la,le,71
semaine,semaine,22
prochaine,prochain,30
",",",",p
et,et,82
que,que,83
mon,mon,73
beau-père,beau-père,21
suppose,supposer,17
lui,lui,51
convenir,convenir,14
/.,/.,P
-,-,p
j',je,51
entends,entendre,17
",",",",p
Germain,Germain,20
",",",",p
répondit,répondre,19
Léonard,Léonard,20
fort,fort,60
tranquillement,tranquillement,60
;,;,p
vous,vous,51
avez,avoir,17
changé,changer,12
d',de,81
idée,idée,22
en,en,81
voyant,voir,13
ma,mon,73
fille,fille,22
avec,avec,81
ses,son,73
amoureux,amoureux,21
/.,/.,P
c',ce,52
est,être,17
comme,comme,83
il,il,51
vous,vous,51
plaira,plaire,15
/.,/.,P
il,il,51
paraît,paraître,17
que,que,83
ce,ce,52
qui,qui,52
attire,attirer,17
les,le,71
uns,un,52
rebute,rebuter,17
les,le,71
autres,autre,52
",",",",p
et,et,82
vous,vous,51
avez,avoir,17
le,le,71
droit,droit,21
de,de,81
vous,vous,51
retirer,retirer,14
puisque,puisque,83
",",",",p
aussi,aussi,60
bien,bien,60
",",",",p
vous,vous,51
n',ne,60
avez,avoir,17
pas,pas,60
encore,encore,60
parlé,parler,12
/.,/.,P
si,si,83
vous,vous,51
voulez,vouloir,17
sérieusement,sérieusement,60
acheter,acheter,14
mes,mon,73
boeufs,boeuf,21
",",",",p
venez,venir,17
les,le,52
voir,voir,14
au,à,81
au,le,71
pâturage,pâturage,21
;,;,p
nous,nous,51
en,en,52
causerons,causer,15
",",",",p
et,et,82
",",",",p
que,que,52
nous,nous,51
fassions,faire,17
ou,ou,82
non,non,60
ce,ce,74
marché,marché,21
",",",",p
vous,vous,51
viendrez,venir,15
dîner,dîner,14
avec,avec,81
nous,nous,51
avant,avant,81
de,de,81
vous,vous,51
en,en,52
retourner,retourner,14
/.,/.,P
-,-,p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
que,que,83
vous,vous,51
vous,vous,51
dérangiez,déranger,17
",",",",p
reprit,reprendre,19
Germain,Germain,20
",",",",p
vous,vous,51
avez,avoir,17
peut-être,peut-être,60
affaire,affaire,22
ici,ici,60
;,;,p
moi,moi,51
",",",",p
je,je,51
m',je,51
ennuie,ennuyer,17
un,un,71
peu,peu,60
de,de,81
voir,voir,14
danser,danser,14
et,et,82
de,de,81
ne,ne,60
rien,rien,52
faire,faire,14
/.,/.,P
je,je,51
vais,aller,17
voir,voir,14
vos,votre,73
bêtes,bête,22
et,et,82
je,je,51
vous,vous,51
trouverai,trouver,15
tantôt,tantôt,60
chez,chez,81
vous,vous,51
/.,/.,P
là-dessus,là-dessus,60
Germain,Germain,20
s',se,51
esquiva,esquiver,19
et,et,82
se,se,51
dirigea,diriger,19
vers,vers,81
les,le,71
prés,pré,21
où,où,60
Léonard,Léonard,20
lui,lui,51
avait,avoir,18
",",",",p
en,en,81
effet,effet,21
",",",",p
montré,montrer,12
de,de,81
loin,loin,60
une,un,71
partie,partie,22
de,de,81
son,son,73
bétail,bétail,21
/.,/.,P
il,il,51
était,être,18
vrai,vrai,30
que,que,83
le,le,71
père,père,21
Maurice,Maurice,20
en,en,52
avait,avoir,18
à,à,81
acheter,acheter,14
",",",",p
et,et,82
Germain,Germain,20
pensa,penser,19
que,que,83
s',si,83
il,il,51
lui,lui,51
ramenait,ramener,18
une,un,71
belle,beau,30
paire,paire,22
de,de,81
boeufs,boeuf,21
d',de,81
un,un,71
prix,prix,21
modéré,modéré,31
",",",",p
il,il,51
se,se,51
ferait,faire,16
mieux,mieux,60
pardonner,pardonner,14
d',de,81
avoir,avoir,14
manqué,manquer,12
volontairement,volontairement,60
le,le,71
but,but,21
de,de,81
son,son,73
voyage,voyage,21
/.,/.,P
il,il,51
marcha,marcher,19
vite,vite,60
et,et,82
se,se,51
trouva,trouver,19
bientôt,bientôt,60
à,à,81
peu,peu,60
de,de,81
distance,distance,22
des,de,81
des,le,71
Ormeaux,Ormeaux,20
/.,/.,P
il,il,51
éprouva,éprouver,19
alors,alors,60
le,le,71
besoin,besoin,21
d',de,81
aller,aller,14
embrasser,embrasser,14
son,son,73
fils,fils,21
et,et,82
même,même,60
de,de,81
revoir,revoir,14
la,le,71
petite,petit,30
Marie,Marie,20
",",",",p
quoiqu',quoique,83
il,il,51
eût,avoir,19
perdu,perdre,12
l',le,71
espoir,espoir,21
et,et,82
chassé,chasser,12
la,le,71
pensée,pensée,22
de,de,81
lui,lui,51
devoir,devoir,14
son,son,73
bonheur,bonheur,21
/.,/.,P
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
venait,venir,18
de,de,81
voir,voir,14
et,et,82
d',de,81
entendre,entendre,14
",",",",p
cette,ce,74
femme,femme,22
coquette,coquet,30
et,et,82
vaine,vain,30
",",",",p
ce,ce,74
père,père,21
à,à,81
la,le,71
fois,fois,22
rusé,rusé,31
et,et,82
borné,borné,31
",",",",p
qui,qui,52
encourageait,encourager,18
sa,son,73
fille,fille,22
dans,dans,81
des,de,81
des,le,71
habitudes,habitude,22
d',de,81
orgueil,orgueil,21
et,et,82
de,de,81
déloyauté,déloyauté,22
",",",",p
ce,ce,74
luxe,luxe,21
des,de,81
des,le,71
villes,ville,22
qui,qui,52
lui,lui,51
paraissait,paraître,18
une,un,71
infraction,infraction,22
à,à,81
la,le,71
dignité,dignité,22
des,de,81
des,le,71
moeurs,moeurs,22
de,de,81
la,le,71
campagne,campagne,22
",",",",p
ce,ce,74
temps,temps,21
perdu,perdu,31
à,à,81
des,de,81
des,le,71
paroles,parole,22
oiseuses,oiseux,30
et,et,82
niaises,niais,30
",",",",p
cet,ce,74
intérieur,intérieur,21
si,si,60
différent,différent,30
du,de,81
du,le,71
sien,sien,52
et,et,82
surtout,surtout,60
ce,ce,74
malaise,malaise,22
profond,profond,30
que,que,52
l',le,71
homme,homme,21
des,de,81
des,le,71
champs,champ,21
éprouve,éprouver,17
lorsqu',lorsque,83
il,il,51
sort,sortir,17
de,de,81
ses,son,73
habitudes,habitude,22
laborieuses,laborieux,30
",",",",p
tout,tout,52
ce,ce,52
qu',que,52
il,il,51
avait,avoir,18
subi,subir,12
d',de,81
ennui,ennui,21
et,et,82
de,de,81
confusion,confusion,22
depuis,depuis,81
quelques,quelque,75
heures,heure,22
donnait,donner,18
à,à,81
Germain,Germain,20
l',le,71
envie,envie,22
de,de,81
se,se,51
retrouver,retrouver,14
avec,avec,81
son,son,73
enfant,enfant,21
et,et,82
sa,son,73
petite,petit,30
voisine,voisine,22
/.,/.,P
n',ne,60
eût,avoir,19
il,il,51
pas,pas,60
été,être,12
amoureux,amoureux,30
de,de,81
cette,ce,74
dernière,dernière,22
",",",",p
il,il,51
l',le,52
aurait,avoir,16
encore,encore,60
cherchée,chercher,12
pour,pour,81
se,se,51
distraire,distraire,14
et,et,82
remettre,remettre,14
ses,son,73
esprits,esprit,21
dans,dans,81
leur,leur,73
assiette,assiette,22
accoutumée,accoutumé,31
/.,/.,P
mais,mais,82
il,il,51
regarda,regarder,19
en,en,81
vain,vain,30
dans,dans,81
les,le,71
prairies,prairie,22
environnantes,environnant,30
",",",",p
il,il,51
n',ne,60
y,y,52
trouva,trouver,19
ni,ni,82
la,le,71
petite,petit,30
Marie,Marie,20
ni,ni,82
le,le,71
petit,petit,30
Pierre,Pierre,20
:,:,p
il,il,51
était,être,18
pourtant,pourtant,60
l',le,71
heure,heure,22
où,où,60
les,le,71
pasteurs,pasteur,21
sont,être,17
aux,à,81
aux,le,71
champs,champ,21
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
un,un,71
grand,grand,30
troupeau,troupeau,21
dans,dans,81
une,un,71
chôme,chaume,21
;,;,p
il,il,51
demanda,demander,19
à,à,81
un,un,71
jeune,jeune,30
garçon,garçon,21
qui,qui,52
le,le,52
gardait,garder,18
",",",",p
si,si,83
c',ce,52
étaient,être,18
les,le,71
moutons,mouton,21
de,de,81
la,le,71
métairie,métairie,22
des,de,81
des,le,71
Ormeaux,Ormeaux,20
/.,/.,P
-,-,p
oui,oui,60
",",",",p
dit,dire,19
l',le,71
enfant,enfant,21
/.,/.,P
-,-,p
en,en,52
êtes,être,17
vous,vous,51
le,le,71
berger,berger,21
?,?,p
est,être,17
ce,ce,52
que,que,83
les,le,71
garçons,garçon,21
gardent,garder,17
les,le,71
bêtes,bête,22
à,à,81
laine,laine,22
des,de,81
des,le,71
métairies,métairie,22
dans,dans,81
votre,votre,73
endroit,endroit,21
/?,/?,P
non,non,60
/.,/.,P
je,je,51
les,le,52
garde,garder,17
aujourd'hui,aujourd'hui,60
parce que,parce que,83
la,le,71
bergère,bergère,22
est,être,17
partie,partir,12
:,:,p
elle,il,51
était,être,18
malade,malade,30
/.,/.,P
-,-,p
mais,mais,82
n',ne,60
avez,avoir,17
vous,vous,51
pas,pas,60
une,un,71
nouvelle,nouveau,30
bergère,bergère,22
",",",",p
arrivée,arrivé,31
de,de,81
ce,ce,74
matin,matin,21
/?,/?,P
oh,oh,93
!,!,p
bien,bien,60
oui,oui,60
!,!,p
elle,il,51
est,être,17
déjà,déjà,60
partie,partir,12
aussi,aussi,60
/.,/.,P
-,-,p
comment,comment,60
",",",",p
partie,parti,31
?,?,p
n',ne,60
avait,avoir,18
elle,il,51
pas,pas,60
un,un,71
enfant,enfant,21
avec,avec,81
elle,il,51
/?,/?,P
oui,oui,60
:,:,p
un,un,71
petit,petit,30
garçon,garçon,21
qui,qui,52
a,avoir,17
pleuré,pleurer,12
/.,/.,P
ils,ils,51
se,se,51
sont,être,17
en,en,81
allés,aller,12
tous,tout,75
les,le,71
deux,deux,72
au,à,81
au,le,71
bout,bout,21
de,de,81
deux,deux,72
heures,heure,22
/.,/.,P
-,-,p
en,en,81
allés,allé,31
",",",",p
où,où,60
/?,/?,P
d',de,81
où,où,60
ils,ils,51
venaient,venir,18
",",",",p
apparemment,apparemment,60
/.,/.,P
je,je,51
ne,ne,60
le,le,52
leur,leur,52
ai,avoir,17
pas,pas,60
demandé,demander,12
/.,/.,P
-,-,p
mais,mais,82
pourquoi,pourquoi,60
donc,donc,82
s',se,51
en,en,52
allaient,aller,18
ils,ils,51
?,?,p
dit,dire,19
Germain,Germain,20
de,de,81
plus,plus,60
en,en,81
plus,plus,60
inquiet,inquiet,30
/.,/.,P
-,-,p
dame,dame,22
!,!,p
est,être,17
ce,ce,52
que,que,83
je,je,51
sais,savoir,17
/?,/?,P
on,on,51
ne,ne,60
s',se,51
est,être,17
pas,pas,60
entendu,entendre,12
sur,sur,81
le,le,71
prix,prix,21
?,?,p
ce,ce,52
devait,devoir,18
être,être,14
pourtant,pourtant,60
une,un,71
chose,chose,22
convenue,convenu,31
d',de,81
avance,avance,22
/.,/.,P
-,-,p
je,je,51
ne,ne,60
peux,pouvoir,17
rien,rien,52
vous,vous,51
en,en,52
dire,dire,14
/.,/.,P
je,je,51
les,le,52
ai,avoir,17
vus,voir,12
entrer,entrer,14
et,et,82
sortir,sortir,14
",",",",p
voilà,voilà,81
tout,tout,52
/.,/.,P
Germain,Germain,20
se,se,51
dirigea,diriger,19
vers,vers,81
la,le,71
ferme,ferme,22
et,et,82
questionna,questionner,19
les,le,71
métayers,métayer,21
/.,/.,P
personne,personne,52
ne,ne,60
put,pouvoir,19
lui,lui,51
expliquer,expliquer,14
le,le,71
fait,fait,21
;,;,p
mais,mais,82
il,il,51
était,être,18
constant,constant,30
qu',que,83
après,après,81
avoir,avoir,14
causé,causer,12
avec,avec,81
le,le,71
fermier,fermier,21
",",",",p
la,le,71
jeune,jeune,30
fille,fille,22
était,être,18
partie,partir,12
sans,sans,81
rien,rien,52
dire,dire,14
",",",",p
emmenant,emmener,13
l',le,71
enfant,enfant,21
qui,qui,52
pleurait,pleurer,18
/.,/.,P
-,-,p
est,être,17
ce,ce,52
qu',que,83
on,on,51
a,avoir,17
maltraité,maltraiter,12
mon,mon,73
fils,fils,21
?,?,p
s',se,51
écria,écrier,19
Germain,Germain,20
dont,dont,52
les,le,71
yeux,oeil,21
s',se,51
enflammèrent,enflammer,19
/.,/.,P
-,-,p
c',ce,52
était,être,18
donc,donc,82
votre,votre,73
fils,fils,21
/?,/?,P
comment,comment,60
se,se,51
trouvait,trouver,18
il,il,51
avec,avec,81
cette,ce,74
petite,petite,22
/?,/?,P
d',de,81
où,où,60
êtes,être,17
vous,vous,51
donc,donc,82
",",",",p
et,et,82
comment,comment,60
vous,vous,51
appelle,appeler,17
t,t,94
on,on,51
/?,/?,P
Germain,Germain,20
",",",",p
voyant,voir,13
que,que,83
",",",",p
selon,selon,81
l',le,71
habitude,habitude,22
du,de,81
du,le,71
pays,pays,21
",",",",p
on,on,51
allait,aller,18
répondre,répondre,14
à,à,81
ses,son,73
questions,question,22
par,par,81
d',de,81
autres,autre,75
questions,question,22
",",",",p
frappa,frapper,19
du,de,81
du,le,71
pied,pied,21
avec,avec,81
impatience,impatience,22
et,et,82
demanda,demander,19
à,à,81
parler,parler,14
au,à,81
au,le,71
maître,maître,21
/.,/.,P
le,le,71
maître,maître,21
n',ne,60
y,y,52
était,être,18
pas,pas,60
:,:,p
il,il,51
n',ne,60
avait,avoir,18
pas,pas,60
coutume,coutume,22
de,de,81
rester,rester,14
toute,tout,75
la,le,71
journée,journée,22
entière,entier,30
quand,quand,83
il,il,51
venait,venir,18
à,à,81
la,le,71
ferme,ferme,22
/.,/.,P
il,il,51
était,être,18
monté,monter,12
à,à,81
cheval,cheval,21
et,et,82
il,il,51
était,être,18
parti,partir,12
on,on,51
ne,ne,60
savait,savoir,18
pour,pour,81
quelle,quel,75
autre,autre,52
de,de,81
ses,son,73
fermes,ferme,22
/.,/.,P
-,-,p
mais,mais,82
enfin,enfin,60
",",",",p
dit,dire,19
Germain,Germain,20
en,en,81
proie,proie,22
à,à,81
une,un,71
vive,vif,30
anxiété,anxiété,22
",",",",p
ne,ne,60
pouvez,pouvoir,17
vous,vous,51
savoir,savoir,14
la,le,71
raison,raison,22
du,de,81
du,le,71
départ,départ,21
de,de,81
cette,ce,74
jeune,jeune,30
fille,fille,22
/?,/?,P
le,le,71
métayer,métayer,21
échangea,échanger,19
un,un,71
sourire,sourire,21
étrange,étrange,30
avec,avec,81
sa,son,73
femme,femme,22
",",",",p
puis,puis,60
il,il,51
répondit,répondre,19
qu',que,83
il,il,51
n',ne,60
en,en,52
savait,savoir,18
rien,rien,52
",",",",p
que,que,83
cela,cela,52
ne,ne,60
le,le,52
regardait,regarder,18
pas,pas,60
/.,/.,P
tout,tout,52
ce,ce,52
que,que,52
Germain,Germain,20
put,pouvoir,19
apprendre,apprendre,14
",",",",p
c',ce,52
est,être,17
que,que,83
la,le,71
jeune,jeune,30
fille,fille,22
et,et,82
l',le,71
enfant,enfant,21
étaient,être,18
allés,aller,12
du,de,81
du,le,71
côté,côté,21
de,de,81
Fourche,Fourche,20
/.,/.,P
il,il,51
courut,courir,19
à,à,81
Fourche,Fourche,20
:,:,p
la,le,71
veuve,veuve,22
et,et,82
ses,son,73
amoureux,amoureux,21
n',ne,60
étaient,être,18
pas,pas,60
de,de,81
retour,retour,21
",",",",p
non,non,60
plus,plus,60
que,que,83
le,le,71
père,père,21
Léonard,Léonard,20
/.,/.,P
la,le,71
servante,servante,22
lui,lui,51
dit,dire,19
qu',que,83
une,un,71
jeune,jeune,30
fille,fille,22
et,et,82
un,un,71
enfant,enfant,21
étaient,être,18
venus,venir,12
le,le,52
demander,demander,14
mais,mais,82
que,que,83
",",",",p
ne,ne,60
les,le,52
connaissant,connaître,13
pas,pas,60
",",",",p
elle,il,51
n',ne,60
avait,avoir,18
pas,pas,60
voulu,vouloir,12
les,le,52
recevoir,recevoir,14
et,et,82
leur,leur,52
avait,avoir,18
conseillé,conseiller,12
d',de,81
aller,aller,14
à,à,81
Mers,Mers,20
/.,/.,P
-,-,p
et,et,82
pourquoi,pourquoi,60
avez,avoir,17
vous,vous,51
refusé,refuser,12
de,de,81
les,le,52
recevoir,recevoir,14
?,?,p
dit,dire,19
Germain,Germain,20
avec,avec,81
humeur,humeur,22
/.,/.,P
on,on,51
est,être,17
donc,donc,82
bien,bien,60
méfiant,méfiant,30
dans,dans,81
ce,ce,74
pays,pays,21
ci,ci,60
",",",",p
qu',que,83
on,on,51
n',ne,60
ouvre,ouvrir,17
pas,pas,60
la,le,71
porte,porte,22
à,à,81
son,son,73
prochain,prochain,21
/?,/?,P
ah,ah,93
!,!,p
dame,dame,22
!,!,p
répondit,répondre,19
la,le,71
servante,servante,22
",",",",p
dans,dans,81
une,un,71
maison,maison,22
riche,riche,30
comme,comme,83
celle-ci,celui-ci,52
on,on,51
a,avoir,17
raison,raison,22
de,de,81
faire,faire,14
bonne,bon,30
garde,garde,22
/.,/.,P
je,je,51
réponds,répondre,17
de,de,81
tout,tout,52
quand,quand,83
les,le,71
maîtres,maître,21
sont,être,17
absents,absent,30
et,et,82
je,je,51
ne,ne,60
peux,pouvoir,17
pas,pas,60
ouvrir,ouvrir,14
aux,à,81
aux,le,71
premiers,premier,72
venus,venu,31
/.,/.,P
-,-,p
c',ce,52
est,être,17
une,un,71
laide,laid,30
coutume,coutume,22
",",",",p
dit,dire,19
Germain,Germain,20
",",",",p
et,et,82
j',je,51
aimerais,aimer,16
mieux,mieux,60
être,être,14
pauvre,pauvre,30
que,que,83
de,de,81
vivre,vivre,14
comme,comme,83
cela,cela,52
dans,dans,81
la,le,71
crainte,crainte,22
/.,/.,P
adieu,adieu,21
",",",",p
la,le,71
fille,fille,22
!,!,p
adieu,adieu,21
à,à,81
votre,votre,73
vilain,vilain,30
pays,pays,21
/!,/!,P
il,il,51
s',se,51
enquit,enquérir,19
dans,dans,81
les,le,71
maisons,maison,22
environnantes,environnant,30
/.,/.,P
on,on,51
avait,avoir,18
vu,voir,12
la,le,71
bergère,bergère,22
et,et,82
l',le,71
enfant,enfant,21
/.,/.,P
comme,comme,83
le,le,71
petit,petit,21
était,être,18
parti,partir,12
de,de,81
Belair,Belair,20
à l'improviste,à l'improviste,60
",",",",p
sans,sans,81
toilette,toilette,22
",",",",p
avec,avec,81
sa,son,73
blouse,blouse,22
un,un,71
peu,peu,60
déchirée,déchiré,31
et,et,82
sa,son,73
petite,petit,30
peau,peau,22
d',de,81
agneau,agneau,21
sur,sur,81
le,le,71
corps,corps,21
;,;,p
comme,comme,83
aussi,aussi,60
la,le,71
petite,petit,30
Marie,Marie,20
était,être,18
",",",",p
pour,pour,81
cause,cause,22
",",",",p
fort,fort,60
pauvrement,pauvrement,60
vêtue,vêtir,12
en,en,81
tout,tout,75
temps,temps,21
",",",",p
on,on,51
les,le,52
avait,avoir,18
pris,prendre,12
pour,pour,81
des,de,81
des,le,71
mendiants,mendiant,21
/.,/.,P
on,on,51
leur,leur,52
avait,avoir,18
offert,offrir,12
du,de,81
du,le,71
pain,pain,21
;,;,p
la,le,71
jeune,jeune,30
fille,fille,22
en,en,52
avait,avoir,18
accepté,accepter,12
un,un,71
morceau,morceau,21
pour,pour,81
l',le,71
enfant,enfant,21
qui,qui,52
avait,avoir,18
faim,faim,22
",",",",p
puis,puis,60
elle,il,51
était,être,18
partie,partir,12
très,très,60
vite,vite,60
avec,avec,81
lui,lui,51
et,et,82
avait,avoir,18
gagné,gagner,12
les,le,71
bois,bois,21
/.,/.,P
Germain,Germain,20
réfléchit,réfléchir,19
un,un,71
instant,instant,21
puis,puis,60
il,il,51
demanda,demander,19
si,si,83
le,le,71
fermier,fermier,21
des,de,81
des,le,71
Ormeaux,Ormeaux,20
n',ne,60
était,être,18
pas,pas,60
venu,venir,12
à,à,81
Fourche,Fourche,20
/.,/.,P
-,-,p
oui,oui,60
",",",",p
lui,lui,51
répondit,répondre,19
on,on,51
;,;,p
il,il,51
a,avoir,17
passé,passer,12
à,à,81
cheval,cheval,21
peu,peu,60
d',de,81
instants,instant,21
après,après,81
cette,ce,74
petite,petite,22
/.,/.,P
-,-,p
est,être,17
ce,ce,52
qu',que,83
il,il,51
a,avoir,17
couru,courir,12
après,après,81
elle,il,51
/?,/?,P
ah,ah,93
!,!,p
vous,vous,51
le,le,52
connaissez,connaître,17
donc,donc,82
?,?,p
dit,dire,19
en,en,81
riant,rire,13
le,le,71
cabaretier,cabaretier,21
de,de,81
l',le,71
endroit,endroit,21
",",",",p
auquel,à,81
auquel,lequel,52
il,il,51
s',se,51
adressait,adresser,18
/.,/.,P
oui,oui,60
",",",",p
certes,certes,60
