11637
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Soixante-huitième extrait>,<>,<>
elle,il,51
perdait,perdre,18
courage,courage,21
",",",",p
et,et,82
si,si,83
elle,il,51
conservait,conserver,18
assez,assez,60
de,de,81
discernement,discernement,21
pour,pour,81
ne,ne,60
pas,pas,60
se,se,51
heurter,heurter,14
contre,contre,81
les,le,71
arbres,arbre,21
",",",",p
elle,il,51
ne,ne,60
pouvait,pouvoir,18
empêcher,empêcher,14
que,que,83
ceux,celui,52
qui,qui,52
la,le,52
montaient,monter,18
n',ne,60
eussent,avoir,18
affaire,affaire,22
à,à,81
de,de,81
grosses,gros,30
branches,branche,22
",",",",p
qui,qui,52
barraient,barrer,18
le,le,71
chemin,chemin,21
à,à,81
la,le,71
hauteur,hauteur,22
de,de,81
leurs,leur,73
têtes,tête,22
et,et,82
qui,qui,52
les,le,52
mettaient,mettre,18
fort,fort,60
en,en,81
danger,danger,21
/.,/.,P
Germain,Germain,20
perdit,perdre,19
son,son,73
chapeau,chapeau,21
dans,dans,81
une,un,52
de,de,81
ces,ce,74
rencontres,rencontre,22
et,et,82
eut,avoir,19
grand'peine,grand-peine,22
à,à,81
le,le,52
retrouver,retrouver,14
/.,/.,P
Petit-Pierre,Petit Pierre,20
s',se,51
était,être,18
endormi,endormir,12
",",",",p
et,et,82
",",",",p
se,se,51
laissant,laisser,13
aller,aller,14
comme,comme,83
un,un,71
sac,sac,21
",",",",p
il,il,51
embarrassait,embarrasser,18
tellement,tellement,60
les,le,71
bras,bras,21
de,de,81
son,son,73
père,père,21
",",",",p
que,que,83
celui-ci,celui-ci,52
ne,ne,60
pouvait,pouvoir,18
plus,plus,60
ni,ni,82
soutenir,soutenir,14
ni,ni,82
diriger,diriger,14
le,le,71
cheval,cheval,21
/.,/.,P
-,-,p
je,je,51
crois,croire,17
que,que,83
nous,nous,51
sommes,être,17
ensorcelés,ensorceler,12
",",",",p
dit,dire,12
Germain,Germain,20
en,en,81
s',se,51
arrêtant,arrêter,13
:,:,p
car,car,82
ces,ce,74
bois,bois,21
ne,ne,60
sont,être,17
pas,pas,60
assez,assez,60
grands,grand,30
pour,pour,81
qu',que,83
on,on,51
s',se,51
y,y,52
perde,perdre,17
",",",",p
à,à,81
moins,moins,60
d',de,81
être,être,14
ivre,ivre,30
",",",",p
et,et,82
il,il,51
y,y,52
a,avoir,17
deux,deux,72
heures,heure,22
au,à,81
au,le,71
moins,moins,60
que,que,83
nous,nous,51
y,y,52
tournons,tourner,17
sans,sans,81
pouvoir,pouvoir,14
en,en,52
sortir,sortir,14
/.,/.,P
la,le,71
Grise,Grise,20
n',ne,60
a,avoir,17
qu',que,83
une,un,71
idée,idée,22
en,en,81
tête,tête,22
",",",",p
c',ce,52
est,être,17
de,de,81
s',se,51
en,en,52
retourner,retourner,14
à,à,81
la,le,71
maison,maison,22
",",",",p
et,et,82
c',ce,52
est,être,17
elle,il,51
qui,qui,52
me,je,51
fait,faire,17
tromper,tromper,14
/.,/.,P
si,si,83
nous,nous,51
voulons,vouloir,17
nous,nous,51
en,en,52
aller,aller,14
chez,chez,81
nous,nous,51
",",",",p
nous,nous,51
n',ne,60
avons,avoir,17
qu',que,83
à,à,81
la,le,52
laisser,laisser,14
faire,faire,14
/.,/.,P
mais,mais,82
quand,quand,83
nous,nous,51
sommes,être,17
peut-être,peut-être,60
à,à,81
deux,deux,72
pas,pas,21
de,de,81
l',le,71
endroit,endroit,21
où,où,60
nous,nous,51
devons,devoir,17
coucher,coucher,14
",",",",p
il,il,51
faudrait,falloir,16
être,être,14
fou,fou,30
pour,pour,81
y,y,52
renoncer,renoncer,14
et,et,82
recommencer,recommencer,14
une,un,71
si,si,60
longue,long,30
route,route,22
/.,/.,P
cependant,cependant,82
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
plus,plus,60
que,que,83
faire,faire,14
/.,/.,P
je,je,51
ne,ne,60
vois,voir,17
ni,ni,82
ciel,ciel,21
ni,ni,82
terre,terre,22
",",",",p
et,et,82
je,je,51
crains,craindre,17
que,que,83
cet,ce,74
enfant,enfant,21
là,là,60
ne,ne,60
prenne,prendre,17
la,le,71
fièvre,fièvre,22
si,si,83
nous,nous,51
restons,rester,17
dans,dans,81
ce,ce,74
damné,damné,31
brouillard,brouillard,21
",",",",p
ou,ou,82
qu',que,83
il,il,51
ne,ne,60
soit,être,17
écrasé,écraser,12
par,par,81
notre,notre,73
poids,poids,21
si,si,83
le,le,71
cheval,cheval,21
vient,venir,17
à,à,81
s',se,51
abattre,abattre,14
en,en,81
avant,avant,21
/.,/.,P
-,-,p
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
nous,nous,51
obstiner,obstiner,14
davantage,davantage,60
",",",",p
dit,dire,19
la,le,71
petite,petit,30
Marie,Marie,20
/.,/.,P
descendons,descendre,17
",",",",p
Germain,Germain,20
;,;,p
donnez,donner,17
moi,moi,51
l',le,71
enfant,enfant,21
",",",",p
je,je,51
le,le,52
porterai,porter,15
fort,fort,60
bien,bien,60
",",",",p
et,et,82
j',je,51
empêcherai,empêcher,15
mieux,mieux,60
que,que,83
vous,vous,51
",",",",p
que,que,83
la,le,71
cape,cape,22
",",",",p
se,se,51
dérangeant,déranger,13
",",",",p
ne,ne,60
le,le,52
laisse,laisser,17
à,à,81
découvert,découvert,21
/.,/.,P
vous,vous,51
conduirez,conduire,15
la,le,71
jument,jument,22
par,par,81
la,le,71
bride,bride,22
",",",",p
et,et,82
nous,nous,51
verrons,voir,15
peut-être,peut-être,60
plus,plus,60
clair,clair,30
quand,quand,83
nous,nous,51
serons,être,15
plus,plus,60
près,près,81
de,de,81
terre,terre,22
/.,/.,P
ce,ce,74
moyen,moyen,21
ne,ne,60
réussit,réussir,17
qu',que,83
à,à,81
les,le,52
préserver,préserver,14
d',de,81
une,un,71
chute,chute,22
de,de,81
cheval,cheval,21
",",",",p
car,car,82
le,le,71
brouillard,brouillard,21
rampait,ramper,18
et,et,82
semblait,sembler,18
se,se,51
coller,coller,14
à,à,81
la,le,71
terre,terre,22
humide,humide,30
/.,/.,P
la,le,71
marche,marche,22
était,être,18
pénible,pénible,30
",",",",p
et,et,82
ils,ils,51
furent,être,19
bientôt,bientôt,60
si,si,60
harassés,harasser,12
qu',que,83
ils,ils,51
s',se,51
arrêtèrent,arrêter,19
en,en,81
rencontrant,rencontrer,13
enfin,enfin,60
un,un,71
endroit,endroit,21
sec,sec,30
sous,sous,81
de,de,81
grands,grand,30
chênes,chêne,21
/.,/.,P
la,le,71
petite,petit,30
Marie,Marie,20
était,être,18
en,en,81
nage,nage,22
",",",",p
mais,mais,82
elle,il,51
ne,ne,60
se,se,51
plaignait,plaindre,18
ni,ni,82
ne,ne,60
s',se,51
inquiétait,inquiéter,18
de,de,81
rien,rien,52
/.,/.,P
occupée,occupé,31
seulement,seulement,60
de,de,81
l',le,71
enfant,enfant,21
",",",",p
elle,il,51
s',se,51
assit,asseoir,19
sur,sur,81
le,le,71
sable,sable,21
et,et,82
le,le,52
coucha,coucher,19
sur,sur,81
ses,son,73
genoux,genou,21
",",",",p
tandis que,tandis que,83
Germain,Germain,20
explorait,explorer,18
les,le,71
environs,environs,21
",",",",p
après,après,81
avoir,avoir,14
passé,passer,12
les,le,71
rênes,rêne,22
de,de,81
la,le,71
Grise,Grise,20
dans,dans,81
une,un,71
branche,branche,22
d',de,81
arbre,arbre,21
/.,/.,P
mais,mais,82
la,le,71
Grise,Grise,20
",",",",p
qui,qui,52
s',se,51
ennuyait,ennuyer,18
fort,fort,60
de,de,81
ce,ce,74
voyage,voyage,21
",",",",p
donna,donner,19
un,un,71
coup,coup,21
de,de,81
reins,rein,21
",",",",p
dégagea,dégager,19
les,le,71
rênes,rêne,22
",",",",p
rompit,rompre,19
les,le,71
sangles,sangle,22
",",",",p
et,et,82
lâchant,lâcher,13
",",",",p
par,par,81
manière,manière,22
d',de,81
acquit,acquit,21
",",",",p
une,un,71
demi-douzaine,demi-douzaine,22
de,de,81
ruades,ruade,22
plus,plus,60
haut,haut,60
que,que,83
sa,son,73
tête,tête,22
",",",",p
partit,partir,19
à,à,81
travers,travers,21
les,le,71
taillis,taillis,21
",",",",p
montrant,montrer,13
fort,fort,60
bien,bien,60
qu',que,83
elle,il,51
n',ne,60
avait,avoir,18
besoin,besoin,21
de,de,81
personne,personne,52
pour,pour,81
retrouver,retrouver,14
son,son,73
chemin,chemin,21
/.,/.,P
-,-,p
çà,çà,60
",",",",p
dit,dire,19
Germain,Germain,20
",",",",p
après,après,81
avoir,avoir,14
vainement,vainement,60
cherché,chercher,12
à,à,81
la,le,52
rattraper,rattraper,14
",",",",p
nous,nous,51
voici,voici,81
à,à,81
pied,pied,21
",",",",p
et,et,82
rien,rien,52
ne,ne,60
nous,nous,51
servirait,servir,16
de,de,81
nous,nous,51
trouver,trouver,14
dans,dans,81
le,le,71
bon,bon,30
chemin,chemin,21
",",",",p
car,car,82
il,il,51
nous,nous,51
faudrait,falloir,16
traverser,traverser,14
la,le,71
rivière,rivière,22
à,à,81
pied,pied,21
;,;,p
et,et,82
à,à,81
voir,voir,14
comme,comme,83
ces,ce,74
routes,route,22
sont,être,17
pleines,plein,30
d',de,81
eau,eau,22
",",",",p
nous,nous,51
pouvons,pouvoir,17
être,être,14
bien,bien,60
sûrs,sûr,30
que,que,83
la,le,71
prairie,prairie,22
est,être,17
sous,sous,81
la,le,71
rivière,rivière,22
/.,/.,P
nous,nous,51
ne,ne,60
connaissons,connaître,17
pas,pas,60
les,le,71
autres,autre,75
passages,passage,21
/.,/.,P
il,il,51
nous,nous,51
faut,falloir,17
donc,donc,82
attendre,attendre,14
que,que,83
ce,ce,74
brouillard,brouillard,21
se,se,51
dissipe,dissiper,17
;,;,p
ça,ça,52
ne,ne,60
peut,pouvoir,17
pas,pas,60
durer,durer,14
plus,plus,60
d',de,81
une,un,71
heure,heure,22
ou,ou,82
deux,deux,72
/.,/.,P
quand,quand,83
nous,nous,51
verrons,voir,15
clair,clair,60
",",",",p
nous,nous,51
chercherons,chercher,15
une,un,71
maison,maison,22
",",",",p
la,le,71
première,premier,72
venue,venue,22
à,à,81
la,le,71
lisière,lisière,22
du,de,81
du,le,71
bois,bois,21
;,;,p
mais,mais,82
à,à,81
présent,présent,21
nous,nous,51
ne,ne,60
pouvons,pouvoir,17
sortir,sortir,14
d',de,81
ici,ici,60
;,;,p
il,il,51
y,y,52
a,avoir,17
là,là,60
une,un,71
fosse,fosse,22
",",",",p
un,un,71
étang,étang,21
",",",",p
je,je,51
ne,ne,60
sais,savoir,17
quoi,quoi,52
devant,devant,81
nous,nous,51
;,;,p
et,et,82
derrière,derrière,81
",",",",p
je,je,51
ne,ne,60
saurais,savoir,16
pas,pas,60
non,non,60
plus,plus,60
dire,dire,14
ce,ce,52
qu',que,52
il,il,51
y,y,52
a,avoir,17
",",",",p
car,car,82
je,je,51
ne,ne,60
comprends,comprendre,17
plus,plus,60
par,par,81
quel,quel,75
côté,côté,21
nous,nous,51
sommes,être,17
arrivés,arriver,12
/.,/.,P
sous,sous,81
les,le,71
grands,grand,30
chênes,chêne,21
/.,/.,P
eh,eh,93
bien,bien,60
!,!,p
prenons,prendre,17
patience,patience,22
",",",",p
Germain,Germain,20
",",",",p
dit,dire,19
la,le,71
petite,petit,30
Marie,Marie,20
/.,/.,P
nous,nous,51
ne,ne,60
sommes,être,17
pas,pas,60
mal,mal,60
sur,sur,81
cette,ce,74
petite,petit,30
hauteur,hauteur,22
/.,/.,P
la,le,71
pluie,pluie,22
ne,ne,60
perce,percer,17
pas,pas,60
la,le,71
feuillée,feuillée,22
de,de,81
ces,ce,74
gros,gros,30
chênes,chêne,21
",",",",p
et,et,82
nous,nous,51
pouvons,pouvoir,17
allumer,allumer,14
du,de,81
du,le,71
feu,feu,21
",",",",p
car,car,82
je,je,51
sens,sentir,17
des,de,81
des,le,71
vieilles,vieux,30
souches,souche,22
qui,qui,52
ne,ne,60
tiennent,tenir,17
à,à,81
rien,rien,52
et,et,82
qui,qui,52
sont,être,17
assez,assez,60
sèches,sec,30
pour,pour,81
flamber,flamber,14
/.,/.,P
vous,vous,51
avez,avoir,17
bien,bien,60
du,de,81
du,le,71
feu,feu,21
",",",",p
Germain,Germain,20
/?,/?,P
vous,vous,51
fumiez,fumer,18
votre,votre,73
pipe,pipe,22
tantôt,tantôt,60
/.,/.,P
-,-,p
j',je,51
en,en,52
avais,avoir,18
!,!,p
mon,mon,73
briquet,briquet,21
était,être,18
sur,sur,81
le,le,71
bât,bât,21
dans,dans,81
mon,mon,73
sac,sac,21
",",",",p
avec,avec,81
le,le,71
gibier,gibier,21
que,que,52
je,je,51
portais,porter,18
à,à,81
ma,mon,73
future,future,22
;,;,p
mais,mais,82
la,le,71
maudite,maudit,31
jument,jument,22
a,avoir,17
tout,tout,52
emporté,emporter,12
",",",",p
même,même,60
mon,mon,73
manteau,manteau,21
",",",",p
qu',que,52
elle,il,51
va,aller,17
perdre,perdre,14
et,et,82
déchirer,déchirer,14
à,à,81
toutes,tout,75
les,le,71
branches,branche,22
/.,/.,P
-,-,p
non,non,60
pas,pas,60
",",",",p
Germain,Germain,20
;,;,p
la,le,71
bâtine,bâtine,22
",",",",p
le,le,71
manteau,manteau,21
",",",",p
le,le,71
sac,sac,21
",",",",p
tout,tout,52
est,être,17
là,là,60
par,par,81
terre,terre,22
",",",",p
à,à,81
vos,votre,73
pieds,pied,21
/.,/.,P
la,le,71
Grise,Grise,20
a,avoir,17
cassé,casser,12
les,le,71
sangles,sangle,22
et,et,82
tout,tout,75
jeté,jeter,12
à,à,81
côté,côté,21
d',de,81
elle,il,51
en,en,81
partant,partir,13
/.,/.,P
-,-,p
c',ce,52
est,être,17
",",",",p
vrai,vrai,30
dieu,dieu,21
",",",",p
certain,certain,30
!,!,p
dit,dire,19
le,le,71
laboureur,laboureur,21
;,;,p
et,et,82
si,si,83
nous,nous,51
pouvons,pouvoir,17
trouver,trouver,14
un,un,71
peu,peu,60
de,de,81
bois,bois,21
mort,mort,31
à tâtons,à tâtons,60
",",",",p
nous,nous,51
réussirons,réussir,15
à,à,81
nous,nous,51
sécher,sécher,14
et,et,82
à,à,81
nous,nous,51
réchauffer,réchauffer,14
/.,/.,P
-,-,p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
difficile,difficile,30
",",",",p
dit,dire,19
la,le,71
petite,petit,30
Marie,Marie,20
",",",",p
le,le,71
bois,bois,21
mort,mort,31
craque,craquer,17
partout,partout,60
sous,sous,81
les,le,71
pieds,pied,21
;,;,p
mais,mais,82
donnez,donner,17
moi,moi,51
d'abord,d'abord,60
ici,ici,60
la,le,71
bâtine,bâtine,22
/.,/.,P
-,-,p
qu',que,52
en,en,52
veux,vouloir,17
tu,tu,51
faire,faire,14
/?,/?,P
-,-,p
un,un,71
lit,lit,21
pour,pour,81
le,le,71
petit,petit,21
:,:,p
non,non,60
",",",",p
pas,pas,60
comme,comme,83
ça,ça,52
",",",",p
à,à,81
l',le,71
envers,envers,21
;,;,p
il,il,51
ne,ne,60
roulera,rouler,15
pas,pas,60
dans,dans,81
la,le,71
ruelle,ruelle,22
;,;,p
et,et,82
c',ce,52
est,être,17
encore,encore,60
tout,tout,60
chaud,chaud,30
du,de,81
du,le,71
dos,dos,21
de,de,81
la,le,71
bête,bête,22
/.,/.,P
calez,caler,17
moi,moi,51
ça,ça,52
de,de,81
chaque,chaque,75
côté,côté,21
avec,avec,81
ces,ce,74
pierres,pierre,22
que,que,52
vous,vous,51
voyez,voir,17
là,là,60
/!,/!,P
-,-,p
je,je,51
ne,ne,60
les,le,52
vois,voir,17
pas,pas,60
",",",",p
moi,moi,51
/!,/!,P
tu,tu,51
as,avoir,17
donc,donc,82
des,de,81
des,le,71
yeux,oeil,21
de,de,81
chat,chat,21
/!,/!,P
-,-,p
tenez,tenir,17
!,!,p
voilà,voilà,81
qui,qui,52
est,être,17
fait,faire,12
",",",",p
Germain,Germain,20
/.,/.,P
donnez,donner,17
moi,moi,51
votre,votre,73
manteau,manteau,21
",",",",p
que,que,52
j',je,51
enveloppe,envelopper,17
ses,son,73
petits,petit,30
pieds,pied,21
",",",",p
et,et,82
ma,mon,73
cape,cape,22
par-dessus,par-dessus,60
son,son,73
corps,corps,21
/.,/.,P
voyez,voir,17
!,!,p
s',si,83
il,il,51
n',ne,60
est,être,17
pas,pas,60
couché,coucher,12
là,là,60
aussi,aussi,60
bien,bien,60
que,que,83
dans,dans,81
son,son,73
lit,lit,21
!,!,p
et,et,82
tâtez,tâter,17
le,le,52
comme,comme,83
il,il,51
a,avoir,17
chaud,chaud,21
/!,/!,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
!,!,p
tu,tu,51
t',tu,51
entends,entendre,17
à,à,81
soigner,soigner,14
les,le,71
enfants,enfant,21
",",",",p
Marie,Marie,20
/!,/!,P
-,-,p
ça,ça,52
n',ne,60
est,être,17
pas,pas,60
bien,bien,60
sorcier,sorcier,30
/.,/.,P
à,à,81
présent,présent,21
",",",",p
cherchez,chercher,17
votre,votre,73
briquet,briquet,21
dans,dans,81
votre,votre,73
sac,sac,21
",",",",p
et,et,82
je,je,51
vais,aller,17
arranger,arranger,14
le,le,71
bois,bois,21
/.,/.,P
-,-,p
ce,ce,74
bois,bois,21
ne,ne,60
prendra,prendre,15
jamais,jamais,60
",",",",p
il,il,51
est,être,17
trop,trop,60
humide,humide,30
/.,/.,P
-,-,p
vous,vous,51
doutez,douter,17
de,de,81
tout,tout,52
",",",",p
Germain,Germain,20
!,!,p
vous,vous,51
ne,ne,60
vous,vous,51
souvenez,souvenir,17
donc,donc,82
pas,pas,60
d',de,81
avoir,avoir,14
été,être,12
pâtour,pastour,21
et,et,82
d',de,81
avoir,avoir,14
fait,faire,12
de,de,81
grands,grand,30
feux,feu,21
aux,à,81
aux,le,71
champs,champ,21
",",",",p
au,à,81
au,le,71
beau,beau,30
milieu,milieu,21
de,de,81
la,le,71
pluie,pluie,22
/?,/?,P
-,-,p
oui,oui,60
",",",",p
c',ce,52
est,être,17
le,le,71
talent,talent,21
des,de,81
des,le,71
enfants,enfant,21
qui,qui,52
gardent,garder,17
les,le,71
bêtes,bête,22
;,;,p
mais,mais,82
moi,moi,51
j',je,51
ai,avoir,17
été,être,12
toucheur,toucheur,21
de,de,81
boeufs,boeuf,21
aussitôt,aussitôt,60
que,que,83
j',je,51
ai,avoir,17
su,savoir,12
marcher,marcher,14
/.,/.,P
-,-,p
c',ce,52
est,être,17
pour,pour,81
cela,cela,52
que,que,83
vous,vous,51
êtes,être,17
plus,plus,60
fort,fort,30
de,de,81
vos,votre,73
bras,bras,21
qu',que,83
adroit,adroit,30
de,de,81
vos,votre,73
mains,main,22
/.,/.,P
le,le,52
voilà,voilà,81
bâti,bâti,31
ce,ce,74
bûcher,bûcher,21
",",",",p
vous,vous,51
allez,aller,17
voir,voir,14
s',si,83
il,il,51
ne,ne,60
flambera,flamber,15
pas,pas,60
/!,/!,P
donnez,donner,17
moi,moi,51
le,le,71
feu,feu,21
et,et,82
une,un,71
poignée,poignée,22
de,de,81
fougère,fougère,22
sèche,sec,30
/.,/.,P
c',ce,52
est,être,17
bien,bien,60
!,!,p
soufflez,souffler,17
à,à,81
présent,présent,21
;,;,p
vous,vous,51
n',ne,60
êtes,être,17
pas,pas,60
poumonique,poumonique,30
/?,/?,P
-,-,p
non,non,60
pas,pas,60
que,que,83
je,je,51
sache,savoir,17
",",",",p
dit,dire,19
Germain,Germain,20
en,en,81
soufflant,souffler,13
comme,comme,83
un,un,71
soufflet,soufflet,21
de,de,81
forge,forge,22
/.,/.,P
au,à,81
au,le,71
bout,bout,21
d',de,81
un,un,71
instant,instant,21
",",",",p
la,le,71
flamme,flamme,22
brilla,briller,19
",",",",p
jeta,jeter,19
d'abord,d'abord,60
une,un,71
lumière,lumière,22
rouge,rouge,30
",",",",p
et,et,82
finit,finir,19
par,par,81
s',se,51
élever,élever,14
en,en,81
jets,jet,21
bleuâtres,bleuâtre,30
sous,sous,81
le,le,71
feuillage,feuillage,21
des,de,81
des,le,71
chênes,chêne,21
",",",",p
luttant,lutter,13
contre,contre,81
la,le,71
brume,brume,22
et,et,82
séchant,sécher,13
peu,peu,60
à,à,81
peu,peu,60
l',le,71
atmosphère,atmosphère,22
à,à,81
dix,dix,72
pieds,pied,21
à,à,81
la,le,71
ronde,ronde,22
/.,/.,P
-,-,p
maintenant,maintenant,60
",",",",p
je,je,51
vais,aller,17
m',je,51
asseoir,asseoir,14
auprès,auprès,60
du,de,81
du,le,71
petit,petit,21
pour,pour,81
qu',que,83
il,il,51
ne,ne,60
lui,lui,51
tombe,tomber,17
pas,pas,60
d',de,81
étincelles,étincelle,22
sur,sur,81
le,le,71
corps,corps,21
",",",",p
dit,dire,19
la,le,71
jeune,jeune,30
fille,fille,22
/.,/.,P
vous,vous,51
",",",",p
mettez,mettre,17
du,de,81
du,le,71
bois,bois,21
et,et,82
animez,animer,17
le,le,52
feu,feu,21
",",",",p
Germain,Germain,20
!,!,p
nous,nous,51
n',ne,60
attraperons,attraper,15
ici,ici,60
ni,ni,82
fièvre,fièvre,22
ni,ni,82
rhume,rhume,21
",",",",p
je,je,51
vous,vous,51
en,en,52
réponds,répondre,17
/.,/.,P
-,-,p
ma,mon,73
foi,foi,22
",",",",p
tu,tu,51
es,être,17
une,un,71
fille,fille,22
d',de,81
esprit,esprit,21
",",",",p
dit,dire,19
Germain,Germain,20
",",",",p
et,et,82
tu,tu,51
sais,savoir,17
faire,faire,14
le,le,71
feu,feu,21
comme,comme,83
une,un,71
petite,petit,30
sorcière,sorcière,22
de,de,81
nuit,nuit,22
/.,/.,P
je,je,51
me,je,51
sens,sentir,17
tout,tout,52
ranimé,ranimé,31
et,et,82
le,le,71
coeur,coeur,21
me,je,51
revient,revenir,17
;,;,p
car,car,82
avec,avec,81
les,le,71
jambes,jambe,22
mouillées,mouillé,31
jusqu',jusque,81
aux,à,81
aux,le,71
genoux,genou,21
",",",",p
et,et,82
l',le,71
idée,idée,22
de,de,81
rester,rester,14
comme,comme,83
cela,cela,52
jusqu',jusque,81
au,à,81
au,le,71
point,point,21
du,de,81
du,le,71
jour,jour,21
",",",",p
j',je,51
étais,être,18
de,de,81
fort,fort,60
mauvaise,mauvais,30
humeur,humeur,22
tout,tout,60
à,à,81
l',le,71
heure,heure,22
/.,/.,P
-,-,p
et,et,82
quand,quand,83
on,on,51
est,être,17
de,de,81
mauvaise,mauvais,30
humeur,humeur,22
",",",",p
on,on,51
ne,ne,60
s',se,51
avise,aviser,17
de,de,81
rien,rien,52
",",",",p
reprit,reprendre,19
la,le,71
petite,petit,30
Marie,Marie,20
/.,/.,P
-,-,p
et,et,82
tu,tu,51
n',ne,60
es,être,17
donc,donc,82
jamais,jamais,60
de,de,81
mauvaise,mauvais,30
humeur,humeur,22
",",",",p
toi,toi,51
/?,/?,P
-,-,p
eh,eh,93
non,non,60
!,!,p
jamais,jamais,60
/.,/.,P
à,à,81
quoi,quoi,52
bon,bon,60
/?,/?,P
-,-,p
ôh,oh,93
!,!,p
ce,ce,52
n',ne,60
est,être,17
bon,bon,30
à,à,81
rien,rien,52
",",",",p
certainement,certainement,60
;,;,p
mais,mais,82
le,le,71
moyen,moyen,21
de,de,81
s',se,51
en,en,52
empêcher,empêcher,14
",",",",p
quand,quand,83
on,on,51
a,avoir,17
des,de,81
des,le,71
ennuis,ennui,21
/!,/!,P
dieu,dieu,21
sait,savoir,17
que,que,83
tu,tu,51
n',ne,60
en,en,52
as,avoir,17
pas,pas,60
manqué,manquer,12
",",",",p
toi,toi,51
",",",",p
pourtant,pourtant,60
",",",",p
ma,mon,73
pauvre,pauvre,30
petite,petit,30
:,:,p
car,car,82
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
toujours,toujours,60
été,être,12
heureuse,heureux,30
/!,/!,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
",",",",p
nous,nous,51
avons,avoir,17
souffert,souffrir,12
",",",",p
ma,mon,73
pauvre,pauvre,30
mère,mère,22
et,et,82
moi,moi,51
/.,/.,P
nous,nous,51
avions,avoir,18
du,de,81
du,le,71
chagrin,chagrin,21
",",",",p
mais,mais,82
nous,nous,51
ne,ne,60
perdions,perdre,18
jamais,jamais,60
courage,courage,21
/.,/.,P
-,-,p
je,je,51
ne,ne,60
perdrais,perdre,16
pas,pas,60
courage,courage,21
pour,pour,81
quelque,quelque,75
ouvrage,ouvrage,21
que,que,52
ce,ce,52
fût,être,19
",",",",p
dit,dire,12
Germain,Germain,20
;,;,p
mais,mais,82
la,le,71
misère,misère,22
me,je,51
fâcherait,fâcher,16
;,;,p
car,car,82
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
manqué,manquer,12
de,de,81
rien,rien,52
/.,/.,P
ma,mon,73
femme,femme,22
m',je,51
avait,avoir,18
fait,faire,12
riche,riche,30
et,et,82
je,je,51
le,le,52
suis,être,17
encore,encore,60
;,;,p
je,je,51
le,le,52
serai,être,16
tant,tant,60
que,que,83
je,je,51
travaillerai,travailler,15
à,à,81
la,le,71
métairie,métairie,22
:,:,p
ce,ce,52
sera,être,15
toujours,toujours,60
",",",",p
j',je,51
espère,espérer,17
;,;,p
mais,mais,82
chacun,chacun,52
doit,devoir,17
avoir,avoir,14
sa,son,73
peine,peine,22
/!,/!,P
j',je,51
ai,avoir,17
souffert,souffrir,12
autrement,autrement,60
/.,/.,P
-,-,p
oui,oui,60
",",",",p
vous,vous,51
avez,avoir,17
perdu,perdre,12
votre,votre,73
femme,femme,22
",",",",p
et,et,82
c',ce,52
est,être,17
grand',grand,30
pitié,pitié,22
/.,/.,P
-,-,p
n',ne,60
est,être,17
ce,ce,52
pas,pas,60
/?,/?,P
-,-,p
ôh,oh,93
!,!,p
je,je,51
l',le,52
ai,avoir,17
bien,bien,60
pleurée,pleurer,12
",",",",p
allez,aller,17
",",",",p
Germain,Germain,20
!,!,p
car,car,82
elle,il,51
était,être,18
si,si,60
bonne,bon,30
/!,/!,P
tenez,tenir,17
",",",",p
n',ne,60
en,en,52
parlons,parler,17
plus,plus,60
;,;,p
car,car,82
je,je,51
la,le,52
pleurerais,pleurer,16
encore,encore,60
",",",",p
tous,tout,75
mes,mon,73
chagrins,chagrin,21
sont,être,17
en,en,81
train,train,21
de,de,81
me,je,51
revenir,revenir,14
aujourd'hui,aujourd'hui,60
/.,/.,P
-,-,p
c',ce,52
est,être,17
vrai,vrai,30
qu',que,83
elle,il,51
t',tu,51
aimait,aimer,18
beaucoup,beaucoup,60
",",",",p
petite,petit,30
Marie,Marie,20
!,!,p
elle,il,51
faisait,faire,18
grand,grand,30
cas,cas,21
de,de,81
toi,toi,51
et,et,82
de,de,81
ta,ton,73
mère,mère,22
/.,/.,P
allons,aller,17
!,!,p
tu,tu,51
pleures,pleurer,17
/?,/?,P
voyons,voir,17
",",",",p
ma,mon,73
fille,fille,22
",",",",p
je,je,51
ne,ne,60
veux,vouloir,17
pas,pas,60
pleurer,pleurer,14
",",",",p
moi,moi,51
/.,/.,P
..,/...,P
vous,vous,51
pleurez,pleurer,17
aussi,aussi,60
/!,/!,P
quelle,quel,75
honte,honte,22
y,y,52
a,avoir,17
t,t,94
il,il,51
pour,pour,81
un,un,71
homme,homme,21
à,à,81
pleurer,pleurer,14
sa,son,73
femme,femme,22
/?,/?,P
ne,ne,60
vous,vous,51
gênez,gêner,17
pas,pas,60
",",",",p
allez,aller,17
!,!,p
je,je,51
suis,être,17
bien,bien,60
de,de,81
moitié,moitié,22
avec,avec,81
vous,vous,51
dans,dans,81
cette,ce,74
peine,peine,22
là,là,60
/!,/!,P
-,-,p
tu,tu,51
as,avoir,17
bon,bon,30
