11987
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quatre-vingt-troisième extrait>,<>,<>
possédant,posséder,13
ainsi,ainsi,60
",",",",p
disait,dire,18
il,il,51
",",",",p
toutes,tout,75
les,le,71
autres,autre,75
choses,chose,22
de,de,81
l',le,71
amour,amour,21
sont,être,17
des,de,81
des,le,71
jeux,jeu,21
de,de,81
polissons,polisson,21
/.,/.,P
“,“,p
et,et,82
face,face,22
à,à,81
face,face,22
",",",",p
confondant,confondre,13
leurs,leur,73
haleines,haleine,22
",",",",p
ils,ils,51
se,se,51
cherchaient,chercher,18
éperdument,éperdument,60
dans,dans,81
la,le,71
transparence,transparence,22
des,de,81
des,le,71
yeux,oeil,21
/.,/.,P
il,il,51
murmurait,murmurer,18
:,:,p
“,“,p
je,je,51
vous,vous,51
vois,voir,17
",",",",p
Liane,Liane,20
/.,/.,P
je,je,51
vois,voir,17
votre,votre,73
coeur,coeur,21
adoré,adoré,31
/!,/!,P
elle,il,51
répondait,répondre,18
:,:,p
“,“,p
moi,moi,51
aussi,aussi,60
",",",",p
Paul,Paul,20
",",",",p
je,je,51
vois,voir,17
votre,votre,73
coeur,coeur,21
/!,/!,P
et,et,82
ils,ils,51
se,se,51
voyaient,voir,18
",",",",p
en,en,81
effet,effet,21
",",",",p
l',le,71
un,un,52
et,et,82
l',le,71
autre,autre,52
",",",",p
jusqu',jusque,81
au,à,81
au,le,71
fond,fond,21
de,de,81
l',le,71
âme,âme,22
et,et,82
du,de,81
du,le,71
coeur,coeur,21
",",",",p
car,car,82
ils,ils,51
n',ne,60
avaient,avoir,18
plus,plus,60
dans,dans,81
l',le,71
âme,âme,22
et,et,82
dans,dans,81
le,le,71
coeur,coeur,21
qu',que,83
un,un,71
furieux,furieux,30
élan,élan,21
d',de,81
amour,amour,21
l',le,71
un,un,52
vers,vers,81
l',le,71
autre,autre,52
/.,/.,P
il,il,51
disait,dire,18
:,:,p
“,“,p
Liane,Liane,20
",",",",p
votre,votre,73
oeil,oeil,21
est,être,17
comme,comme,83
le,le,71
ciel,ciel,21
!,!,p
il,il,51
est,être,17
bleu,bleu,30
",",",",p
avec,avec,81
tant,tant,60
de,de,81
reflets,reflet,21
",",",",p
avec,avec,81
tant,tant,60
de,de,81
clarté,clarté,22
/!,/!,P
il,il,51
me,je,51
semble,sembler,17
que,que,83
j',je,51
y,y,52
vois,voir,17
passer,passer,14
des,de,81
des,le,71
hirondelles,hirondelle,22
!,!,p
ce,ce,52
sont,être,17
vos,votre,73
pensées,pensée,22
",",",",p
sans,sans,81
doute,doute,21
/?,/?,P
et,et,82
quand,quand,83
ils,ils,51
s',se,51
étaient,être,18
longtemps,longtemps,60
",",",",p
longtemps,longtemps,60
contemplés,contempler,12
ainsi,ainsi,60
",",",",p
ils,ils,51
se,se,51
rapprochaient,rapprocher,18
encore,encore,60
et,et,82
s',se,51
embrassaient,embrasser,18
doucement,doucement,60
",",",",p
par,par,81
petits,petit,30
coups,coup,21
",",",",p
en,en,81
se,se,51
regardant,regarder,13
de,de,81
nouveau,nouveau,21
",",",",p
entre,entre,81
chaque,chaque,75
baiser,baiser,21
/.,/.,P
quelquefois,quelquefois,60
il,il,51
la,le,52
prenait,prendre,18
dans,dans,81
ses,son,73
bras,bras,21
et,et,82
l',le,52
emportait,emporter,18
en,en,81
courant,courir,13
le,le,71
long,long,21
du,de,81
du,le,71
ruisseau,ruisseau,21
qui,qui,52
glissait,glisser,18
vers,vers,81
les,le,71
gorges,gorge,22
d',de,81
Enval,Enval,20
avant,avant,81
de,de,81
s',se,51
y,y,52
précipiter,précipiter,14
/.,/.,P
c',ce,52
était,être,18
un,un,71
étroit,étroit,30
vallon,vallon,21
où,où,60
alternaient,alterner,18
des,de,81
des,le,71
prairies,prairie,22
et,et,82
des,de,81
des,le,71
bois,bois,21
/.,/.,P
Paul,Paul,20
courait,courir,18
sur,sur,81
l',le,71
herbe,herbe,22
et,et,82
par,par,81
moments,moment,21
",",",",p
élevant,élever,13
la,le,71
jeune,jeune,30
femme,femme,22
au,à,81
au,le,71
bout,bout,21
de,de,81
ses,son,73
poignets,poignet,21
puissants,puissant,30
",",",",p
il,il,51
criait,crier,18
:,:,p
“,“,p
Liane,Liane,20
",",",",p
envolons,envoler,17
nous,nous,51
/.,/.,P
“,“,p
et,et,82
ce,ce,74
besoin,besoin,21
de,de,81
s',se,51
envoler,envoler,14
",",",",p
l',le,71
amour,amour,21
",",",",p
leur,leur,73
amour,amour,21
exalté,exalté,31
",",",",p
le,le,52
jetait,jeter,18
en,en,81
eux,ils,51
",",",",p
harcelant,harceler,13
",",",",p
incessant,incessant,30
",",",",p
douloureux,douloureux,30
/.,/.,P
et,et,82
tout,tout,52
",",",",p
autour,autour,60
d',de,81
eux,ils,51
",",",",p
aiguisait,aiguiser,18
ce,ce,74
désir,désir,21
de,de,81
leur,leur,73
âme,âme,22
",",",",p
l',le,71
air,air,21
léger,léger,30
",",",",p
un,un,71
air,air,21
d',de,81
oiseau,oiseau,21
",",",",p
disait,dire,18
il,il,51
",",",",p
et,et,82
le,le,71
vaste,vaste,30
horizon,horizon,21
bleuâtre,bleuâtre,30
où,où,60
ils,ils,51
auraient,avoir,16
voulu,vouloir,12
s',se,51
élancer,élancer,14
tous,tout,75
les,le,71
deux,deux,72
",",",",p
en,en,81
se,se,51
tenant,tenir,13
par,par,81
la,le,71
main,main,22
",",",",p
et,et,82
disparaître,disparaître,14
au-dessus,au-dessus,60
de,de,81
la,le,71
plaine,plaine,22
infinie,infini,30
lorsque,lorsque,83
la,le,71
nuit,nuit,22
s',se,51
étendait,étendre,18
sur,sur,81
elle,il,51
/.,/.,P
ils,ils,51
seraient,être,16
partis,partir,12
ainsi,ainsi,60
à,à,81
travers,travers,21
le,le,71
ciel,ciel,21
embrumé,embrumé,31
du,de,81
du,le,71
soir,soir,21
",",",",p
pour,pour,81
ne,ne,60
jamais,jamais,60
revenir,revenir,14
/.,/.,P
où,où,60
seraient,être,16
ils,ils,51
allés,aller,12
/?,/?,P
ils,ils,51
ne,ne,60
le,le,52
savaient,savoir,18
point,point,60
",",",",p
mais,mais,82
quel,quel,75
rêve,rêve,21
/!,/!,P
quand,quand,83
il,il,51
était,être,18
essoufflé,essouffler,12
d',de,81
avoir,avoir,14
couru,courir,12
en,en,81
la,le,52
portant,porter,13
ainsi,ainsi,60
",",",",p
il,il,51
la,le,52
posait,poser,18
sur,sur,81
un,un,71
rocher,rocher,21
pour,pour,81
s',se,51
agenouiller,agenouiller,14
devant,devant,81
elle,il,51
/!,/!,P
et,et,82
lui,lui,51
baisant,baiser,13
les,le,71
chevilles,cheville,22
",",",",p
il,il,51
l',le,52
adorait,adorer,18
en,en,81
murmurant,murmurer,13
des,de,81
des,le,71
paroles,parole,22
enfantines,enfantin,30
et,et,82
tendres,tendre,30
/.,/.,P
s',si,83
ils,ils,51
s',se,51
étaient,être,18
aimés,aimer,12
dans,dans,81
une,un,71
ville,ville,22
",",",",p
leur,leur,73
passion,passion,22
",",",",p
sans,sans,81
doute,doute,21
",",",",p
aurait,avoir,16
été,être,12
différente,différent,30
",",",",p
plus,plus,60
prudente,prudent,30
",",",",p
plus,plus,60
sensuelle,sensuel,30
",",",",p
moins,moins,60
aérienne,aérien,30
et,et,82
moins,moins,60
romanesque,romanesque,30
/.,/.,P
mais,mais,82
là,là,60
",",",",p
dans,dans,81
ce,ce,74
pays,pays,21
vert,vert,30
dont,dont,52
l',le,71
horizon,horizon,21
élargissait,élargir,18
les,le,71
élans,élan,21
de,de,81
l',le,71
âme,âme,22
",",",",p
seuls,seul,30
",",",",p
sans,sans,81
rien,rien,52
pour,pour,81
se,se,51
distraire,distraire,14
",",",",p
pour,pour,81
atténuer,atténuer,14
leur,leur,73
instinct,instinct,21
d',de,81
amour,amour,21
éveillé,éveillé,31
",",",",p
ils,ils,51
s',se,51
étaient,être,18
élancés,élancer,12
soudain,soudain,60
dans,dans,81
une,un,71
tendresse,tendresse,22
éperdument,éperdument,60
poétique,poétique,30
",",",",p
faite,fait,31
d',de,81
extase,extase,22
et,et,82
de,de,81
folie,folie,22
/.,/.,P
le,le,71
paysage,paysage,21
autour,autour,60
d',de,81
eux,ils,51
",",",",p
le,le,71
vent,vent,21
tiède,tiède,30
",",",",p
les,le,71
bois,bois,21
",",",",p
l',le,71
odeur,odeur,22
savoureuse,savoureux,30
de,de,81
cette,ce,74
campagne,campagne,22
leur,leur,52
jouaient,jouer,18
tout,tout,75
le,le,71
long,long,21
des,de,81
des,le,71
jours,jour,21
et,et,82
des,de,81
des,le,71
nuits,nuit,22
la,le,71
musique,musique,22
de,de,81
leur,leur,73
amour,amour,21
;,;,p
et,et,82
cette,ce,74
musique,musique,22
les,le,52
avait,avoir,18
excités,exciter,12
jusqu',jusque,81
à,à,81
la,le,71
démence,démence,22
",",",",p
comme,comme,83
le,le,71
son,son,21
des,de,81
des,le,71
tambourins,tambourin,21
et,et,82
des,de,81
des,le,71
flûtes,flûte,22
aiguës,aigu,30
pousse,pousser,17
à,à,81
des,de,81
des,le,71
actes,acte,21
de,de,81
déraison,déraison,22
sauvage,sauvage,30
le,le,71
derviche,derviche,21
qui,qui,52
tourne,tourner,17
avec,avec,81
son,son,73
idée,idée,22
fixe,fixe,30
/.,/.,P
un,un,71
soir,soir,21
",",",",p
comme,comme,83
ils,ils,51
rentraient,rentrer,18
pour,pour,81
dîner,dîner,14
",",",",p
le,le,71
marquis,marquis,21
leur,leur,73
dit,dit,31
tout,tout,60
à,à,81
coup,coup,21
:,:,p
“,“,p
Andermatt,Andermatt,20
revient,revenir,17
dans,dans,81
quatre,quatre,72
jours,jour,21
",",",",p
toutes,tout,75
les,le,71
affaires,affaire,22
sont,être,17
arrangées,arranger,12
/.,/.,P
nous,nous,51
autres,autre,30
",",",",p
nous,nous,51
partirons,partir,15
le,le,71
lendemain,lendemain,21
de,de,81
son,son,73
retour,retour,21
/.,/.,P
voici,voici,81
bien,bien,60
longtemps,longtemps,60
que,que,83
nous,nous,51
sommes,être,17
ici,ici,60
",",",",p
il,il,51
ne,ne,60
faut,falloir,17
pas,pas,60
trop,trop,60
prolonger,prolonger,14
les,le,71
saisons,saison,22
d',de,81
eaux,eau,22
minérales,minéral,30
/.,/.,P
“,“,p
ils,ils,51
furent,être,19
surpris,surprendre,12
comme,comme,83
si,si,83
on,on,51
leur,leur,52
eût,avoir,19
annoncé,annoncer,12
la,le,71
fin,fin,22
du,de,81
du,le,71
monde,monde,21
;,;,p
et,et,82
ils,ils,51
ne,ne,60
parlèrent,parler,19
ni,ni,82
l',le,71
un,un,52
ni,ni,82
l',le,71
autre,autre,52
pendant,pendant,81
le,le,71
repas,repas,21
",",",",p
tant,tant,60
ils,ils,51
songeaient,songer,18
avec,avec,81
étonnement,étonnement,21
à,à,81
ce,ce,52
qui,qui,52
devait,devoir,18
arriver,arriver,14
/.,/.,P
donc,donc,82
ils,ils,51
se,se,51
trouveraient,trouver,16
séparés,séparé,31
dans,dans,81
quelques,quelque,75
jours,jour,21
et,et,82
ne,ne,60
se,se,51
verraient,voir,16
plus,plus,60
librement,librement,60
/.,/.,P
cela,cela,52
leur,leur,52
paraissait,paraître,18
si,si,60
impossible,impossible,30
et,et,82
si,si,60
bizarre,bizarre,30
qu',que,83
ils,ils,51
ne,ne,60
le,le,52
comprenaient,comprendre,18
pas,pas,60
/.,/.,P
Andermatt,Andermatt,20
revint,revenir,19
",",",",p
en,en,81
effet,effet,21
",",",",p
à,à,81
la,le,71
fin,fin,22
de,de,81
la,le,71
semaine,semaine,22
/.,/.,P
il,il,51
avait,avoir,18
télégraphié,télégraphier,12
pour,pour,81
qu',que,83
on,on,51
lui,lui,51
envoyât,envoyer,18
deux,deux,72
landaus,landau,21
au,à,81
au,le,71
premier,premier,72
train,train,21
/.,/.,P
Christiane,Christiane,20
",",",",p
qui,qui,52
n',ne,60
avait,avoir,18
point,point,60
dormi,dormir,12
",",",",p
harcelée,harcelé,31
par,par,81
une,un,71
émotion,émotion,22
étrange,étrange,30
et,et,82
nouvelle,nouveau,30
",",",",p
une,un,71
sorte,sorte,22
de,de,81
peur,peur,22
de,de,81
son,son,73
mari,mari,21
",",",",p
une,un,71
peur,peur,22
mêlée,mêlé,31
de,de,81
colère,colère,22
",",",",p
de,de,81
mépris,mépris,21
inexpliqué,inexpliqué,30
et,et,82
d',de,81
envie,envie,22
de,de,81
le,le,52
braver,braver,14
",",",",p
s',se,51
était,être,18
levée,lever,12
dès,dès,81
le,le,71
jour,jour,21
et,et,82
l',le,52
attendait,attendre,18
/.,/.,P
il,il,51
apparut,apparaître,19
dans,dans,81
la,le,71
première,premier,72
voiture,voiture,22
",",",",p
accompagné,accompagné,31
de,de,81
trois,trois,72
messieurs,monsieur,21
bien,bien,60
vêtus,vêtu,31
",",",",p
mais,mais,82
d',de,81
allure,allure,22
modeste,modeste,30
/.,/.,P
le,le,71
second,second,72
landau,landau,21
en,en,52
portait,porter,18
quatre,quatre,72
autres,autre,52
qui,qui,52
semblaient,sembler,18
de,de,81
condition,condition,22
un,un,71
peu,peu,60
inférieure,inférieur,30
aux,à,81
aux,le,71
premiers,premier,72
/.,/.,P
le,le,71
marquis,marquis,21
et,et,82
Gontran,Gontran,20
s',se,51
étonnèrent,étonner,19
/.,/.,P
celui-ci,celui-ci,52
demanda,demander,19
:,:,p
“,“,p
qu',que,52
est,être,17
ce,ce,52
que,que,52
ces,ce,74
gens,gens,21
/?,/?,P
Andermatt,Andermatt,20
répondit,répondre,19
:,:,p
“,“,p
mes,mon,73
actionnaires,actionnaire,21
/.,/.,P
nous,nous,51
allons,aller,17
constituer,constituer,14
la,le,71
société,société,22
aujourd'hui,aujourd'hui,60
même,même,60
et,et,82
nommer,nommer,14
le,le,71
conseil,conseil,21
d',de,81
administration,administration,22
/.,/.,P
“,“,p
il,il,51
embrassa,embrasser,19
sa,son,73
femme,femme,22
sans,sans,81
lui,lui,51
parler,parler,14
et,et,82
presque,presque,60
sans,sans,81
la,le,52
voir,voir,14
",",",",p
tant,tant,60
il,il,51
était,être,18
préoccupé,préoccuper,12
",",",",p
et,et,82
se,se,51
tournant,tourner,13
vers,vers,81
les,le,71
sept,sept,72
messieurs,monsieur,21
",",",",p
respectueux,respectueux,30
et,et,82
muets,muet,30
",",",",p
debout,debout,60
derrière,derrière,81
lui,lui,51
:,:,p
“,“,p
faites,faire,17
vous,vous,51
servir,servir,14
à,à,81
déjeuner,déjeuner,14
",",",",p
dit,dire,19
il,il,51
",",",",p
et,et,82
promenez,promener,17
vous,vous,51
/.,/.,P
nous,nous,51
nous,nous,51
retrouverons,retrouver,15
ici,ici,60
",",",",p
à,à,81
midi,midi,21
/.,/.,P
“,“,p
ils,ils,51
s',se,51
en,en,52
allèrent,aller,19
en,en,81
silence,silence,21
",",",",p
comme,comme,83
des,de,81
des,le,71
soldats,soldat,21
qui,qui,52
obéissent,obéir,17
à,à,81
l',le,71
ordre,ordre,21
",",",",p
et,et,82
montant,monter,13
deux,deux,72
par,par,81
deux,deux,72
les,le,71
marches,marche,22
du,de,81
du,le,71
perron,perron,21
",",",",p
ils,ils,51
disparurent,disparaître,19
dans,dans,81
l',le,71
hôtel,hôtel,21
/.,/.,P
Gontran,Gontran,20
",",",",p
qui,qui,52
les,le,52
regardait,regarder,18
partir,partir,14
",",",",p
demanda,demander,19
avec,avec,81
un,un,71
grand,grand,30
sérieux,sérieux,21
:,:,p
“,“,p
où,où,60
les,le,52
avez,avoir,17
vous,vous,51
trouvés,trouver,12
",",",",p
vos,votre,73
figurants,figurant,21
/?,/?,P
le,le,71
banquier,banquier,21
sourit,sourire,19
:,:,p
“,“,p
ce,ce,52
sont,être,17
des,de,81
des,le,71
hommes,homme,21
très,très,60
bien,bien,60
",",",",p
des,de,81
des,le,71
hommes,homme,21
de,de,81
bourse,bourse,22
",",",",p
des,de,81
des,le,71
capitalistes,capitaliste,21
/.,/.,P
“,“,p
et,et,82
il,il,51
ajouta,ajouter,19
",",",",p
après,après,81
un,un,71
silence,silence,21
",",",",p
avec,avec,81
un,un,71
sourire,sourire,21
plus,plus,60
marqué,marqué,31
:,:,p
“,“,p
qui,qui,52
s',se,51
occupent,occuper,17
de,de,81
mes,mon,73
affaires,affaire,22
/.,/.,P
“,“,p
puis,puis,60
il,il,51
se,se,51
rendit,rendre,19
chez,chez,81
le,le,71
notaire,notaire,21
pour,pour,81
relire,relire,14
les,le,71
pièces,pièce,22
dont,dont,52
il,il,51
avait,avoir,18
envoyé,envoyer,12
la,le,71
rédaction,rédaction,22
toute,tout,60
prête,prêt,30
quelques,quelque,75
jours,jour,21
auparavant,auparavant,60
/.,/.,P
il,il,51
y,y,52
trouva,trouver,19
le,le,71
docteur,docteur,21
Latonne,Latonne,20
",",",",p
avec,avec,81
qui,qui,52
d',de,81
ailleurs,ailleurs,60
il,il,51
avait,avoir,18
échangé,échanger,12
plusieurs,plusieurs,75
lettres,lettre,22
",",",",p
et,et,82
ils,ils,51
causèrent,causer,19
longtemps,longtemps,60
",",",",p
a,avoir,17
voix,voix,22
basse,bas,30
",",",",p
dans,dans,81
un,un,71
coin,coin,21
de,de,81
l',le,71
étude,étude,22
",",",",p
pendant,pendant,81
que,que,83
les,le,71
plumes,plume,22
des,de,81
des,le,71
clercs,clerc,21
couraient,courir,18
sur,sur,81
le,le,71
papier,papier,21
avec,avec,81
un,un,71
petit,petit,30
bruit,bruit,21
d',de,81
insectes,insecte,21
/.,/.,P
rendez-vous,rendez-vous,21
fut,être,19
pris,prendre,12
pour,pour,81
deux,deux,72
heures,heure,22
",",",",p
afin,afin,81
de,de,81
constituer,constituer,14
la,le,71
société,société,22
/.,/.,P
le,le,71
cabinet,cabinet,21
du,de,81
du,le,71
notaire,notaire,21
avait,avoir,18
été,être,12
préparé,préparer,12
comme,comme,83
pour,pour,81
un,un,71
concert,concert,21
/.,/.,P
deux,deux,72
rangs,rang,21
de,de,81
chaises,chaise,22
attendaient,attendre,18
les,le,71
actionnaires,actionnaire,21
en,en,81
face,face,22
de,de,81
la,le,71
table,table,22
où,où,60
maître,maître,21
Alain,Alain,20
devait,devoir,18
s,s,21
asseoir,asseoir,14
a,avoir,17
côté,côté,21
de,de,81
son,son,73
premier,premier,72
clerc,clerc,21
/.,/.,P
maître,maître,21
Alain,Alain,20
avait,avoir,18
passé,passer,12
son,son,73
habit,habit,21
",",",",p
vu,vu,81
l',le,71
importance,importance,22
de,de,81
l',le,71
affaire,affaire,22
/.,/.,P
c',ce,52
était,être,18
un,un,71
tout,tout,60
petit,petit,30
homme,homme,21
",",",",p
une,un,71
boule,boule,22
de,de,81
chair,chair,22
blanche,blanc,30
",",",",p
qui,qui,52
bredouillait,bredouiller,18
/.,/.,P
Andermatt,Andermatt,20
entra,entrer,19
comme,comme,83
deux,deux,72
heures,heure,22
sonnaient,sonner,18
",",",",p
accompagné,accompagné,31
du,de,81
du,le,71
marquis,marquis,21
",",",",p
de,de,81
son,son,73
beau-frère,beau-frère,21
et,et,82
de,de,81
Brétigny,Brétigny,20
",",",",p
et,et,82
suivi,suivi,21
des,de,81
des,le,71
sept,sept,72
messieurs,monsieur,21
que,que,52
Gontran,Gontran,20
appelait,appeler,18
des,de,81
des,le,71
figurants,figurant,21
/.,/.,P
il,il,51
avait,avoir,18
l',le,71
air,air,21
d',de,81
un,un,71
général,général,21
/.,/.,P
le,le,71
père,père,21
Oriol,Oriol,20
apparut,apparaître,19
aussitôt,aussitôt,60
avec,avec,81
Colosse,Colosse,20
/.,/.,P
ils,ils,51
semblaient,sembler,18
inquiets,inquiet,30
",",",",p
méfiants,méfiant,30
",",",",p
comme,comme,83
le,le,52
sont,être,17
toujours,toujours,60
des,de,81
des,le,71
paysans,paysan,21
qui,qui,52
vont,aller,17
signer,signer,14
/.,/.,P
le,le,71
docteur,docteur,21
Latonne,Latonne,20
vint,venir,19
le,le,71
dernier,dernier,21
/.,/.,P
il,il,51
avait,avoir,18
fait,faire,12
la,le,71
paix,paix,22
avec,avec,81
Andermatt,Andermatt,20
par,par,81
une,un,71
soumission,soumission,22
complète,complet,30
précédée,précédé,31
d',de,81
excuses,excuse,22
habilement,habilement,60
tournées,tourné,31
et,et,82
suivies,suivi,31
d',de,81
offres,offre,22
de,de,81
service,service,21
sans,sans,81
réticences,réticence,22
et,et,82
sans,sans,81
restrictions,restriction,22
/.,/.,P
alors,alors,60
le,le,71
banquier,banquier,21
",",",",p
sentant,sentir,13
qu',que,83
il,il,51
le,le,52
tenait,tenir,18
",",",",p
lui,lui,51
avait,avoir,18
promis,promettre,12
la,le,71
place,place,22
enviée,envié,31
de,de,81
médecin,médecin,21
inspecteur,inspecteur,21
du,de,81
du,le,71
nouvel,nouveau,30
établissement,établissement,21
/.,/.,P
quand,quand,83
tout,tout,75
le,le,71
monde,monde,21
fut,être,19
entré,entrer,12
",",",",p
un,un,71
grand,grand,30
silence,silence,21
régna,régner,19
/.,/.,P
le,le,71
notaire,notaire,21
prit,prendre,19
la,le,71
parole,parole,22
:,:,p
“,“,p
messieurs,monsieur,21
",",",",p
asseyez,asseoir,17
vous,vous,51
/.,/.,P
“,“,p
il,il,51
prononça,prononcer,19
encore,encore,60
quelques,quelque,75
mots,mot,21
que,que,52
personne,personne,52
n',ne,60
entendit,entendre,19
dans,dans,81
le,le,71
mouvement,mouvement,21
des,de,81
des,le,71
sièges,siège,21
/.,/.,P
Andermatt,Andermatt,20
enleva,enlever,19
une,un,71
chaise,chaise,22
et,et,82
la,le,52
plaça,placer,19
en,en,81
face,face,22
de,de,81
son,son,73
armée,armée,22
",",",",p
afin,afin,81
d',de,81
avoir,avoir,14
l',le,71
oeil,oeil,21
sur,sur,81
tout,tout,75
son,son,73
monde,monde,21
",",",",p
puis,puis,60
il,il,51
dit,dire,19
",",",",p
quand,quand,83
on,on,51
fut,être,19
assis,asseoir,12
:,:,p
“,“,p
messieurs,monsieur,21
",",",",p
je,je,51
n',ne,60
ai,avoir,17
pas,pas,60
besoin,besoin,21
de,de,81
vous,vous,51
donner,donner,14
des,de,81
des,le,71
explications,explication,22
sur,sur,81
le,le,71
motif,motif,21
qui,qui,52
nous,nous,51
réunit,réunir,17
/.,/.,P
nous,nous,51
allons,aller,17
d'abord,d'abord,60
constituer,constituer,14
la,le,71
société,société,22
nouvelle,nouveau,30
dont,dont,52
vous,vous,51
voulez,vouloir,17
bien,bien,60
être,être,14
actionnaires,actionnaire,21
/.,/.,P
je,je,51
dois,devoir,17
cependant,cependant,82
vous,vous,51
faire,faire,14
part,part,22
de,de,81
quelques,quelque,75
détails,détail,21
qui,qui,52
nous,nous,51
ont,avoir,17
causé,causer,12
un,un,71
peu,peu,60
d',de,81
embarras,embarras,21
/.,/.,P
j',je,51
ai,avoir,17
dû,devoir,12
",",",",p
avant,avant,81
de,de,81
rien,rien,52
entreprendre,entreprendre,14
",",",",p
m',je,51
assurer,assurer,14
que,que,83
nous,nous,51
obtiendrions,obtenir,16
les,le,71
autorisations,autorisation,22
nécessaires,nécessaire,30
pour,pour,81
la,le,71
création,création,22
d',de,81
un,un,71
nouvel,nouveau,30
établissement,établissement,21
d',de,81
utilité,utilité,22
publique,public,30
/.,/.,P
cette,ce,74
assurance,assurance,22
",",",",p
je,je,51
l',le,52
ai,avoir,17
/.,/.,P
ce,ce,52
qui,qui,52
reste,reste,21
à,à,81
faire,faire,14
sous,sous,81
ce,ce,74
rapport,rapport,21
",",",",p
je,je,51
le,le,52
ferai,faire,15
/.,/.,P
j',je,51
ai,avoir,17
la,le,71
parole,parole,22
du,de,81
du,le,71
ministre,ministre,21
/.,/.,P
mais,mais,82
un,un,71
autre,autre,75
point,point,21
m',je,51
arrêtait,arrêter,18
/.,/.,P
nous,nous,51
allons,aller,17
",",",",p
messieurs,monsieur,21
",",",",p
entreprendre,entreprendre,14
une,un,71
lutte,lutte,22
avec,avec,81
l',le,71
ancienne,ancien,30
société,société,22
des,de,81
des,le,71
eaux,eau,22
d',de,81
Enval,Enval,20
/.,/.,P
nous,nous,51
sortirons,sortir,15
vainqueurs,vainqueur,30
de,de,81
cette,ce,74
lutte,lutte,22
",",",",p
vainqueurs,vainqueur,30
et,et,82
riches,riche,30
",",",",p
soyez,être,17
en,en,52
convaincus,convaincre,12
;,;,p
mais,mais,82
de,de,81
même,même,60
qu',que,83
il,il,51
fallait,falloir,18
un,un,71
cri,cri,21
de,de,81
guerre,guerre,22
aux,à,81
aux,le,71
combattants,combattant,21
d',de,81
autrefois,autrefois,60
",",",",p
il,il,51
nous,nous,51
faut,falloir,17
",",",",p
à,à,81
nous,nous,51
",",",",p
combattants,combattant,30
du,de,81
du,le,71
combat,combat,21
moderne,moderne,30
",",",",p
un,un,71
nom,nom,21
pour,pour,81
notre,notre,73
station,station,22
",",",",p
un,un,71
nom,nom,21
sonore,sonore,30
",",",",p
attirant,attirant,30
",",",",p
bien,bien,60
fait,faire,17
pour,pour,81
la,le,71
réclame,réclame,22
",",",",p
qui,qui,52
frappe,frapper,17
l',le,71
oreille,oreille,22
comme,comme,83
une,un,71
note,note,22
de,de,81
clairon,clairon,21
et,et,82
entre,entrer,17
dans,dans,81
l',le,71
oeil,oeil,21
comme,comme,83
un,un,71
éclair,éclair,21
/.,/.,P
or,or,82
",",",",p
messieurs,monsieur,21
",",",",p
nous,nous,51
sommes,être,17
à,à,81
Enval,Enval,20
et,et,82
nous,nous,51
ne,ne,60
pouvons,pouvoir,17
débaptiser,débaptiser,14
ce,ce,74
pays,pays,21
/.,/.,P
une,un,71
seule,seul,30
ressource,ressource,22
nous,nous,51
restait,rester,18
/.,/.,P
désigner,désigner,14
notre,notre,73
établissement,établissement,21
",",",",p
notre,notre,73
établissement,établissement,21
seul,seul,30
",",",",p
par,par,81
une,un,71
appellation,appellation,22
nouvelle,nouveau,30
/.,/.,P
“,“,p
voici,voici,81
ce,ce,52
que,que,52
je,je,51
vous,vous,51
propose,proposer,17
:,:,p
“,“,p
si,si,83
notre,notre,73
maison,maison,22
de,de,81
bains,bain,21
se,se,51
trouve,trouver,17
au,à,81
au,le,71
pied,pied,21
de,de,81
la,le,71
butte,butte,22
dont,dont,52
est,être,17
propriétaire,propriétaire,30
monsieur,monsieur,21
Oriol,Oriol,20
",",",",p
ici,ici,60
présent,présent,30
",",",",p
notre,notre,73
futur,futur,30
casino,casino,21
sera,être,15
situé,situer,12
sur,sur,81
le,le,71
sommet,sommet,21
de,de,81
cette,ce,74
même,même,75
butte,butte,22
/.,/.,P
on,on,51
peut,pouvoir,17
donc,donc,82
dire,dire,14
que,que,83
cette,ce,74
butte,butte,22
",",",",p
ce,ce,74
mont,mont,21
",",",",p
car,car,82
c',ce,52
est,être,17
un,un,71
mont,mont,21
",",",",p
un,un,71
petit,petit,30
mont,mont,21
",",",",p
constitue,constituer,17
notre,notre,73
établissement,établissement,21
",",",",p
puisque,puisque,83
nous,nous,51
en,en,52
avons,avoir,17
le,le,71
pied,pied,21
et,et,82
le,le,71
faîte,faîte,21
/.,/.,P
n',ne,60
est,être,17
il,il,51
pas,pas,60
naturel,naturel,30
",",",",p
dès,dès,81
lors,lors,60
",",",",p
d',de,81
appeler,appeler,14
nos,notre,73
bains,bain,21
:,:,p
les,le,71
bains,bain,21
du,de,81
du,le,71
Mont-Oriol,Mont-Oriol,20
",",",",p
et,et,82
d',de,81
attacher,attacher,14
à,à,81
cette,ce,74
station,station,22
",",",",p
qui,qui,52
deviendra,devenir,15
une,un,52
des,de,81
des,le,71
plus,plus,60
importantes,important,30
du,de,81
du,le,71
monde,monde,21
entier,entier,30
",",",",p
le,le,71
nom,nom,21
du,de,81
du,le,71
premier,premier,72
propriétaire,propriétaire,21
/.,/.,P
rendons,rendre,17
à,à,81
