11606
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Quarante et unième extrait>,<>,<>
vos,votre,73
souvenirs,souvenir,21
",",",",p
et,et,82
dites,dire,17
nous,nous,51
",",",",p
en,en,81
votre,votre,73
âme,âme,22
et,et,82
conscience,conscience,22
",",",",p
si,si,83
vous,vous,51
persistez,persister,17
à,à,81
reconnaître,reconnaître,14
cet,ce,74
homme,homme,21
pour,pour,81
votre,votre,73
ancien,ancien,30
camarade,camarade,21
de,de,81
bagne,bagne,21
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
Brevet,Brevet,20
regarda,regarder,19
l',le,71
accusé,accusé,21
",",",",p
puis,puis,60
se,se,51
retourna,retourner,19
vers,vers,81
la,le,71
cour,cour,22
/.,/.,P
-,-,p
oui,oui,60
",",",",p
monsieur,monsieur,21
le,le,71
président,président,21
/.,/.,P
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
l',le,52
ai,avoir,17
reconnu,reconnaître,12
le,le,71
premier,premier,72
et,et,82
je,je,51
persiste,persister,17
/.,/.,P
cet,ce,74
homme,homme,21
est,être,17
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
entré,entré,31
à,à,81
Toulon,Toulon,20
en,en,81
<Nombre 1796>,<>,<>
mille,mille,72
sept,sept,72
cent,cent,72
quatre,quatre,72
vingt,vingt,72
seize,seize,72
<Fin nombre>,<>,<>
et,et,82
sorti,sorti,31
en,en,81
<Nombre 1815>,<>,<>
mille,mille,72
huit,huit,72
cent,cent,72
quinze,quinze,72
<Fin nombre>,<>,<>
/.,/.,P
je,je,51
suis,être,17
sorti,sortir,12
l',le,71
an,an,21
d',de,81
après,après,81
/.,/.,P
il,il,51
a,avoir,17
l',le,71
air,air,21
d',de,81
une,un,71
brute,brute,22
maintenant,maintenant,60
",",",",p
alors,alors,60
ce,ce,52
serait,être,16
que,que,83
l',le,71
âge,âge,21
l',le,52
a,avoir,17
abruti,abrutir,12
;,;,p
au,à,81
au,le,71
bagne,bagne,21
il,il,51
était,être,18
sournois,sournois,30
/.,/.,P
je,je,51
le,le,52
reconnais,reconnaître,17
positivement,positivement,60
/.,/.,P
-,-,p
allez,aller,17
vous,vous,51
asseoir,asseoir,14
",",",",p
dit,dire,19
le,le,71
président,président,21
/.,/.,P
accusé,accusé,21
",",",",p
restez,rester,17
debout,debout,60
/.,/.,P
on,on,51
introduisit,introduire,19
Chenildieu,Chenildieu,20
",",",",p
forçat,forçat,21
à,à,81
vie,vie,22
",",",",p
comme,comme,83
l',le,52
indiquaient,indiquer,18
sa,son,73
casaque,casaque,22
rouge,rouge,30
et,et,82
son,son,73
bonnet,bonnet,21
vert,vert,30
/.,/.,P
il,il,51
subissait,subir,18
sa,son,73
peine,peine,22
au,à,81
au,le,71
bagne,bagne,21
de,de,81
Toulon,Toulon,20
",",",",p
d',de,81
où,où,60
on,on,51
l',le,52
avait,avoir,18
extrait,extraire,12
pour,pour,81
cette,ce,74
affaire,affaire,22
/.,/.,P
c',ce,52
était,être,18
un,un,71
petit,petit,30
homme,homme,21
d',de,81
environ,environ,60
cinquante,cinquante,72
ans,an,21
",",",",p
vif,vif,30
",",",",p
ridé,ridé,31
",",",",p
chétif,chétif,30
",",",",p
jaune,jaune,30
",",",",p
effronté,effronté,30
",",",",p
fiévreux,fiévreux,30
",",",",p
qui,qui,52
avait,avoir,18
dans,dans,81
tous,tout,75
ses,son,73
membres,membre,21
et,et,82
dans,dans,81
toute,tout,75
sa,son,73
personne,personne,22
une,un,71
sorte,sorte,22
de,de,81
faiblesse,faiblesse,22
maladive,maladif,30
et,et,82
dans,dans,81
le,le,71
regard,regard,21
une,un,71
force,force,22
immense,immense,30
/.,/.,P
ses,son,73
compagnons,compagnon,21
du,de,81
du,le,71
bagne,bagne,21
l',le,52
avaient,avoir,18
surnommé,surnommer,12
je,je,51
nie,nier,17
dieu,dieu,21
/.,/.,P
le,le,71
président,président,21
lui,lui,51
adressa,adresser,19
à,à,81
peu,peu,60
près,près,81
les,le,71
mêmes,même,75
paroles,parole,22
qu',que,83
à,à,81
Brevet,Brevet,20
/.,/.,P
au,à,81
au,le,71
moment,moment,21
où,où,60
il,il,51
lui,lui,51
rappela,rappeler,19
que,que,83
son,son,73
infamie,infamie,22
lui,lui,51
ôtait,ôter,18
le,le,71
droit,droit,21
de,de,81
prêter,prêter,14
serment,serment,21
",",",",p
Chenildieu,Chenildieu,20
leva,lever,19
la,le,71
tête,tête,22
et,et,82
regarda,regarder,19
la,le,71
foule,foule,22
en,en,81
face,face,22
/.,/.,P
le,le,71
président,président,21
l',le,52
invita,inviter,19
à,à,81
se,se,51
recueillir,recueillir,14
et,et,82
lui,lui,51
demanda,demander,19
",",",",p
comme,comme,83
à,à,81
Brevet,Brevet,20
",",",",p
s',si,83
il,il,51
persistait,persister,18
à,à,81
reconnaître,reconnaître,14
l',le,71
accusé,accusé,21
/.,/.,P
Chenildieu,Chenildieu,20
éclata,éclater,19
de,de,81
rire,rire,21
/.,/.,P
-,-,p
pardine,pardi,93
!,!,p
si,si,83
je,je,51
le,le,52
reconnais,reconnaître,17
!,!,p
nous,nous,51
avons,avoir,17
été,être,12
cinq,cinq,72
ans,an,21
attachés,attacher,12
à,à,81
la,le,71
même,même,75
chaîne,chaîne,22
/.,/.,P
tu,tu,51
boudes,bouder,17
donc,donc,82
",",",",p
mon,mon,73
vieux,vieux,21
/?,/?,P
allez,aller,17
vous,vous,51
asseoir,asseoir,14
",",",",p
dit,dire,19
le,le,71
président,président,21
/.,/.,P
l',le,71
huissier,huissier,21
amena,amener,19
Cochepaille,Cochepaille,20
/.,/.,P
cet,ce,74
autre,autre,75
condamné,condamné,21
à,à,81
perpétuité,perpétuité,22
",",",",p
venu,venu,21
du,de,81
du,le,71
bagne,bagne,21
et,et,82
vêtu,vêtu,31
de,de,81
rouge,rouge,21
comme,comme,83
Chenildieu,Chenildieu,20
",",",",p
était,être,18
un,un,71
paysan,paysan,21
de,de,81
Lourdes,Lourdes,20
et,et,82
un,un,71
demi-ours,demi-ours,21
des,de,81
des,le,71
Pyrénées,Pyrénées,20
/.,/.,P
il,il,51
avait,avoir,18
gardé,garder,12
des,de,81
des,le,71
troupeaux,troupeau,21
dans,dans,81
la,le,71
montagne,montagne,22
",",",",p
et,et,82
de,de,81
pâtre,pâtre,21
il,il,51
avait,avoir,18
glissé,glisser,12
brigand,brigand,21
/.,/.,P
Cochepaille,Cochepaille,20
n',ne,60
était,être,18
pas,pas,60
moins,moins,60
sauvage,sauvage,30
et,et,82
paraissait,paraître,18
plus,plus,60
stupide,stupide,30
encore,encore,60
que,que,83
l',le,71
accusé,accusé,21
/.,/.,P
c',ce,52
était,être,18
un,un,52
de,de,81
ces,ce,74
malheureux,malheureux,30
hommes,homme,21
que,que,52
la,le,71
nature,nature,22
à,à,81
ébauchés,ébauché,31
en,en,81
bêtes,bête,22
fauves,fauve,30
et,et,82
que,que,52
la,le,71
société,société,22
termine,terminer,17
en,en,81
galériens,galérien,21
/.,/.,P
le,le,71
président,président,21
essaya,essayer,19
de,de,81
le,le,52
remuer,remuer,14
par,par,81
quelques,quelque,75
paroles,parole,22
pathétiques,pathétique,30
et,et,82
graves,grave,30
et,et,82
lui,lui,51
demanda,demander,19
",",",",p
comme,comme,83
aux,à,81
aux,le,71
deux,deux,72
autres,autre,52
",",",",p
s',si,83
il,il,51
persistait,persister,18
",",",",p
sans,sans,81
hésitation,hésitation,22
et,et,82
sans,sans,81
trouble,trouble,21
",",",",p
à,à,81
reconnaître,reconnaître,14
l',le,71
homme,homme,21
debout,debout,60
devant,devant,81
lui,lui,51
/.,/.,P
-,-,p
c',ce,52
est,être,17
Jean,Jean,20
Valjean,Valjean,20
",",",",p
dit,dire,19
Cochepaille,Cochepaille,20
/.,/.,P
même,même,60
qu',que,83
on,on,51
l',le,52
appelait,appeler,18
Jean,Jean,20
le,le,71
CRIC,CRIC,20
",",",",p
tant,tant,60
il,il,51
était,être,18
fort,fort,30
/.,/.,P
chacune,chacun,52
des,de,81
des,le,71
affirmations,affirmation,22
de,de,81
ces,ce,74
trois,trois,72
hommes,homme,21
",",",",p
évidemment,évidemment,60
sincères,sincère,30
et,et,82
de,de,81
bonne,bon,30
foi,foi,22
",",",",p
avait,avoir,18
soulevé,soulever,12
dans,dans,81
l',le,71
auditoire,auditoire,21
un,un,71
murmure,murmure,21
de,de,81
fâcheux,fâcheux,30
augure,augure,21
pour,pour,81
l',le,71
accusé,accusé,21
",",",",p
murmure,murmurer,17
qui,qui,52
croissait,croître,18
et,et,82
se,se,51
prolongeait,prolonger,18
plus,plus,60
longtemps,longtemps,60
chaque,chaque,75
fois,fois,22
qu',que,83
une,un,71
déclaration,déclaration,22
nouvelle,nouveau,30
venait,venir,18
s',se,51
ajouter,ajouter,14
à,à,81
la,le,71
précédente,précédent,30
/.,/.,P
l',le,71
accusé,accusé,21
",",",",p
lui,lui,51
",",",",p
les,le,52
avait,avoir,18
écoutées,écouter,12
avec,avec,81
ce,ce,74
visage,visage,21
étonné,étonné,31
qui,qui,52
",",",",p
selon,selon,81
l',le,71
accusation,accusation,22
",",",",p
était,être,18
son,son,73
principal,principal,30
moyen,moyen,21
de,de,81
défense,défense,22
/.,/.,P
à,à,81
la,le,71
première,premier,72
",",",",p
les,le,71
gendarmes,gendarme,21
ses,son,73
voisins,voisin,21
l',le,52
avaient,avoir,18
entendu,entendre,12
grommeler,grommeler,14
entre,entre,81
ses,son,73
dents,dent,22
:,:,p
ah,ah,93
bien,bien,60
!,!,p
en,en,52
voilà,voilà,81
un,un,52
/!,/!,P
après,après,81
la,le,71
seconde,seconde,22
il,il,51
dit,dire,19
un,un,71
peu,peu,60
plus,plus,60
haut,haut,60
",",",",p
d',de,81
un,un,71
air,air,21
presque,presque,60
satisfait,satisfait,31
:,:,p
bon,bon,60
/!,/!,P
à,à,81
la,le,71
troisième,troisième,72
il,il,51
s',se,51
écria,écrier,19
:,:,p
fameux,fameux,30
/!,/!,P
le,le,71
président,président,21
l',le,52
interpella,interpeller,19
/.,/.,P
-,-,p
accusé,accusé,31
",",",",p
vous,vous,51
avez,avoir,17
entendu,entendre,12
/.,/.,P
qu',que,52
avez,avoir,17
vous,vous,51
à,à,81
dire,dire,14
/?,/?,P
il,il,51
répondit,répondre,19
:,:,p
-,-,p
je,je,51
dis,dire,17
-,-,p
fameux,fameux,30
/!,/!,P
une,un,71
rumeur,rumeur,22
éclata,éclater,19
dans,dans,81
le,le,71
public,public,30
et,et,82
gagna,gagner,19
presque,presque,60
le,le,71
jury,jury,21
/.,/.,P
il,il,51
était,être,18
évident,évident,30
que,que,83
l',le,71
homme,homme,21
était,être,18
perdu,perdre,12
/.,/.,P
-,-,p
huissiers,huissier,21
",",",",p
dit,dire,19
le,le,71
président,président,21
",",",",p
faites,faire,17
faire,faire,14
silence,silence,21
/.,/.,P
je,je,51
vais,aller,17
clore,clore,14
les,le,71
débats,débat,21
/.,/.,P
en,en,81
ce,ce,74
moment,moment,21
un,un,71
mouvement,mouvement,21
se,se,51
fit,faire,19
tout,tout,52
à,à,81
côté,côté,21
du,de,81
du,le,71
président,président,21
/.,/.,P
on,on,51
entendit,entendre,19
une,un,71
voix,voix,22
qui,qui,52
criait,crier,18
:,:,p
-,-,p
Brevet,Brevet,20
",",",",p
Chenildieu,Chenildieu,20
",",",",p
Cochepaille,Cochepaille,20
!,!,p
regardez,regarder,17
de,de,81
ce,ce,74
côté,côté,21
ci,ci,60
/.,/.,P
tous,tout,75
ceux,celui,52
qui,qui,52
entendirent,entendre,19
cette,ce,74
voix,voix,22
se,se,51
sentirent,sentir,19
glacés,glacé,31
",",",",p
tant,tant,60
elle,il,51
était,être,18
lamentable,lamentable,30
et,et,82
terrible,terrible,30
/.,/.,P
les,le,71
yeux,oeil,21
se,se,51
tournèrent,tourner,19
vers,vers,81
le,le,71
point,point,21
d',de,81
où,où,60
elle,il,51
venait,venir,18
/.,/.,P
un,un,71
homme,homme,21
",",",",p
placé,placé,31
parmi,parmi,81
les,le,71
spectateurs,spectateur,21
privilégiés,privilégié,31
qui,qui,52
étaient,être,18
assis,asseoir,12
derrière,derrière,81
la,le,71
cour,cour,22
",",",",p
venait,venir,18
de,de,81
se,se,51
lever,lever,14
",",",",p
avait,avoir,18
poussé,pousser,12
la,le,71
porte,porte,22
à,à,81
hauteur,hauteur,22
d',de,81
appui,appui,21
qui,qui,52
séparait,séparer,18
le,le,71
tribunal,tribunal,21
du,de,81
du,le,71
prétoire,prétoire,21
",",",",p
et,et,82
était,être,18
debout,debout,60
au,à,81
au,le,71
milieu,milieu,21
de,de,81
la,le,71
salle,salle,22
/.,/.,P
le,le,71
président,président,21
",",",",p
l',le,71
avocat,avocat,21
général,général,30
",",",",p
monsieur,monsieur,21
Bamatabois,Bamatabois,20
",",",",p
vingt,vingt,72
personnes,personne,22
",",",",p
le,le,52
reconnurent,reconnaître,19
",",",",p
et,et,82
s',se,51
écrièrent,écrier,19
à,à,81
la,le,71
fois,fois,22
:,:,p
-,-,p
monsieur,monsieur,21
Madeleine,Madeleine,20
/!,/!,P
<chapitre XI>,<>,<>
Champmathieu,Champmathieu,20
/.,/.,P
de,de,81
plus,plus,60
en,en,81
plus,plus,60
étonné,étonné,31
c',ce,52
était,être,18
lui,lui,51
en,en,81
effet,effet,21
/.,/.,P
la,le,71
lampe,lampe,22
du,de,81
du,le,71
greffier,greffier,21
éclairait,éclairer,18
son,son,73
visage,visage,21
/.,/.,P
il,il,51
tenait,tenir,18
son,son,73
chapeau,chapeau,21
à,à,81
la,le,71
main,main,22
",",",",p
il,il,51
n',ne,60
y,y,52
avait,avoir,18
aucun,aucun,75
désordre,désordre,21
dans,dans,81
ses,son,73
vêtements,vêtement,21
",",",",p
sa,son,73
redingote,redingote,22
était,être,18
boutonnée,boutonner,12
avec,avec,81
soin,soin,21
/.,/.,P
il,il,51
était,être,18
très,très,60
pâle,pâle,30
et,et,82
il,il,51
tremblait,trembler,18
légèrement,légèrement,60
/.,/.,P
ses,son,73
cheveux,cheveu,21
",",",",p
gris,gris,21
encore,encore,60
au,à,81
au,le,71
moment,moment,21
de,de,81
son,son,73
arrivée,arrivée,22
à,à,81
Arras,Arras,20
",",",",p
étaient,être,18
maintenant,maintenant,60
tout,tout,60
à,à,81
fait,fait,21
blancs,blanc,30
/.,/.,P
ils,ils,51
avaient,avoir,18
blanchi,blanchir,12
depuis,depuis,81
une,un,71
heure,heure,22
qu',que,83
il,il,51
était,être,18
là,là,60
/.,/.,P
toutes,tout,75
les,le,71
têtes,tête,22
se,se,51
dressèrent,dresser,19
/.,/.,P
la,le,71
sensation,sensation,22
fut,être,19
indescriptible,indescriptible,30
/.,/.,P
il,il,51
y,y,52
eut,avoir,19
dans,dans,81
l',le,71
auditoire,auditoire,21
un,un,71
instant,instant,21
d',de,81
hésitation,hésitation,22
/.,/.,P
la,le,71
voix,voix,22
avait,avoir,18
été,être,12
si,si,60
poignante,poignant,30
",",",",p
l',le,71
homme,homme,21
qui,qui,52
était,être,18
là,là,60
paraissait,paraître,18
si,si,60
calme,calme,30
",",",",p
qu',que,83
au,à,81
au,le,71
premier,premier,72
abord,abord,21
on,on,51
ne,ne,60
comprit,comprendre,19
pas,pas,60
/.,/.,P
on,on,51
se,se,51
demanda,demander,19
qui,qui,52
avait,avoir,18
crié,crier,12
/.,/.,P
on,on,51
ne,ne,60
pouvait,pouvoir,18
croire,croire,14
que,que,83
ce,ce,52
fût,être,19
cet,ce,74
homme,homme,21
tranquille,tranquille,30
qui,qui,52
eût,avoir,19
jeté,jeter,12
ce,ce,74
cri,cri,21
effrayant,effrayant,30
/.,/.,P
cette,ce,74
indécision,indécision,22
ne,ne,60
dura,durer,19
que,que,83
quelques,quelque,75
secondes,seconde,22
/.,/.,P
avant,avant,81
même,même,60
que,que,83
le,le,71
président,président,21
et,et,82
l',le,71
avocat,avocat,21
général,général,30
eussent,avoir,18
pu,pouvoir,12
dire,dire,14
un,un,71
mot,mot,21
",",",",p
avant,avant,81
que,que,83
les,le,71
gendarmes,gendarme,21
et,et,82
les,le,71
huissiers,huissier,21
eussent,avoir,18
pu,pouvoir,12
faire,faire,14
un,un,71
geste,geste,21
",",",",p
l',le,71
homme,homme,21
que,que,83
tous,tout,52
appelaient,appeler,18
encore,encore,60
en,en,81
ce,ce,74
moment,moment,21
monsieur,monsieur,21
Madeleine,Madeleine,20
s',se,51
était,être,18
avancé,avancer,12
vers,vers,81
les,le,71
témoins,témoin,21
Cochepaille,Cochepaille,20
",",",",p
Brevet,Brevet,20
et,et,82
Chenildieu,Chenildieu,20
/.,/.,P
-,-,p
vous,vous,51
ne,ne,60
me,je,51
reconnaissez,reconnaître,17
pas,pas,60
?,?,p
dit,dire,19
il,il,51
/.,/.,P
tous,tout,75
trois,trois,72
demeurèrent,demeurer,19
interdits,interdit,31
et,et,82
indiquèrent,indiquer,19
par,par,81
un,un,71
signe,signe,21
de,de,81
tête,tête,22
qu',que,83
ils,ils,51
ne,ne,60
le,le,52
connaissaient,connaître,18
point,point,60
/.,/.,P
Cochepaille,Cochepaille,20
intimidé,intimidé,31
fit,faire,19
le,le,71
salut,salut,21
militaire,militaire,30
/.,/.,P
monsieur,monsieur,21
Madeleine,Madeleine,20
se,se,51
tourna,tourner,19
vers,vers,81
les,le,71
jurés,juré,21
et,et,82
vers,vers,81
la,le,71
cour,cour,22
et,et,82
dit,dire,19
d',de,81
une,un,71
voix,voix,22
douce,doux,30
:,:,p
-,-,p
messieurs,monsieur,21
les,le,71
jurés,juré,21
",",",",p
faites,faire,17
relâcher,relâcher,14
l',le,71
accusé,accusé,21
/.,/.,P
monsieur,monsieur,21
le,le,71
président,président,21
",",",",p
faites,faire,17
moi,moi,51
arrêter,arrêter,14
/.,/.,P
l',le,71
homme,homme,21
que,que,52
vous,vous,51
cherchez,chercher,17
",",",",p
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
lui,lui,51
",",",",p
c',ce,52
est,être,17
moi,moi,51
/.,/.,P
je,je,51
suis,être,17
Jean,Jean,20
Valjean,Valjean,20
/.,/.,P
pas,pas,60
une,un,71
bouche,bouche,22
ne,ne,60
respirait,respirer,18
/.,/.,P
à,à,81
la,le,71
première,premier,72
commotion,commotion,22
de,de,81
l',le,71
étonnement,étonnement,21
avait,avoir,18
succédé,succéder,12
un,un,71
silence,silence,21
de,de,81
sépulcre,sépulcre,21
/.,/.,P
on,on,51
sentait,sentir,18
dans,dans,81
la,le,71
salle,salle,22
cette,ce,74
espèce,espèce,22
de,de,81
terreur,terreur,22
religieuse,religieux,30
qui,qui,52
saisit,saisir,17
la,le,71
foule,foule,22
lorsque,lorsque,83
quelque,quelque,75
chose,chose,22
de,de,81
grand,grand,30
s',se,51
accomplit,accomplir,17
/.,/.,P
cependant,cependant,82
le,le,71
visage,visage,21
du,de,81
du,le,71
président,président,21
s',se,51
était,être,18
empreint,empreindre,12
de,de,81
sympathie,sympathie,22
et,et,82
de,de,81
tristesse,tristesse,22
;,;,p
il,il,51
avait,avoir,18
échangé,échanger,12
un,un,71
signe,signe,21
rapide,rapide,30
avec,avec,81
l',le,71
avocat,avocat,21
et,et,82
quelques,quelque,75
paroles,parole,22
à,à,81
voix,voix,22
basse,bas,30
avec,avec,81
les,le,71
conseillers,conseiller,21
assesseurs,assesseur,21
/.,/.,P
il,il,51
s',se,51
adressa,adresser,19
au,à,81
au,le,71
public,public,21
",",",",p
et,et,82
demanda,demander,19
avec,avec,81
un,un,71
accent,accent,21
qui,qui,52
fut,être,19
compris,comprendre,12
de,de,81
tous,tout,52
:,:,p
-,-,p
y,y,52
a,avoir,17
t,t,94
il,il,51
un,un,71
médecin,médecin,21
ici,ici,60
/?,/?,P
l',le,71
avocat,avocat,21
général,général,30
prit,prendre,19
la,le,71
parole,parole,22
:,:,p
-,-,p
messieurs,monsieur,21
les,le,71
jurés,juré,21
",",",",p
l',le,71
incident,incident,21
si,si,60
étrange,étrange,30
et,et,82
si,si,60
inattendu,inattendu,30
qui,qui,52
trouble,troubler,17
l',le,71
audience,audience,22
ne,ne,60
nous,nous,51
inspire,inspirer,17
",",",",p
ainsi,ainsi,60
qu',que,83
à,à,81
vous,vous,51
",",",",p
qu',que,83
un,un,71
sentiment,sentiment,21
que,que,83
nous,nous,51
n',ne,60
avons,avoir,17
pas,pas,60
besoin,besoin,21
d',de,81
exprimer,exprimer,14
/.,/.,P
vous,vous,51
connaissez,connaître,17
tous,tout,52
",",",",p
au,à,81
au,le,71
moins,moins,60
de,de,81
réputation,réputation,22
",",",",p
l',le,71
honorable,honorable,30
monsieur,monsieur,21
Madeleine,Madeleine,20
",",",",p
maire,maire,21
de,de,81
Montreuil,Montreuil,20
sur-mer,sur-mer,22
/.,/.,P
s',si,83
il,il,51
y,y,52
a,avoir,17
un,un,71
médecin,médecin,21
dans,dans,81
l',le,71
auditoire,auditoire,21
",",",",p
nous,nous,51
nous,nous,51
joignons,joindre,17
à,à,81
monsieur,monsieur,21
le,le,71
président,président,21
pour,pour,81
le,le,52
prier,prier,14
de,de,81
vouloir,vouloir,14
bien,bien,60
assister,assister,14
monsieur,monsieur,21
Madeleine,Madeleine,20
et,et,82
le,le,52
reconduire,reconduire,14
à,à,81
sa,son,73
demeure,demeure,22
/.,/.,P
monsieur,monsieur,21
Madeleine,Madeleine,20
ne,ne,60
laissa,laisser,19
point,point,60
achever,achever,14
l',le,71
avocat,avocat,21
général,général,30
/.,/.,P
il,il,51
l',le,52
interrompit,interrompre,19
d',de,81
un,un,71
accent,accent,21
plein,plein,30
de,de,81
mansuétude,mansuétude,22
et,et,82
d',de,81
autorité,autorité,22
/.,/.,P
voici,voici,81
les,le,71
paroles,parole,22
qu',que,83
il,il,51
prononça,prononcer,19
;,;,p
les,le,52
voici,voici,81
littéralement,littéralement,60
",",",",p
telles,tel,75
qu',que,83
elles,ils,51
furent,être,19
écrites,écrire,12
immédiatement,immédiatement,60
après,après,81
l',le,71
audience,audience,22
par,par,81
un,un,52
des,de,81
des,le,71
témoins,témoin,21
de,de,81
cette,ce,74
scène,scène,22
;,;,p
telles,tel,75
qu',que,83
elles,ils,51
sont,être,17
encore,encore,60
dans,dans,81
l',le,71
oreille,oreille,22
de,de,81
ceux,celui,52
qui,qui,52
les,le,52
ont,avoir,17
entendues,entendre,12
",",",",p
il,il,51
y,y,52
a,avoir,17
près,près,81
de,de,81
quarante,quarante,72
ans,an,21
aujourd'hui,aujourd'hui,60
/.,/.,P
-,-,p
je,je,51
vous,vous,51
remercie,remercier,17
",",",",p
monsieur,monsieur,21
l',le,71
avocat,avocat,21
général,général,30
",",",",p
mais,mais,82
je,je,51
ne,ne,60
suis,être,17
pas,pas,60
fou,fou,30
/.,/.,P
vous,vous,51
allez,aller,17
voir,voir,14
/.,/.,P
vous,vous,51
étiez,être,18
sur,sur,81
le,le,71
point,point,21
de,de,81
commettre,commettre,14
une,un,71
grande,grand,30
erreur,erreur,22
",",",",p
lâchez,lâcher,17
cet,ce,74
homme,homme,21
",",",",p
j',je,51
accomplis,accomplir,17
un,un,71
devoir,devoir,21
",",",",p
je,je,51
suis,être,17
ce,ce,74
malheureux,malheureux,30
condamné,condamné,21
/.,/.,P
je,je,51
suis,être,17
le,le,71
seul,seul,30
qui,qui,52
voie,voir,17
clair,clair,60
ici,ici,60
",",",",p
et,et,82
je,je,51
vous,vous,51
dis,dire,17
la,le,71
vérité,vérité,22
/.,/.,P
ce,ce,52
que,que,52
je,je,51
fais,faire,17
en,en,81
ce,ce,74
moment,moment,21
",",",",p
dieu,dieu,21
",",",",p
qui,qui,52
est,être,17
là-haut,là-haut,60
",",",",p
le,le,52
regarde,regarder,17
",",",",p
et,et,82
cela,cela,52
suffit,suffire,17
/.,/.,P
vous,vous,51
pouvez,pouvoir,17
me,je,51
prendre,prendre,14
",",",",p
puisque,puisque,83
me,je,51
voilà,voilà,81
/.,/.,P
j',je,51
avais,avoir,18
pourtant,pourtant,60
fait,faire,12
de,de,81
mon,mon,73
mieux,mieux,60
/.,/.,P
je,je,51
me,je,51
suis,être,17
caché,cacher,12
sous,sous,81
un,un,71
nom,nom,21
;,;,p
je,je,51
suis,être,17
devenu,devenir,12
riche,riche,30
",",",",p
je,je,51
suis,être,17
devenu,devenir,12
maire,maire,21
;,;,p
j',je,51
ai,avoir,17
voulu,vouloir,12
rentrer,rentrer,14
parmi,parmi,81
les,le,71
honnêtes,honnête,30
gens,gens,21
/.,/.,P
il,il,51
paraît,paraître,17
que,que,83
cela,cela,52
ne,ne,60
se,se,51
peut,pouvoir,17
pas,pas,60
/.,/.,P
enfin,enfin,60
",",",",p
il,il,51
y,y,52
a,avoir,17
bien,bien,60
des,de,81
des,le,71
choses,chose,22
que,que,83
je,je,51
ne,ne,60
puis,pouvoir,17
pas,pas,60
dire,dire,14
",",",",p
je,je,51
ne,ne,60
vais,aller,17
pas,pas,60
vous,vous,51
raconter,raconter,14
ma,mon,73
vie,vie,22
",",",",p
un,un,71
jour,jour,21
on,on,51
saura,savoir,15
/.,/.,P
j',je,51
ai,avoir,17
volé,voler,12
monseigneur,monseigneur,21
l',le,71
évêque,évêque,21
",",",",p
cela,cela,52
est,être,17
vrai,vrai,30
;,;,p
j',je,51
ai,avoir,17
volé,voler,12
Petit-Gervais,Petit-Gervais,20
",",",",p
cela,cela,52
est,être,17
vrai,vrai,30
/.,/.,P
on,on,51
a,avoir,17
eu,avoir,12
raison,raison,22
de,de,81
vous,vous,51
dire,dire,14
que,que,83
Jean,Jean,20
Valjean,Valjean,20
était,être,18
un,un,71
malheureux,malheureux,30
très,très,60
méchant,méchant,30
/.,/.,P
toute,tout,75
la,le,71
faute,faute,22
n',ne,60
est,être,17
peut-être,peut-être,60
pas,pas,60
à,à,81
lui,lui,51
/.,/.,P
écoutez,écouter,17
",",",",p
messieurs,monsieur,21
les,le,71
juges,juge,21
",",",",p
un,un,71
homme,homme,21
aussi,aussi,60
abaissé,abaissé,31
que,que,83
moi,moi,51
n',ne,60
a,avoir,17
pas,pas,60
de,de,81
remontrance,remontrance,22
à,à,81
faire,faire,14
à,à,81
la,le,71
providence,providence,22
ni,ni,82
de,de,81
conseil,conseil,21
à,à,81
donner,donner,14
à,à,81
la,le,71
société,société,22
;,;,p
mais,mais,82
",",",",p
voyez,voir,17
vous,vous,51
",",",",p
l',le,71
infamie,infamie,22
d',de,81
où,où,60
j',je,51
avais,avoir,18
essayé,essayer,12
de,de,81
sortir,sortir,14
est,être,17
une,un,71
chose,chose,22
nuisible,nuisible,30
/.,/.,P
les,le,71
galères,galère,22
font,faire,17
le,le,71
galérien,galérien,21
/.,/.,P
recueillez,recueillir,17
cela,cela,52
",",",",p
si,si,83
vous,vous,51
voulez,vouloir,17
/.,/.,P
avant,avant,81
le,le,71
bagne,bagne,21
",",",",p
j',je,51
étais,être,18
un,un,71
pauvre,pauvre,30
paysan,paysan,21
très,très,60
peu,peu,60
intelligent,intelligent,30
",",",",p
une,un,71
espèce,espèce,22
d',de,81
idiot,idiot,21
;,;,p
le,le,71
bagne,bagne,21
m',je,51
a,avoir,17
changé,changer,12
/.,/.,P
j',je,51
étais,être,18
stupide,stupide,30
",",",",p
je,je,51
suis,être,17
devenu,devenir,12
méchant,méchant,21
;,;,p
j',je,51
étais,être,18
bûche,bûche,22
",",",",p
je,je,51
suis,être,17
devenu,devenir,12
tison,tison,21
/.,/.,P
plus,plus,60
tard,tard,60
l',le,71
indulgence,indulgence,22
et,et,82
la,le,71
bonté,bonté,22
m',je,51
ont,avoir,17
sauvé,sauver,12
",",",",p
comme,comme,83
la,le,71
sévérité,sévérité,22
m',je,51
avait,avoir,18
perdu,perdre,12
/.,/.,P
mais,mais,82
",",",",p
